[ 1 ]    (!takeoff uav1 0.0 15.0)
[ 2 ]    (!do_move uav1 23.0 1.0 15.0 17.0)
[ 3 ]    (!takeoff uav4 0.0 15.0)
[ 4 ]    (!do_move uav4 26.0 1.0 15.0 16.0)
[ 5 ]    (!synchro_wait uav4 31.0 1.0)
[ 6 ]    (!synchro_wait uav1 32.0 0.0)
[ 7 ]    (!synchro_wait uav4 32.0 0.0)
[ 8 ]    (!pick_object uav1 uav4 box001-lib 32.0 30.0)
[ 9 ]    (!do_move uav1 uav4 1.0 2.0 62.0 14.0)
[ 10 ]    (!do_synchro_mission assemble uav1 uav4 2.0 box001-lib 76.0 30.0)
[ 11 ]    (!takeoff uav2 0.0 15.0)
[ 12 ]    (!do_move uav2 24.0 3.0 15.0 9.0)
[ 13 ]    (!takeoff uav3 0.0 15.0)
[ 14 ]    (!do_move uav3 25.0 3.0 15.0 8.0)
[ 15 ]    (!synchro_wait uav3 23.0 1.0)
[ 16 ]    (!synchro_wait uav2 24.0 0.0)
[ 17 ]    (!synchro_wait uav3 24.0 0.0)
[ 18 ]    (!pick_object uav2 uav3 box002-lib 24.0 30.0)
[ 19 ]    (!do_move uav2 uav3 3.0 4.0 54.0 13.0)
[ 20 ]    (!do_synchro_mission assemble uav2 uav3 4.0 box002-lib 67.0 30.0)
[ 21 ]    (!do_move uav1 2.0 15.0 106.0 14.0)
[ 22 ]    (!synchro_wait uav1 120.0 0.0)
[ 23 ]    (!pick_object uav1 box008-lib 120.0 20.0)
[ 24 ]    (!do_move uav1 15.0 16.0 140.0 14.0)
[ 25 ]    (!do_synchro_mission assemble uav1 16.0 box008-lib 154.0 20.0)
[ 26 ]    (!do_move uav3 4.0 17.0 97.0 14.0)
[ 27 ]    (!synchro_wait uav3 111.0 0.0)
[ 28 ]    (!pick_object uav3 box009-lib 111.0 20.0)
[ 29 ]    (!do_move uav3 17.0 18.0 131.0 13.0)
[ 30 ]    (!do_synchro_mission assemble uav3 18.0 box009-lib 144.0 20.0)
[ 31 ]    (!do_move uav4 2.0 19.0 106.0 14.0)
[ 32 ]    (!synchro_wait uav4 120.0 0.0)
[ 33 ]    (!pick_object uav4 box010-lib 120.0 20.0)
[ 34 ]    (!do_move uav4 19.0 20.0 140.0 15.0)
[ 35 ]    (!do_synchro_mission assemble uav4 20.0 box010-lib 155.0 20.0)
[ 36 ]    (!do_move uav2 4.0 21.0 97.0 15.0)
[ 37 ]    (!synchro_wait uav2 112.0 0.0)
[ 38 ]    (!pick_object uav2 box011-lib 112.0 20.0)
[ 39 ]    (!do_move uav2 21.0 22.0 132.0 15.0)
[ 40 ]    (!do_synchro_mission assemble uav2 22.0 box011-lib 147.0 20.0)
[ 41 ]    (!do_move uav1 16.0 5.0 174.0 19.0)
[ 42 ]    (!do_move uav3 18.0 5.0 164.0 19.0)
[ 43 ]    (!synchro_wait uav3 183.0 10.0)
[ 44 ]    (!synchro_wait uav1 193.0 0.0)
[ 45 ]    (!synchro_wait uav3 193.0 0.0)
[ 46 ]    (!pick_object uav1 uav3 box003-lib 193.0 30.0)
[ 47 ]    (!do_move uav1 uav3 5.0 6.0 223.0 19.0)
[ 48 ]    (!do_synchro_mission assemble uav1 uav3 6.0 box003-lib 242.0 30.0)
[ 49 ]    (!do_move uav1 6.0 7.0 272.0 13.0)
[ 50 ]    (!synchro_wait uav1 285.0 0.0)
[ 51 ]    (!pick_object uav1 box004-lib 285.0 20.0)
[ 52 ]    (!do_move uav1 7.0 8.0 305.0 13.0)
[ 53 ]    (!do_synchro_mission assemble uav1 8.0 box004-lib 318.0 20.0)
[ 54 ]    (!do_move uav4 20.0 9.0 175.0 13.0)
[ 55 ]    (!synchro_wait uav4 188.0 0.0)
[ 56 ]    (!pick_object uav4 box005-lib 188.0 20.0)
[ 57 ]    (!do_move uav4 9.0 10.0 208.0 13.0)
[ 58 ]    (!do_synchro_mission assemble uav4 10.0 box005-lib 221.0 20.0)
[ 59 ]    (!do_move uav3 6.0 11.0 272.0 19.0)
[ 60 ]    (!synchro_wait uav3 291.0 0.0)
[ 61 ]    (!pick_object uav3 box006-lib 291.0 20.0)
[ 62 ]    (!do_move uav3 11.0 12.0 311.0 19.0)
[ 63 ]    (!do_synchro_mission assemble uav3 12.0 box006-lib 330.0 20.0)
[ 64 ]    (!do_move uav2 22.0 13.0 167.0 20.0)
[ 65 ]    (!synchro_wait uav2 187.0 0.0)
[ 66 ]    (!pick_object uav2 box007-lib 187.0 20.0)
[ 67 ]    (!do_move uav2 13.0 14.0 207.0 20.0)
[ 68 ]    (!do_synchro_mission assemble uav2 14.0 box007-lib 227.0 20.0)
[ 69 ]    (!assembly_plan_finished)
