#F=N Y X Z K W P
#
#image	latitude	longitude	altitude	yaw	pitch	roll
frame53963.jpg	37.4108	-6.00278	0.485	0.725346	-0.0930839	-0.0314808
frame53966.jpg	37.4108	-6.00278	0.425	0.725063	-0.0942747	-0.0312552
frame53969.jpg	37.4108	-6.00278	0.486	0.724684	-0.0923616	-0.0308325
frame53972.jpg	37.4108	-6.00278	0.491	0.724616	-0.0921678	-0.0308603
frame53975.jpg	37.4108	-6.00278	0.451	0.724223	-0.0921289	-0.0309017
frame53978.jpg	37.4108	-6.00278	0.515	0.724258	-0.0923002	-0.030591
frame53981.jpg	37.4108	-6.00278	0.537	0.723984	-0.0921267	-0.0306933
frame53984.jpg	37.4108	-6.00278	0.519	0.724133	-0.0916914	-0.0306253
frame53987.jpg	37.4108	-6.00278	0.081	0.72202	-0.0896815	-0.0301011
frame53990.jpg	37.4108	-6.00278	-0.05	0.722451	-0.0893109	-0.0300159
frame53993.jpg	37.4108	-6.00278	-0.115	0.722885	-0.0887948	-0.0301304
frame53996.jpg	37.4108	-6.00278	-0.037	0.723895	-0.0904754	-0.0296382
frame53999.jpg	37.4108	-6.00278	-0.018	0.724963	-0.0900736	-0.0293359
frame54002.jpg	37.4108	-6.00278	-0.006	0.724477	-0.0901314	-0.029258
frame54005.jpg	37.4108	-6.00278	-0.059	0.724065	-0.0911294	-0.0288896
frame54008.jpg	37.4108	-6.00278	-0.036	0.723578	-0.0909553	-0.0297311
frame54011.jpg	37.4108	-6.00278	-0.167	0.723887	-0.0916873	-0.0298576
frame54014.jpg	37.4108	-6.00278	-0.177	0.723337	-0.0919438	-0.0295863
frame54017.jpg	37.4108	-6.00278	-0.201	0.723272	-0.0914758	-0.0294044
frame54020.jpg	37.4108	-6.00278	-0.166	0.723091	-0.0906992	-0.0295314
frame54023.jpg	37.4108	-6.00278	-0.12	0.723174	-0.0917571	-0.029443
frame54026.jpg	37.4108	-6.00278	-0.082	0.722392	-0.0909954	-0.0291586
frame54029.jpg	37.4108	-6.00278	-0.096	0.722914	-0.0913946	-0.0289721
frame54032.jpg	37.4108	-6.00278	-0.08	0.722653	-0.0925356	-0.0284719
