"timeMillisSpent","score"
9,"0hard/-1002725soft"
25,"0hard/-1000455soft"
35,"0hard/-990404soft"
46,"0hard/-986651soft"
57,"0hard/-986514soft"
88,"0hard/-985415soft"
1953,"0hard/-975864soft"
2026,"0hard/-973756soft"
2099,"0hard/-972741soft"
2149,"0hard/-972590soft"
2183,"0hard/-972357soft"
2216,"0hard/-971258soft"
2250,"0hard/-970303soft"
2294,"0hard/-969554soft"
2320,"0hard/-969417soft"
3803,"0hard/-969415soft"
3832,"0hard/-959185soft"
3876,"0hard/-946157soft"
3907,"0hard/-940285soft"
3930,"0hard/-936230soft"
3962,"0hard/-935522soft"
8598,"0hard/-931855soft"
8656,"0hard/-931051soft"
28308,"0hard/-930356soft"
