"timeMillisSpent","score"
13,"0hard/-1417662soft"
14,"0hard/-1410023soft"
15,"0hard/-1387728soft"
15,"0hard/-1381704soft"
15,"0hard/-1376844soft"
16,"0hard/-1375642soft"
20,"0hard/-1364732soft"
22,"0hard/-1363082soft"
22,"0hard/-1349300soft"
64,"0hard/-1311680soft"
198,"0hard/-1287556soft"
425,"0hard/-1281286soft"
456,"0hard/-1262277soft"
612,"0hard/-1260836soft"
631,"0hard/-1258231soft"
631,"0hard/-1249973soft"
862,"0hard/-1242461soft"
899,"0hard/-1240504soft"
923,"0hard/-1239335soft"
933,"0hard/-1237216soft"
947,"0hard/-1234967soft"
1067,"0hard/-1234509soft"
1079,"0hard/-1234204soft"
1079,"0hard/-1220521soft"
1132,"0hard/-1217471soft"
1273,"0hard/-1215456soft"
1273,"0hard/-1212522soft"
1273,"0hard/-1211892soft"
1338,"0hard/-1208565soft"
1421,"0hard/-1196221soft"
1503,"0hard/-1194188soft"
1503,"0hard/-1192940soft"
1555,"0hard/-1190330soft"
1572,"0hard/-1189576soft"
1623,"0hard/-1180919soft"
1628,"0hard/-1178442soft"
1628,"0hard/-1174990soft"
1794,"0hard/-1161554soft"
1934,"0hard/-1157916soft"
2245,"0hard/-1156600soft"
2360,"0hard/-1148086soft"
2498,"0hard/-1146595soft"
2620,"0hard/-1141300soft"
2797,"0hard/-1129324soft"
3607,"0hard/-1126822soft"
3958,"0hard/-1126564soft"
4092,"0hard/-1125090soft"
4272,"0hard/-1118995soft"
4273,"0hard/-1117097soft"
4498,"0hard/-1116998soft"
4537,"0hard/-1114569soft"
4736,"0hard/-1113864soft"
4755,"0hard/-1109029soft"
4850,"0hard/-1108803soft"
4877,"0hard/-1108120soft"
5058,"0hard/-1107274soft"
5080,"0hard/-1101540soft"
7140,"0hard/-1093688soft"
7874,"0hard/-1092247soft"
8386,"0hard/-1088453soft"
8804,"0hard/-1087478soft"
