"timeMillisSpent","score"
24,"0hard/-1420843soft"
32,"0hard/-1420682soft"
32,"0hard/-1411795soft"
249,"0hard/-1411448soft"
371,"0hard/-1411436soft"
381,"0hard/-1411350soft"
381,"0hard/-1408177soft"
538,"0hard/-1404671soft"
538,"0hard/-1404233soft"
554,"0hard/-1400959soft"
635,"0hard/-1400887soft"
642,"0hard/-1399257soft"
823,"0hard/-1397615soft"
1018,"0hard/-1397080soft"
1115,"0hard/-1396477soft"
1198,"0hard/-1396313soft"
1240,"0hard/-1393059soft"
1372,"0hard/-1390014soft"
1510,"0hard/-1389727soft"
1511,"0hard/-1389679soft"
1541,"0hard/-1389453soft"
1664,"0hard/-1384978soft"
1691,"0hard/-1382170soft"
1909,"0hard/-1377852soft"
2065,"0hard/-1376810soft"
2188,"0hard/-1376399soft"
2190,"0hard/-1376386soft"
2201,"0hard/-1374167soft"
2297,"0hard/-1374156soft"
2379,"0hard/-1373084soft"
2597,"0hard/-1362497soft"
3382,"0hard/-1360803soft"
3384,"0hard/-1360439soft"
3530,"0hard/-1357324soft"
3917,"0hard/-1354371soft"
3920,"0hard/-1353701soft"
4283,"0hard/-1351150soft"
4314,"0hard/-1349775soft"
4399,"0hard/-1349496soft"
4400,"0hard/-1346645soft"
4522,"0hard/-1344541soft"
4570,"0hard/-1337763soft"
5131,"0hard/-1337686soft"
5446,"0hard/-1336768soft"
5706,"0hard/-1334682soft"
5708,"0hard/-1332607soft"
5878,"0hard/-1331667soft"
6035,"0hard/-1331651soft"
6036,"0hard/-1330999soft"
6055,"0hard/-1330052soft"
6101,"0hard/-1329825soft"
6359,"0hard/-1327192soft"
6519,"0hard/-1326138soft"
6519,"0hard/-1325491soft"
7035,"0hard/-1325182soft"
7103,"0hard/-1323289soft"
7344,"0hard/-1321024soft"
7519,"0hard/-1320638soft"
7520,"0hard/-1320366soft"
7655,"0hard/-1317826soft"
7832,"0hard/-1317355soft"
7983,"0hard/-1316502soft"
8327,"0hard/-1314047soft"
8634,"0hard/-1313323soft"
8634,"0hard/-1312648soft"
8634,"0hard/-1312158soft"
8658,"0hard/-1311513soft"
9139,"0hard/-1311303soft"
9487,"0hard/-1310362soft"
9490,"0hard/-1308491soft"
9503,"0hard/-1305583soft"
9789,"0hard/-1305339soft"
10036,"0hard/-1305252soft"
10284,"0hard/-1302318soft"
10368,"0hard/-1301649soft"
10668,"0hard/-1299991soft"
10673,"0hard/-1299623soft"
10892,"0hard/-1299408soft"
10909,"0hard/-1298721soft"
10910,"0hard/-1298395soft"
11521,"0hard/-1292415soft"
12140,"0hard/-1292057soft"
13418,"0hard/-1287039soft"
14081,"0hard/-1285223soft"
14298,"0hard/-1284017soft"
14645,"0hard/-1281028soft"
14936,"0hard/-1279703soft"
14936,"0hard/-1279400soft"
14950,"0hard/-1278844soft"
15190,"0hard/-1277825soft"
15190,"0hard/-1277294soft"
15482,"0hard/-1276884soft"
15486,"0hard/-1274124soft"
15488,"0hard/-1273227soft"
15490,"0hard/-1273076soft"
16316,"0hard/-1272067soft"
16331,"0hard/-1271783soft"
16388,"0hard/-1269372soft"
16676,"0hard/-1269094soft"
17357,"0hard/-1268038soft"
18226,"0hard/-1267906soft"
18373,"0hard/-1267402soft"
18373,"0hard/-1266495soft"
19012,"0hard/-1266148soft"
19122,"0hard/-1265744soft"
19290,"0hard/-1264059soft"
19740,"0hard/-1263068soft"
20216,"0hard/-1262870soft"
20542,"0hard/-1262414soft"
20582,"0hard/-1261246soft"
20583,"0hard/-1260763soft"
20583,"0hard/-1258948soft"
21665,"0hard/-1258692soft"
21910,"0hard/-1257813soft"
22253,"0hard/-1257487soft"
22668,"0hard/-1257390soft"
22864,"0hard/-1251716soft"
25771,"0hard/-1251646soft"
25996,"0hard/-1251395soft"
26443,"0hard/-1251252soft"
26769,"0hard/-1251220soft"
26770,"0hard/-1251087soft"
26771,"0hard/-1250991soft"
27336,"0hard/-1249960soft"
27337,"0hard/-1248668soft"
27341,"0hard/-1243584soft"
31334,"0hard/-1243475soft"
31335,"0hard/-1243378soft"
31743,"0hard/-1243263soft"
31767,"0hard/-1243118soft"
31768,"0hard/-1242898soft"
31770,"0hard/-1242853soft"
32341,"0hard/-1242201soft"
33110,"0hard/-1241735soft"
33111,"0hard/-1241519soft"
33846,"0hard/-1240720soft"
33912,"0hard/-1239923soft"
34949,"0hard/-1239578soft"
35693,"0hard/-1238438soft"
36496,"0hard/-1238348soft"
36532,"0hard/-1236817soft"
37222,"0hard/-1236182soft"
39124,"0hard/-1236033soft"
39125,"0hard/-1235886soft"
39128,"0hard/-1235134soft"
39976,"0hard/-1233680soft"
41444,"0hard/-1233550soft"
41473,"0hard/-1233169soft"
42436,"0hard/-1232785soft"
43663,"0hard/-1232445soft"
44069,"0hard/-1231888soft"
45463,"0hard/-1231738soft"
46198,"0hard/-1231156soft"
46201,"0hard/-1231118soft"
47044,"0hard/-1230876soft"
48568,"0hard/-1230855soft"
49097,"0hard/-1230775soft"
49779,"0hard/-1227964soft"
54728,"0hard/-1227583soft"
56163,"0hard/-1227140soft"
56165,"0hard/-1226792soft"
56312,"0hard/-1226589soft"
57187,"0hard/-1226521soft"
58027,"0hard/-1226196soft"
58171,"0hard/-1225838soft"
59310,"0hard/-1225260soft"
59766,"0hard/-1225158soft"
63362,"0hard/-1225142soft"
64729,"0hard/-1225127soft"
64887,"0hard/-1224958soft"
66433,"0hard/-1224537soft"
67803,"0hard/-1224377soft"
68669,"0hard/-1224262soft"
68758,"0hard/-1224195soft"
69634,"0hard/-1224150soft"
69965,"0hard/-1224074soft"
69967,"0hard/-1223455soft"
69967,"0hard/-1223377soft"
75205,"0hard/-1223195soft"
76088,"0hard/-1223177soft"
76468,"0hard/-1223140soft"
76483,"0hard/-1222963soft"
76606,"0hard/-1222620soft"
79807,"0hard/-1222578soft"
79842,"0hard/-1221996soft"
79846,"0hard/-1221279soft"
84516,"0hard/-1221273soft"
85351,"0hard/-1221200soft"
87413,"0hard/-1220912soft"
90752,"0hard/-1220685soft"
179930,"0hard/-1220614soft"
