"timeMillisSpent","score"
31,"0hard/-1420843soft"
45,"0hard/-1411956soft"
63,"0hard/-1409206soft"
81,"0hard/-1406366soft"
117,"0hard/-1401122soft"
159,"0hard/-1394893soft"
199,"0hard/-1382562soft"
242,"0hard/-1378299soft"
284,"0hard/-1367084soft"
332,"0hard/-1361461soft"
370,"0hard/-1358453soft"
393,"0hard/-1353175soft"
416,"0hard/-1350725soft"
438,"0hard/-1343234soft"
460,"0hard/-1343080soft"
483,"0hard/-1334021soft"
504,"0hard/-1332963soft"
527,"0hard/-1327704soft"
548,"0hard/-1327040soft"
571,"0hard/-1321602soft"
598,"0hard/-1320767soft"
623,"0hard/-1319574soft"
652,"0hard/-1315159soft"
693,"0hard/-1313499soft"
738,"0hard/-1312757soft"
782,"0hard/-1311027soft"
822,"0hard/-1310431soft"
865,"0hard/-1309593soft"
905,"0hard/-1308444soft"
943,"0hard/-1308107soft"
978,"0hard/-1302040soft"
1018,"0hard/-1301714soft"
1100,"0hard/-1300062soft"
1146,"0hard/-1299566soft"
1280,"0hard/-1297153soft"
1392,"0hard/-1297037soft"
1458,"0hard/-1295820soft"
1493,"0hard/-1295524soft"
1533,"0hard/-1290902soft"
1605,"0hard/-1289584soft"
1650,"0hard/-1289545soft"
1684,"0hard/-1286445soft"
1723,"0hard/-1286176soft"
1782,"0hard/-1285892soft"
2279,"0hard/-1285004soft"
2322,"0hard/-1284981soft"
2358,"0hard/-1284767soft"
2393,"0hard/-1283992soft"
2422,"0hard/-1283573soft"
2491,"0hard/-1283378soft"
2514,"0hard/-1283297soft"
2543,"0hard/-1282681soft"
2569,"0hard/-1282392soft"
2695,"0hard/-1282001soft"
2742,"0hard/-1277841soft"
2777,"0hard/-1277307soft"
2802,"0hard/-1277268soft"
2829,"0hard/-1277245soft"
2853,"0hard/-1265966soft"
2904,"0hard/-1265962soft"
3095,"0hard/-1265751soft"
3122,"0hard/-1265645soft"
3165,"0hard/-1260541soft"
3209,"0hard/-1253947soft"
3234,"0hard/-1253363soft"
3257,"0hard/-1252035soft"
3280,"0hard/-1250394soft"
3301,"0hard/-1249521soft"
3328,"0hard/-1246314soft"
3370,"0hard/-1246162soft"
3410,"0hard/-1245234soft"
3455,"0hard/-1244761soft"
3477,"0hard/-1244510soft"
3498,"0hard/-1244507soft"
3523,"0hard/-1244140soft"
3552,"0hard/-1243634soft"
3582,"0hard/-1242467soft"
3621,"0hard/-1241533soft"
3668,"0hard/-1241379soft"
3720,"0hard/-1240303soft"
3775,"0hard/-1239717soft"
3806,"0hard/-1239452soft"
3913,"0hard/-1238182soft"
4249,"0hard/-1238133soft"
4274,"0hard/-1237880soft"
4299,"0hard/-1237726soft"
4496,"0hard/-1229091soft"
4518,"0hard/-1228840soft"
4632,"0hard/-1228609soft"
4654,"0hard/-1228541soft"
4684,"0hard/-1228245soft"
4721,"0hard/-1227701soft"
4758,"0hard/-1227273soft"
5544,"0hard/-1227165soft"
5584,"0hard/-1227057soft"
5626,"0hard/-1226968soft"
5672,"0hard/-1226916soft"
5717,"0hard/-1226900soft"
5885,"0hard/-1226713soft"
5914,"0hard/-1226443soft"
5942,"0hard/-1225948soft"
8400,"0hard/-1225684soft"
10449,"0hard/-1224628soft"
10471,"0hard/-1224605soft"
10492,"0hard/-1224424soft"
10512,"0hard/-1224270soft"
10531,"0hard/-1224254soft"
10572,"0hard/-1224055soft"
12332,"0hard/-1224048soft"
12358,"0hard/-1224026soft"
12382,"0hard/-1223691soft"
12404,"0hard/-1223572soft"
17723,"0hard/-1223411soft"
17742,"0hard/-1223257soft"
23622,"0hard/-1223037soft"
24732,"0hard/-1222988soft"
27770,"0hard/-1221220soft"
27794,"0hard/-1219575soft"
27817,"0hard/-1218379soft"
27842,"0hard/-1213056soft"
27869,"0hard/-1208321soft"
27892,"0hard/-1207850soft"
27915,"0hard/-1207696soft"
27936,"0hard/-1207682soft"
27956,"0hard/-1207110soft"
27978,"0hard/-1199089soft"
28334,"0hard/-1198693soft"
28359,"0hard/-1198375soft"
28408,"0hard/-1198359soft"
28433,"0hard/-1198205soft"
28457,"0hard/-1198104soft"
28485,"0hard/-1196723soft"
28529,"0hard/-1196621soft"
28549,"0hard/-1196467soft"
35492,"0hard/-1196387soft"
35520,"0hard/-1196091soft"
35545,"0hard/-1195909soft"
35575,"0hard/-1195755soft"
39986,"0hard/-1195460soft"
40024,"0hard/-1195251soft"
40062,"0hard/-1194537soft"
72708,"0hard/-1194524soft"
72741,"0hard/-1194501soft"
72842,"0hard/-1194234soft"
72884,"0hard/-1194080soft"
72914,"0hard/-1193910soft"
94922,"0hard/-1193886soft"
95388,"0hard/-1193804soft"
95435,"0hard/-1193622soft"
97417,"0hard/-1193563soft"
97489,"0hard/-1193489soft"
97508,"0hard/-1193319soft"
97527,"0hard/-1193165soft"
114113,"0hard/-1193061soft"
114165,"0hard/-1192972soft"
114219,"0hard/-1192861soft"
117048,"0hard/-1192745soft"
130323,"0hard/-1192723soft"
227760,"0hard/-1192643soft"
