"timeMillisSpent","score"
99,"0hard/-4839677soft"
131,"0hard/-4784926soft"
165,"0hard/-4750300soft"
201,"0hard/-4712629soft"
235,"0hard/-4703070soft"
271,"0hard/-4648719soft"
307,"0hard/-4617251soft"
382,"0hard/-4584628soft"
422,"0hard/-4563624soft"
465,"0hard/-4548115soft"
504,"0hard/-4527157soft"
547,"0hard/-4499487soft"
586,"0hard/-4482979soft"
628,"0hard/-4482773soft"
668,"0hard/-4473739soft"
755,"0hard/-4472309soft"
841,"0hard/-4451839soft"
930,"0hard/-4437129soft"
974,"0hard/-4436658soft"
1240,"0hard/-4422747soft"
1330,"0hard/-4411085soft"
1505,"0hard/-4408039soft"
1597,"0hard/-4406098soft"
1897,"0hard/-4405605soft"
2003,"0hard/-4402231soft"
2103,"0hard/-4396741soft"
2197,"0hard/-4393291soft"
2452,"0hard/-4374665soft"
2522,"0hard/-4372986soft"
2577,"0hard/-4350067soft"
2632,"0hard/-4349526soft"
2744,"0hard/-4348189soft"
2802,"0hard/-4326939soft"
2860,"0hard/-4314376soft"
3046,"0hard/-4312478soft"
3217,"0hard/-4312078soft"
3300,"0hard/-4304266soft"
3354,"0hard/-4296738soft"
3737,"0hard/-4293311soft"
3812,"0hard/-4291471soft"
3887,"0hard/-4277504soft"
4110,"0hard/-4271359soft"
4154,"0hard/-4257682soft"
4324,"0hard/-4249900soft"
4369,"0hard/-4243852soft"
4411,"0hard/-4204364soft"
4454,"0hard/-4203233soft"
4497,"0hard/-4199908soft"
4547,"0hard/-4195295soft"
4600,"0hard/-4192963soft"
4649,"0hard/-4192947soft"
4700,"0hard/-4192943soft"
4799,"0hard/-4189824soft"
4851,"0hard/-4189353soft"
5086,"0hard/-4187183soft"
5169,"0hard/-4174300soft"
5211,"0hard/-4168028soft"
5252,"0hard/-4136442soft"
5292,"0hard/-4129262soft"
5507,"0hard/-4127216soft"
5551,"0hard/-4111756soft"
5596,"0hard/-4111247soft"
5686,"0hard/-4110514soft"
5727,"0hard/-4097335soft"
5766,"0hard/-4089923soft"
5804,"0hard/-4089587soft"
5841,"0hard/-4087747soft"
6322,"0hard/-4070869soft"
6527,"0hard/-4068044soft"
6746,"0hard/-4058761soft"
6834,"0hard/-4056796soft"
6875,"0hard/-4056386soft"
6992,"0hard/-4055232soft"
7082,"0hard/-4053802soft"
7130,"0hard/-4046932soft"
7508,"0hard/-4041864soft"
8042,"0hard/-4040151soft"
8091,"0hard/-4032390soft"
8435,"0hard/-4030762soft"
8476,"0hard/-4025394soft"
8517,"0hard/-4023852soft"
8557,"0hard/-4022012soft"
8842,"0hard/-4009327soft"
8881,"0hard/-4008422soft"
8957,"0hard/-4007260soft"
9086,"0hard/-4000580soft"
9134,"0hard/-4000109soft"
9223,"0hard/-3998269soft"
9310,"0hard/-3997057soft"
9393,"0hard/-3996894soft"
9624,"0hard/-3995511soft"
9708,"0hard/-3987423soft"
12305,"0hard/-3986564soft"
12473,"0hard/-3983495soft"
12590,"0hard/-3977880soft"
18967,"0hard/-3976961soft"
19011,"0hard/-3974331soft"
19733,"0hard/-3973038soft"
19916,"0hard/-3971968soft"
19967,"0hard/-3969992soft"
20021,"0hard/-3966528soft"
20113,"0hard/-3964196soft"
20297,"0hard/-3964066soft"
20387,"0hard/-3962226soft"
20469,"0hard/-3961755soft"
20551,"0hard/-3961064soft"
21796,"0hard/-3960748soft"
22074,"0hard/-3960585soft"
32104,"0hard/-3960119soft"
32148,"0hard/-3959214soft"
32188,"0hard/-3958774soft"
32228,"0hard/-3958611soft"
32268,"0hard/-3958206soft"
32308,"0hard/-3956789soft"
32346,"0hard/-3951713soft"
46283,"0hard/-3944760soft"
