"timeMillisSpent","score"
318,"0hard/-13677532soft"
392,"0hard/-13674514soft"
446,"0hard/-13653164soft"
467,"0hard/-13630964soft"
1224,"0hard/-13629399soft"
1225,"0hard/-13613406soft"
1227,"0hard/-13595655soft"
2071,"0hard/-13570955soft"
2577,"0hard/-13551731soft"
3451,"0hard/-13551209soft"
3451,"0hard/-13540742soft"
3453,"0hard/-13536541soft"
3771,"0hard/-13523835soft"
4098,"0hard/-13509459soft"
4244,"0hard/-13509329soft"
4630,"0hard/-13508259soft"
5679,"0hard/-13504723soft"
6045,"0hard/-13493732soft"
6731,"0hard/-13483810soft"
7135,"0hard/-13420265soft"
8253,"0hard/-13407268soft"
8597,"0hard/-13407147soft"
8598,"0hard/-13399984soft"
10571,"0hard/-13397860soft"
10615,"0hard/-13377064soft"
10798,"0hard/-13367940soft"
11853,"0hard/-13352947soft"
12980,"0hard/-13350280soft"
13419,"0hard/-13346831soft"
14631,"0hard/-13342731soft"
15035,"0hard/-13339733soft"
15572,"0hard/-13331742soft"
15575,"0hard/-13331184soft"
15578,"0hard/-13282407soft"
17922,"0hard/-13271654soft"
19613,"0hard/-13265638soft"
19691,"0hard/-13262145soft"
20388,"0hard/-13234870soft"
21686,"0hard/-13214086soft"
22242,"0hard/-13213907soft"
22269,"0hard/-13210094soft"
22858,"0hard/-13204903soft"
23713,"0hard/-13204877soft"
24453,"0hard/-13181938soft"
24963,"0hard/-13166288soft"
25842,"0hard/-13152265soft"
26435,"0hard/-13137167soft"
27591,"0hard/-13131687soft"
29056,"0hard/-13112296soft"
29117,"0hard/-13101114soft"
30043,"0hard/-13096389soft"
30082,"0hard/-13090469soft"
30091,"0hard/-13086577soft"
30700,"0hard/-13079278soft"
31195,"0hard/-13070056soft"
31515,"0hard/-13067039soft"
31579,"0hard/-13065275soft"
31620,"0hard/-13024395soft"
32100,"0hard/-12987815soft"
38093,"0hard/-12973061soft"
39572,"0hard/-12964515soft"
40457,"0hard/-12962542soft"
40460,"0hard/-12957009soft"
40469,"0hard/-12953734soft"
40718,"0hard/-12950305soft"
40783,"0hard/-12949056soft"
40851,"0hard/-12946879soft"
40852,"0hard/-12946788soft"
41021,"0hard/-12942516soft"
41126,"0hard/-12906615soft"
41140,"0hard/-12904815soft"
42820,"0hard/-12904422soft"
