"timeMillisSpent","score"
482,"0hard/-11705995soft"
517,"0hard/-11672392soft"
555,"0hard/-11672318soft"
630,"0hard/-11657332soft"
677,"0hard/-11610613soft"
722,"0hard/-11610101soft"
747,"0hard/-11601026soft"
771,"0hard/-11557156soft"
793,"0hard/-11540868soft"
817,"0hard/-11514036soft"
839,"0hard/-11491167soft"
861,"0hard/-11491102soft"
883,"0hard/-11489821soft"
905,"0hard/-11487309soft"
925,"0hard/-11477942soft"
968,"0hard/-11477912soft"
989,"0hard/-11473705soft"
1011,"0hard/-11473309soft"
1032,"0hard/-11433487soft"
1069,"0hard/-11428739soft"
1148,"0hard/-11398235soft"
1228,"0hard/-11396206soft"
1307,"0hard/-11391215soft"
1430,"0hard/-11357336soft"
1470,"0hard/-11336673soft"
1511,"0hard/-11328360soft"
1551,"0hard/-11321935soft"
1590,"0hard/-11277556soft"
1669,"0hard/-11275784soft"
1710,"0hard/-11252924soft"
1833,"0hard/-11242451soft"
1915,"0hard/-11242272soft"
1958,"0hard/-11241605soft"
2001,"0hard/-11239316soft"
2195,"0hard/-11234242soft"
2217,"0hard/-11230407soft"
2238,"0hard/-11214490soft"
2260,"0hard/-11203154soft"
2281,"0hard/-11201182soft"
2323,"0hard/-11174185soft"
2345,"0hard/-11168522soft"
2376,"0hard/-11145870soft"
2414,"0hard/-11069584soft"
2453,"0hard/-11055618soft"
2492,"0hard/-11046487soft"
2516,"0hard/-11034477soft"
2561,"0hard/-10997979soft"
2585,"0hard/-10987708soft"
2608,"0hard/-10981053soft"
2715,"0hard/-10980586soft"
2735,"0hard/-10972779soft"
2756,"0hard/-10956985soft"
2778,"0hard/-10955862soft"
2821,"0hard/-10951438soft"
2843,"0hard/-10945012soft"
2887,"0hard/-10944718soft"
2910,"0hard/-10934665soft"
2955,"0hard/-10922687soft"
3021,"0hard/-10915732soft"
3043,"0hard/-10913319soft"
3079,"0hard/-10910553soft"
3119,"0hard/-10900706soft"
3158,"0hard/-10900168soft"
3227,"0hard/-10880548soft"
3248,"0hard/-10851244soft"
3292,"0hard/-10845904soft"
3315,"0hard/-10844645soft"
3337,"0hard/-10843268soft"
3382,"0hard/-10840695soft"
3539,"0hard/-10840574soft"
3578,"0hard/-10819523soft"
3654,"0hard/-10813892soft"
3712,"0hard/-10811790soft"
3734,"0hard/-10806061soft"
3756,"0hard/-10797964soft"
3780,"0hard/-10783402soft"
3802,"0hard/-10780252soft"
3917,"0hard/-10771082soft"
3939,"0hard/-10769798soft"
3983,"0hard/-10764006soft"
4005,"0hard/-10761564soft"
4070,"0hard/-10761098soft"
4092,"0hard/-10759995soft"
4137,"0hard/-10759597soft"
4182,"0hard/-10759344soft"
4274,"0hard/-10751409soft"
4320,"0hard/-10745881soft"
4378,"0hard/-10743325soft"
4420,"0hard/-10742539soft"
4462,"0hard/-10722993soft"
4502,"0hard/-10722164soft"
4530,"0hard/-10707342soft"
4573,"0hard/-10689180soft"
4594,"0hard/-10686864soft"
4627,"0hard/-10679202soft"
4667,"0hard/-10673978soft"
4707,"0hard/-10671636soft"
4817,"0hard/-10668157soft"
4840,"0hard/-10667328soft"
4862,"0hard/-10662095soft"
4885,"0hard/-10660890soft"
4906,"0hard/-10657798soft"
4930,"0hard/-10654124soft"
4952,"0hard/-10653640soft"
4975,"0hard/-10650592soft"
4997,"0hard/-10643286soft"
5042,"0hard/-10639386soft"
5065,"0hard/-10636023soft"
5089,"0hard/-10635993soft"
5136,"0hard/-10633843soft"
5653,"0hard/-10633179soft"
5691,"0hard/-10632865soft"
5714,"0hard/-10618120soft"
5736,"0hard/-10596743soft"
5758,"0hard/-10594936soft"
6354,"0hard/-10587034soft"
6401,"0hard/-10575532soft"
6425,"0hard/-10574581soft"
6471,"0hard/-10560070soft"
6494,"0hard/-10558163soft"
6666,"0hard/-10551063soft"
6963,"0hard/-10547158soft"
7087,"0hard/-10537385soft"
7129,"0hard/-10531083soft"
7174,"0hard/-10528378soft"
7216,"0hard/-10527649soft"
7242,"0hard/-10525166soft"
7383,"0hard/-10525101soft"
7422,"0hard/-10508646soft"
7498,"0hard/-10503522soft"
7647,"0hard/-10502237soft"
7698,"0hard/-10499661soft"
9330,"0hard/-10472769soft"
9374,"0hard/-10471531soft"
9395,"0hard/-10468538soft"
9417,"0hard/-10467082soft"
9603,"0hard/-10422250soft"
9670,"0hard/-10420176soft"
9787,"0hard/-10411376soft"
9861,"0hard/-10409240soft"
9937,"0hard/-10396547soft"
10027,"0hard/-10393079soft"
10049,"0hard/-10392294soft"
10394,"0hard/-10383288soft"
10419,"0hard/-10380302soft"
10494,"0hard/-10368785soft"
10518,"0hard/-10366988soft"
10565,"0hard/-10349876soft"
10589,"0hard/-10348177soft"
10655,"0hard/-10343440soft"
11179,"0hard/-10342274soft"
11219,"0hard/-10342135soft"
11259,"0hard/-10339725soft"
11294,"0hard/-10339660soft"
11335,"0hard/-10333751soft"
11468,"0hard/-10326823soft"
11513,"0hard/-10326374soft"
11577,"0hard/-10313389soft"
11841,"0hard/-10311251soft"
12153,"0hard/-10303782soft"
12238,"0hard/-10292142soft"
12261,"0hard/-10291000soft"
12283,"0hard/-10288584soft"
12327,"0hard/-10287482soft"
14148,"0hard/-10281879soft"
14169,"0hard/-10281784soft"
14743,"0hard/-10281528soft"
14860,"0hard/-10279573soft"
15025,"0hard/-10275739soft"
15203,"0hard/-10274607soft"
15263,"0hard/-10274298soft"
15843,"0hard/-10260445soft"
15866,"0hard/-10257694soft"
16635,"0hard/-10256945soft"
16752,"0hard/-10256621soft"
16792,"0hard/-10256295soft"
16832,"0hard/-10254457soft"
16872,"0hard/-10250844soft"
16911,"0hard/-10227905soft"
16950,"0hard/-10227078soft"
16989,"0hard/-10224950soft"
17029,"0hard/-10222418soft"
17067,"0hard/-10222379soft"
17097,"0hard/-10221038soft"
17138,"0hard/-10219068soft"
17203,"0hard/-10218284soft"
17247,"0hard/-10216170soft"
17291,"0hard/-10214170soft"
17315,"0hard/-10213632soft"
17384,"0hard/-10212709soft"
17407,"0hard/-10209690soft"
17476,"0hard/-10209022soft"
17546,"0hard/-10206634soft"
17593,"0hard/-10205749soft"
17694,"0hard/-10205351soft"
17720,"0hard/-10204999soft"
17987,"0hard/-10199961soft"
18156,"0hard/-10196124soft"
18181,"0hard/-10195082soft"
18204,"0hard/-10193593soft"
19687,"0hard/-10190305soft"
19733,"0hard/-10185143soft"
19757,"0hard/-10184891soft"
19803,"0hard/-10183292soft"
19849,"0hard/-10181999soft"
19873,"0hard/-10181501soft"
19895,"0hard/-10173346soft"
20007,"0hard/-10171965soft"
20055,"0hard/-10169050soft"
20104,"0hard/-10167603soft"
20164,"0hard/-10166522soft"
20209,"0hard/-10165842soft"
20336,"0hard/-10164155soft"
21039,"0hard/-10161019soft"
21201,"0hard/-10160273soft"
21242,"0hard/-10159823soft"
21368,"0hard/-10156060soft"
21410,"0hard/-10154616soft"
21451,"0hard/-10148101soft"
21529,"0hard/-10146645soft"
21570,"0hard/-10142768soft"
21647,"0hard/-10139951soft"
21686,"0hard/-10134812soft"
22465,"0hard/-10133266soft"
22585,"0hard/-10128867soft"
22709,"0hard/-10128673soft"
22751,"0hard/-10128491soft"
22867,"0hard/-10118781soft"
25792,"0hard/-10111127soft"
26910,"0hard/-10107420soft"
26956,"0hard/-10107109soft"
27049,"0hard/-10089706soft"
27091,"0hard/-10088344soft"
27305,"0hard/-10087335soft"
27326,"0hard/-10081913soft"
27819,"0hard/-10079972soft"
27841,"0hard/-10077636soft"
27863,"0hard/-10075469soft"
27970,"0hard/-10048103soft"
28012,"0hard/-10047506soft"
28102,"0hard/-10046884soft"
30080,"0hard/-10040099soft"
30126,"0hard/-10038666soft"
30150,"0hard/-10034595soft"
30196,"0hard/-10033108soft"
30238,"0hard/-10031078soft"
30260,"0hard/-10030965soft"
30282,"0hard/-10029674soft"
30348,"0hard/-10029134soft"
30436,"0hard/-10027367soft"
30458,"0hard/-10024196soft"
30482,"0hard/-10022598soft"
30504,"0hard/-10022133soft"
30700,"0hard/-10019383soft"
30744,"0hard/-10015604soft"
30787,"0hard/-10014741soft"
39019,"0hard/-10011287soft"
39068,"0hard/-10011257soft"
39137,"0hard/-10009837soft"
39190,"0hard/-10009633soft"
39266,"0hard/-9995876soft"
39291,"0hard/-9994351soft"
39315,"0hard/-9993231soft"
43081,"0hard/-9989083soft"
43102,"0hard/-9987214soft"
43144,"0hard/-9984640soft"
44242,"0hard/-9982274soft"
44353,"0hard/-9982226soft"
48571,"0hard/-9980884soft"
48669,"0hard/-9978607soft"
48695,"0hard/-9972683soft"
48794,"0hard/-9968886soft"
48844,"0hard/-9954094soft"
49031,"0hard/-9952856soft"
49098,"0hard/-9952524soft"
50635,"0hard/-9948291soft"
50686,"0hard/-9938350soft"
50737,"0hard/-9938169soft"
50761,"0hard/-9931986soft"
50785,"0hard/-9930342soft"
50830,"0hard/-9926638soft"
50963,"0hard/-9926108soft"
50986,"0hard/-9924977soft"
51077,"0hard/-9923718soft"
51099,"0hard/-9920524soft"
51202,"0hard/-9910118soft"
51270,"0hard/-9909862soft"
51293,"0hard/-9888000soft"
51393,"0hard/-9877454soft"
51468,"0hard/-9871954soft"
51494,"0hard/-9841784soft"
51545,"0hard/-9840329soft"
51568,"0hard/-9819431soft"
51775,"0hard/-9817157soft"
51799,"0hard/-9803972soft"
53957,"0hard/-9802835soft"
53990,"0hard/-9794209soft"
54088,"0hard/-9793110soft"
54111,"0hard/-9778884soft"
55528,"0hard/-9776842soft"
55552,"0hard/-9776724soft"
57409,"0hard/-9774714soft"
57454,"0hard/-9774077soft"
57679,"0hard/-9770395soft"
57753,"0hard/-9762137soft"
57777,"0hard/-9760345soft"
57870,"0hard/-9756923soft"
77024,"0hard/-9756876soft"
77070,"0hard/-9753002soft"
81971,"0hard/-9749380soft"
81994,"0hard/-9744557soft"
82199,"0hard/-9744433soft"
82237,"0hard/-9742592soft"
82316,"0hard/-9742081soft"
82355,"0hard/-9741588soft"
82470,"0hard/-9740465soft"
82509,"0hard/-9740334soft"
82549,"0hard/-9738229soft"
82626,"0hard/-9728572soft"
82706,"0hard/-9728200soft"
82745,"0hard/-9725740soft"
82824,"0hard/-9724023soft"
82945,"0hard/-9723577soft"
82990,"0hard/-9721385soft"
83060,"0hard/-9719970soft"
83101,"0hard/-9719107soft"
83224,"0hard/-9711194soft"
83266,"0hard/-9698988soft"
83339,"0hard/-9692978soft"
83557,"0hard/-9683478soft"
83626,"0hard/-9681332soft"
84615,"0hard/-9664760soft"
84640,"0hard/-9663954soft"
84665,"0hard/-9662772soft"
84734,"0hard/-9660989soft"
84858,"0hard/-9659430soft"
84898,"0hard/-9650626soft"
84969,"0hard/-9646445soft"
85040,"0hard/-9643986soft"
85109,"0hard/-9638863soft"
85158,"0hard/-9638160soft"
85181,"0hard/-9637258soft"
85988,"0hard/-9635258soft"
86026,"0hard/-9634673soft"
86317,"0hard/-9631325soft"
86361,"0hard/-9630210soft"
86565,"0hard/-9629144soft"
86588,"0hard/-9628931soft"
86656,"0hard/-9626755soft"
92756,"0hard/-9623359soft"
94643,"0hard/-9622868soft"
94715,"0hard/-9621790soft"
95031,"0hard/-9611434soft"
95152,"0hard/-9610498soft"
95417,"0hard/-9609784soft"
95443,"0hard/-9607661soft"
95489,"0hard/-9598692soft"
95570,"0hard/-9596533soft"
105999,"0hard/-9588550soft"
106067,"0hard/-9583427soft"
112016,"0hard/-9573202soft"
112476,"0hard/-9573150soft"
112500,"0hard/-9568302soft"
112889,"0hard/-9559718soft"
112987,"0hard/-9558252soft"
113014,"0hard/-9557649soft"
113088,"0hard/-9555895soft"
113162,"0hard/-9554799soft"
113188,"0hard/-9554213soft"
113290,"0hard/-9553906soft"
117140,"0hard/-9552289soft"
117187,"0hard/-9547497soft"
117246,"0hard/-9542593soft"
117290,"0hard/-9540568soft"
130464,"0hard/-9534138soft"
130486,"0hard/-9531612soft"
130509,"0hard/-9531526soft"
136267,"0hard/-9514724soft"
136289,"0hard/-9498608soft"
136530,"0hard/-9498051soft"
136578,"0hard/-9496101soft"
151839,"0hard/-9495131soft"
152046,"0hard/-9491862soft"
152230,"0hard/-9489324soft"
152273,"0hard/-9486992soft"
152999,"0hard/-9481996soft"
153044,"0hard/-9481973soft"
153085,"0hard/-9479002soft"
153136,"0hard/-9466114soft"
153212,"0hard/-9461809soft"
153334,"0hard/-9458574soft"
153380,"0hard/-9458386soft"
153472,"0hard/-9458310soft"
155799,"0hard/-9456642soft"
155823,"0hard/-9456357soft"
189923,"0hard/-9450925soft"
192256,"0hard/-9431604soft"
192738,"0hard/-9426337soft"
192837,"0hard/-9423980soft"
192953,"0hard/-9423713soft"
192977,"0hard/-9423606soft"
193195,"0hard/-9422959soft"
194029,"0hard/-9421051soft"
194055,"0hard/-9416769soft"
194181,"0hard/-9415324soft"
194228,"0hard/-9413717soft"
194364,"0hard/-9413254soft"
194388,"0hard/-9407432soft"
194411,"0hard/-9403706soft"
194433,"0hard/-9402476soft"
194476,"0hard/-9401902soft"
194519,"0hard/-9401215soft"
194690,"0hard/-9401076soft"
194744,"0hard/-9395161soft"
194825,"0hard/-9393641soft"
194851,"0hard/-9392164soft"
194950,"0hard/-9390995soft"
195046,"0hard/-9386260soft"
195095,"0hard/-9386038soft"
195171,"0hard/-9385575soft"
195461,"0hard/-9373959soft"
195486,"0hard/-9372814soft"
195509,"0hard/-9371594soft"
195531,"0hard/-9369895soft"
195554,"0hard/-9367831soft"
195687,"0hard/-9354652soft"
195767,"0hard/-9353777soft"
195893,"0hard/-9352278soft"
214595,"0hard/-9348665soft"
214621,"0hard/-9347659soft"
214647,"0hard/-9342700soft"
214718,"0hard/-9320035soft"
