"timeMillisSpent","score"
649,"0hard/-21781455soft"
670,"0hard/-21651693soft"
728,"0hard/-21625052soft"
876,"0hard/-21587866soft"
960,"0hard/-21582363soft"
1069,"0hard/-21574729soft"
1114,"0hard/-21542024soft"
1135,"0hard/-21539510soft"
1156,"0hard/-21450254soft"
1193,"0hard/-21450110soft"
1271,"0hard/-21440769soft"
1310,"0hard/-21439860soft"
1350,"0hard/-21422218soft"
1389,"0hard/-21333327soft"
1429,"0hard/-21332995soft"
1468,"0hard/-21239004soft"
1665,"0hard/-21218980soft"
1819,"0hard/-21197084soft"
1900,"0hard/-21196256soft"
2630,"0hard/-21191143soft"
2694,"0hard/-21190660soft"
2717,"0hard/-21148002soft"
2760,"0hard/-21115520soft"
2849,"0hard/-21115292soft"
2871,"0hard/-21076780soft"
2976,"0hard/-21056803soft"
2997,"0hard/-20906782soft"
3142,"0hard/-20872784soft"
3232,"0hard/-20869942soft"
3321,"0hard/-20781907soft"
3343,"0hard/-20759737soft"
3365,"0hard/-20752367soft"
3603,"0hard/-20750390soft"
3680,"0hard/-20749844soft"
3718,"0hard/-20742422soft"
3757,"0hard/-20710234soft"
4594,"0hard/-20704185soft"
4631,"0hard/-20701439soft"
4703,"0hard/-20700479soft"
6896,"0hard/-20694178soft"
6979,"0hard/-20688297soft"
7000,"0hard/-20681958soft"
7244,"0hard/-20631763soft"
7284,"0hard/-20631378soft"
7513,"0hard/-20619278soft"
7533,"0hard/-20616356soft"
7555,"0hard/-20584952soft"
7596,"0hard/-20583618soft"
7654,"0hard/-20581541soft"
7693,"0hard/-20579279soft"
7731,"0hard/-20567506soft"
7842,"0hard/-20550866soft"
7915,"0hard/-20498328soft"
7974,"0hard/-20498177soft"
8015,"0hard/-20498147soft"
8078,"0hard/-20488640soft"
8622,"0hard/-20485274soft"
8703,"0hard/-20484103soft"
8758,"0hard/-20467943soft"
10279,"0hard/-20466610soft"
10318,"0hard/-20453683soft"
10356,"0hard/-20453147soft"
10393,"0hard/-20413849soft"
10451,"0hard/-20413782soft"
10549,"0hard/-20412165soft"
11386,"0hard/-20406179soft"
11483,"0hard/-20397504soft"
11527,"0hard/-20392234soft"
11779,"0hard/-20391698soft"
11858,"0hard/-20365971soft"
11897,"0hard/-20364965soft"
11917,"0hard/-20364935soft"
11938,"0hard/-20362925soft"
12479,"0hard/-20359215soft"
12516,"0hard/-20323985soft"
12576,"0hard/-20322920soft"
13233,"0hard/-20305793soft"
13490,"0hard/-20305172soft"
13554,"0hard/-20253193soft"
13633,"0hard/-20240129soft"
13654,"0hard/-20221261soft"
13735,"0hard/-20214925soft"
14472,"0hard/-20199021soft"
14493,"0hard/-20198587soft"
14746,"0hard/-20193590soft"
14822,"0hard/-20174025soft"
14846,"0hard/-20172714soft"
14888,"0hard/-20169405soft"
14910,"0hard/-20168155soft"
14931,"0hard/-20162836soft"
14974,"0hard/-20162069soft"
15035,"0hard/-20161469soft"
15075,"0hard/-20157534soft"
15494,"0hard/-20155967soft"
15534,"0hard/-20123404soft"
15576,"0hard/-20122680soft"
15616,"0hard/-20110960soft"
15695,"0hard/-20108539soft"
15733,"0hard/-20102286soft"
15771,"0hard/-20002243soft"
15846,"0hard/-20001023soft"
18894,"0hard/-19915392soft"
18954,"0hard/-19915376soft"
18974,"0hard/-19914017soft"
19015,"0hard/-19906975soft"
19035,"0hard/-19903112soft"
19054,"0hard/-19902088soft"
19074,"0hard/-19901153soft"
19094,"0hard/-19898744soft"
19134,"0hard/-19897001soft"
19154,"0hard/-19886999soft"
19175,"0hard/-19886539soft"
19195,"0hard/-19880848soft"
19216,"0hard/-19857341soft"
19438,"0hard/-19830113soft"
19460,"0hard/-19815802soft"
19541,"0hard/-19814837soft"
19561,"0hard/-19810954soft"
19604,"0hard/-19784163soft"
19647,"0hard/-19783602soft"
19898,"0hard/-19776643soft"
19920,"0hard/-19775897soft"
19942,"0hard/-19775849soft"
20091,"0hard/-19748964soft"
20169,"0hard/-19746772soft"
20208,"0hard/-19734417soft"
20283,"0hard/-19734247soft"
20320,"0hard/-19734016soft"
20392,"0hard/-19711388soft"
20467,"0hard/-19701352soft"
20503,"0hard/-19698775soft"
20541,"0hard/-19697988soft"
20616,"0hard/-19695458soft"
20690,"0hard/-19667021soft"
21205,"0hard/-19652476soft"
21249,"0hard/-19651201soft"
21271,"0hard/-19626110soft"
21292,"0hard/-19601793soft"
21314,"0hard/-19601297soft"
21357,"0hard/-19474862soft"
21554,"0hard/-19473595soft"
21578,"0hard/-19473321soft"
21731,"0hard/-19473144soft"
22408,"0hard/-19460727soft"
22529,"0hard/-19433842soft"
22669,"0hard/-19433681soft"
22691,"0hard/-19424772soft"
22756,"0hard/-19424412soft"
22777,"0hard/-19423893soft"
22863,"0hard/-19373347soft"
23419,"0hard/-19366753soft"
23498,"0hard/-19365644soft"
23782,"0hard/-19364373soft"
23983,"0hard/-19359964soft"
24173,"0hard/-19313054soft"
24363,"0hard/-19309579soft"
24402,"0hard/-19308879soft"
24445,"0hard/-19291155soft"
24484,"0hard/-19290230soft"
24523,"0hard/-19263601soft"
24562,"0hard/-19234175soft"
24601,"0hard/-19229039soft"
24628,"0hard/-19213532soft"
24649,"0hard/-19209034soft"
24671,"0hard/-19204419soft"
24713,"0hard/-19160746soft"
24778,"0hard/-19159201soft"
24800,"0hard/-19140484soft"
26975,"0hard/-19132858soft"
27015,"0hard/-19131548soft"
27053,"0hard/-19103643soft"
28287,"0hard/-19084761soft"
28327,"0hard/-19084668soft"
28406,"0hard/-19083334soft"
31006,"0hard/-19078627soft"
31027,"0hard/-19054949soft"
31092,"0hard/-19052020soft"
31351,"0hard/-19016546soft"
40035,"0hard/-18999375soft"
40070,"0hard/-18977693soft"
40092,"0hard/-18972448soft"
40114,"0hard/-18954471soft"
40157,"0hard/-18937067soft"
40221,"0hard/-18886037soft"
40311,"0hard/-18881558soft"
40401,"0hard/-18876449soft"
40423,"0hard/-18822835soft"
45412,"0hard/-18816040soft"
46010,"0hard/-18800869soft"
46165,"0hard/-18796421soft"
46322,"0hard/-18794921soft"
46363,"0hard/-18792182soft"
46439,"0hard/-18787684soft"
46553,"0hard/-18787642soft"
46884,"0hard/-18750770soft"
46921,"0hard/-18750267soft"
46960,"0hard/-18743255soft"
46998,"0hard/-18743250soft"
47075,"0hard/-18719901soft"
48896,"0hard/-18706345soft"
48917,"0hard/-18680712soft"
48981,"0hard/-18673244soft"
49024,"0hard/-18672936soft"
49045,"0hard/-18664529soft"
49107,"0hard/-18664257soft"
51843,"0hard/-18648103soft"
52967,"0hard/-18628688soft"
53009,"0hard/-18603604soft"
53052,"0hard/-18597284soft"
53073,"0hard/-18592131soft"
53094,"0hard/-18589714soft"
53135,"0hard/-18587194soft"
55938,"0hard/-18582337soft"
55959,"0hard/-18572501soft"
56068,"0hard/-18566505soft"
56147,"0hard/-18545604soft"
56224,"0hard/-18542113soft"
56637,"0hard/-18535358soft"
56724,"0hard/-18534443soft"
62074,"0hard/-18530521soft"
62116,"0hard/-18505485soft"
62263,"0hard/-18505473soft"
62286,"0hard/-18498878soft"
62308,"0hard/-18498132soft"
62371,"0hard/-18497901soft"
63829,"0hard/-18497503soft"
63893,"0hard/-18471704soft"
64087,"0hard/-18460916soft"
64212,"0hard/-18443111soft"
64326,"0hard/-18442703soft"
64405,"0hard/-18442685soft"
66688,"0hard/-18419169soft"
66750,"0hard/-18393702soft"
66833,"0hard/-18381052soft"
66854,"0hard/-18379805soft"
67003,"0hard/-18378043soft"
67027,"0hard/-18372842soft"
67119,"0hard/-18369175soft"
67165,"0hard/-18368886soft"
67251,"0hard/-18367181soft"
76004,"0hard/-18364515soft"
76043,"0hard/-18361027soft"
76122,"0hard/-18357370soft"
76302,"0hard/-18355365soft"
76341,"0hard/-18353623soft"
76464,"0hard/-18349077soft"
78444,"0hard/-18341819soft"
78478,"0hard/-18340601soft"
78649,"0hard/-18298616soft"
80585,"0hard/-18297410soft"
80692,"0hard/-18287536soft"
80714,"0hard/-18269573soft"
80736,"0hard/-18246909soft"
80779,"0hard/-18246446soft"
80843,"0hard/-18239755soft"
92383,"0hard/-18238130soft"
92657,"0hard/-18236286soft"
92680,"0hard/-18229007soft"
92725,"0hard/-18227592soft"
92812,"0hard/-18226976soft"
93339,"0hard/-18211417soft"
101383,"0hard/-18186262soft"
101405,"0hard/-18174697soft"
101426,"0hard/-18172241soft"
101468,"0hard/-18145612soft"
101488,"0hard/-18139601soft"
101527,"0hard/-18138397soft"
101590,"0hard/-18136720soft"
104860,"0hard/-18114911soft"
104882,"0hard/-18086202soft"
104949,"0hard/-18071644soft"
107741,"0hard/-18048302soft"
107935,"0hard/-18042892soft"
108239,"0hard/-18036257soft"
108344,"0hard/-18036058soft"
108549,"0hard/-18016915soft"
108623,"0hard/-18011904soft"
108738,"0hard/-18009611soft"
109084,"0hard/-17999788soft"
109160,"0hard/-17987840soft"
109201,"0hard/-17980958soft"
109317,"0hard/-17948808soft"
109431,"0hard/-17936331soft"
109624,"0hard/-17931824soft"
136728,"0hard/-17928025soft"
136751,"0hard/-17911702soft"
136792,"0hard/-17910965soft"
136838,"0hard/-17906185soft"
136876,"0hard/-17905878soft"
158947,"0hard/-17902872soft"
158995,"0hard/-17902748soft"
159036,"0hard/-17838227soft"
164543,"0hard/-17835479soft"
164587,"0hard/-17830989soft"
167776,"0hard/-17824842soft"
167798,"0hard/-17807391soft"
167858,"0hard/-17803010soft"
167898,"0hard/-17787487soft"
167937,"0hard/-17787483soft"
167976,"0hard/-17785378soft"
168016,"0hard/-17764606soft"
168451,"0hard/-17763802soft"
168494,"0hard/-17723650soft"
168634,"0hard/-17720877soft"
168754,"0hard/-17700846soft"
170190,"0hard/-17667473soft"
170232,"0hard/-17661650soft"
174221,"0hard/-17653240soft"
178931,"0hard/-17649946soft"
178967,"0hard/-17641904soft"
179004,"0hard/-17635688soft"
179039,"0hard/-17612339soft"
179111,"0hard/-17604936soft"
179147,"0hard/-17604237soft"
179297,"0hard/-17600465soft"
179337,"0hard/-17581349soft"
179393,"0hard/-17577938soft"
179437,"0hard/-17574764soft"
179460,"0hard/-17548641soft"
179503,"0hard/-17542816soft"
179525,"0hard/-17541980soft"
179546,"0hard/-17539802soft"
179868,"0hard/-17511639soft"
180070,"0hard/-17511570soft"
180239,"0hard/-17509991soft"
180283,"0hard/-17494658soft"
180325,"0hard/-17487019soft"
180368,"0hard/-17469570soft"
180715,"0hard/-17443074soft"
180791,"0hard/-17443071soft"
181176,"0hard/-17383537soft"
181219,"0hard/-17349836soft"
181240,"0hard/-17343224soft"
181261,"0hard/-17323341soft"
181284,"0hard/-17292646soft"
181673,"0hard/-17286286soft"
181751,"0hard/-17280478soft"
181829,"0hard/-17251413soft"
181870,"0hard/-17248983soft"
181909,"0hard/-17248567soft"
