"timeMillisSpent","score"
1221,"0hard/-17005430soft"
1288,"0hard/-17004710soft"
1388,"0hard/-16999633soft"
1629,"0hard/-16951325soft"
2516,"0hard/-16948245soft"
3299,"0hard/-16938745soft"
4090,"0hard/-16923441soft"
4260,"0hard/-16918937soft"
5534,"0hard/-16865065soft"
8288,"0hard/-16828661soft"
9285,"0hard/-16808893soft"
11533,"0hard/-16793215soft"
12798,"0hard/-16756523soft"
13379,"0hard/-16719540soft"
16530,"0hard/-16695348soft"
17679,"0hard/-16688370soft"
17690,"0hard/-16688267soft"
18503,"0hard/-16665096soft"
20602,"0hard/-16664615soft"
20742,"0hard/-16640043soft"
20743,"0hard/-16638707soft"
21731,"0hard/-16603450soft"
24674,"0hard/-16601276soft"
24677,"0hard/-16600715soft"
24680,"0hard/-16592971soft"
24814,"0hard/-16553461soft"
25640,"0hard/-16551264soft"
26273,"0hard/-16546720soft"
28344,"0hard/-16518275soft"
30869,"0hard/-16499664soft"
30874,"0hard/-16495711soft"
32047,"0hard/-16488403soft"
32157,"0hard/-16487592soft"
32530,"0hard/-16482750soft"
32537,"0hard/-16476015soft"
32664,"0hard/-16462959soft"
33333,"0hard/-16459416soft"
33849,"0hard/-16455979soft"
33871,"0hard/-16453669soft"
34234,"0hard/-16441401soft"
34488,"0hard/-16441364soft"
34493,"0hard/-16441325soft"
36345,"0hard/-16418423soft"
36511,"0hard/-16413090soft"
36714,"0hard/-16411849soft"
36719,"0hard/-16358684soft"
40828,"0hard/-16354299soft"
42905,"0hard/-16347775soft"
43023,"0hard/-16327153soft"
43923,"0hard/-16319456soft"
44494,"0hard/-16313326soft"
45759,"0hard/-16296636soft"
46304,"0hard/-16266935soft"
47146,"0hard/-16258742soft"
48337,"0hard/-16253562soft"
48543,"0hard/-16246415soft"
48567,"0hard/-16239040soft"
48701,"0hard/-16234622soft"
49394,"0hard/-16230853soft"
49779,"0hard/-16229954soft"
49788,"0hard/-16225004soft"
50094,"0hard/-16219338soft"
50773,"0hard/-16209805soft"
51068,"0hard/-16205663soft"
51269,"0hard/-16203621soft"
51270,"0hard/-16201133soft"
51297,"0hard/-16199789soft"
51751,"0hard/-16167154soft"
57174,"0hard/-16163164soft"
57408,"0hard/-16162295soft"
57796,"0hard/-16162227soft"
57798,"0hard/-16162033soft"
57867,"0hard/-16159309soft"
57874,"0hard/-16135675soft"
58144,"0hard/-16121683soft"
58538,"0hard/-16110620soft"
60439,"0hard/-16104104soft"
61554,"0hard/-16076614soft"
63095,"0hard/-16062178soft"
63934,"0hard/-16059418soft"
63980,"0hard/-16050486soft"
64996,"0hard/-16047818soft"
65306,"0hard/-16010685soft"
65622,"0hard/-15992845soft"
66664,"0hard/-15973107soft"
67126,"0hard/-15918348soft"
71136,"0hard/-15911434soft"
74267,"0hard/-15900143soft"
76459,"0hard/-15887846soft"
