"timeMillisSpent","score"
2351,"0hard/-22148240soft"
2756,"0hard/-22069422soft"
2804,"0hard/-21793833soft"
11504,"0hard/-21735652soft"
13972,"0hard/-21707703soft"
16013,"0hard/-21692170soft"
16533,"0hard/-21688498soft"
16534,"0hard/-21597066soft"
16539,"0hard/-21558729soft"
21120,"0hard/-21549174soft"
22411,"0hard/-21527764soft"
25729,"0hard/-21463906soft"
27237,"0hard/-21426788soft"
28956,"0hard/-21425024soft"
30349,"0hard/-21411836soft"
32243,"0hard/-21409357soft"
33422,"0hard/-21401366soft"
35717,"0hard/-21389537soft"
36659,"0hard/-21386384soft"
37008,"0hard/-21365994soft"
37514,"0hard/-21349314soft"
37620,"0hard/-21342328soft"
38500,"0hard/-21338554soft"
38957,"0hard/-21338293soft"
38963,"0hard/-21335015soft"
38970,"0hard/-21303465soft"
40452,"0hard/-21299635soft"
40472,"0hard/-21291046soft"
41506,"0hard/-21266345soft"
41671,"0hard/-21260776soft"
42251,"0hard/-21260197soft"
42302,"0hard/-21255345soft"
42725,"0hard/-21244387soft"
42937,"0hard/-21243087soft"
42942,"0hard/-21239719soft"
43266,"0hard/-21199090soft"
43269,"0hard/-21175521soft"
43271,"0hard/-21140921soft"
47059,"0hard/-21137917soft"
48477,"0hard/-21106907soft"
48849,"0hard/-21102235soft"
51052,"0hard/-21097186soft"
51053,"0hard/-21086387soft"
51817,"0hard/-21082617soft"
51845,"0hard/-21077510soft"
51960,"0hard/-21073515soft"
52212,"0hard/-21073295soft"
52235,"0hard/-21066679soft"
52689,"0hard/-21056612soft"
52991,"0hard/-21038501soft"
53222,"0hard/-21023904soft"
53226,"0hard/-21009995soft"
56449,"0hard/-20993253soft"
59061,"0hard/-20990034soft"
59070,"0hard/-20985132soft"
59188,"0hard/-20983513soft"
59297,"0hard/-20973683soft"
59619,"0hard/-20966025soft"
59755,"0hard/-20961682soft"
59764,"0hard/-20961078soft"
60493,"0hard/-20956585soft"
60531,"0hard/-20955794soft"
61599,"0hard/-20941754soft"
62656,"0hard/-20937137soft"
62672,"0hard/-20930576soft"
62838,"0hard/-20913160soft"
62840,"0hard/-20912862soft"
63126,"0hard/-20906645soft"
63974,"0hard/-20891262soft"
64493,"0hard/-20875679soft"
64547,"0hard/-20843111soft"
65281,"0hard/-20819967soft"
66499,"0hard/-20817123soft"
66505,"0hard/-20807420soft"
67110,"0hard/-20800727soft"
68460,"0hard/-20787002soft"
68465,"0hard/-20786992soft"
69172,"0hard/-20775716soft"
69916,"0hard/-20773705soft"
72076,"0hard/-20765089soft"
72231,"0hard/-20755071soft"
72799,"0hard/-20753845soft"
72809,"0hard/-20739580soft"
72812,"0hard/-20738373soft"
73419,"0hard/-20699381soft"
75800,"0hard/-20698550soft"
76085,"0hard/-20673373soft"
78551,"0hard/-20536743soft"
87500,"0hard/-20532908soft"
88871,"0hard/-20530143soft"
88959,"0hard/-20528423soft"
89230,"0hard/-20519835soft"
89256,"0hard/-20518100soft"
89259,"0hard/-20499279soft"
89293,"0hard/-20498611soft"
90182,"0hard/-20497805soft"
90407,"0hard/-20489455soft"
90409,"0hard/-20481156soft"
90841,"0hard/-20476480soft"
90850,"0hard/-20470902soft"
90853,"0hard/-20467392soft"
90856,"0hard/-20465566soft"
91158,"0hard/-20462786soft"
91215,"0hard/-20449958soft"
91465,"0hard/-20448033soft"
91924,"0hard/-20445959soft"
92766,"0hard/-20430351soft"
92772,"0hard/-20417602soft"
92776,"0hard/-20412718soft"
92867,"0hard/-20411407soft"
93647,"0hard/-20411192soft"
93655,"0hard/-20407359soft"
94176,"0hard/-20407004soft"
94190,"0hard/-20369405soft"
94208,"0hard/-20367687soft"
94567,"0hard/-20365655soft"
94570,"0hard/-20353675soft"
94919,"0hard/-20353337soft"
95989,"0hard/-20346542soft"
