"timeMillisSpent","score"
1927,"0hard/-65619298soft"
1939,"0hard/-65619002soft"
1946,"0hard/-65618148soft"
2021,"0hard/-65617519soft"
2084,"0hard/-65611073soft"
2284,"0hard/-65607648soft"
2562,"0hard/-65225987soft"
16503,"0hard/-65186468soft"
16904,"0hard/-65168592soft"
18503,"0hard/-65134343soft"
19140,"0hard/-65116665soft"
19714,"0hard/-65111146soft"
20035,"0hard/-65099569soft"
20037,"0hard/-65087727soft"
20048,"0hard/-65086001soft"
20122,"0hard/-65072334soft"
20693,"0hard/-65037151soft"
22450,"0hard/-64898037soft"
25562,"0hard/-64877502soft"
29053,"0hard/-64809203soft"
30048,"0hard/-64802927soft"
32937,"0hard/-64752713soft"
33443,"0hard/-64748854soft"
33448,"0hard/-64742376soft"
33456,"0hard/-64711043soft"
37000,"0hard/-64645055soft"
37143,"0hard/-64621368soft"
39029,"0hard/-64577181soft"
39073,"0hard/-64549369soft"
40626,"0hard/-64541495soft"
41459,"0hard/-64537835soft"
41979,"0hard/-64457964soft"
45046,"0hard/-64453096soft"
45692,"0hard/-64421083soft"
45788,"0hard/-64341482soft"
46695,"0hard/-64338455soft"
48449,"0hard/-64296798soft"
48521,"0hard/-64238738soft"
49948,"0hard/-64062582soft"
56178,"0hard/-64051117soft"
58569,"0hard/-64031901soft"
59922,"0hard/-64029201soft"
60264,"0hard/-64018214soft"
60269,"0hard/-64011346soft"
60441,"0hard/-63974091soft"
60442,"0hard/-63910360soft"
61390,"0hard/-63883797soft"
61422,"0hard/-63878832soft"
64849,"0hard/-63853752soft"
65305,"0hard/-63804984soft"
65307,"0hard/-63804781soft"
66650,"0hard/-63790444soft"
67438,"0hard/-63774640soft"
67465,"0hard/-63745833soft"
67481,"0hard/-63714585soft"
68637,"0hard/-63681459soft"
70047,"0hard/-63680577soft"
70217,"0hard/-63674543soft"
70220,"0hard/-63673130soft"
71729,"0hard/-63625227soft"
73451,"0hard/-63621958soft"
73562,"0hard/-63600789soft"
73570,"0hard/-63519727soft"
73572,"0hard/-63440652soft"
80167,"0hard/-63375876soft"
80168,"0hard/-63375725soft"
82803,"0hard/-63369603soft"
82805,"0hard/-63327466soft"
85342,"0hard/-63323547soft"
85789,"0hard/-63308686soft"
85791,"0hard/-63282224soft"
86013,"0hard/-63257101soft"
86309,"0hard/-63248302soft"
86455,"0hard/-63188388soft"
88217,"0hard/-63166000soft"
88248,"0hard/-63134254soft"
91039,"0hard/-63085218soft"
92080,"0hard/-63077163soft"
92690,"0hard/-63037011soft"
93729,"0hard/-62933173soft"
98965,"0hard/-62915243soft"
99632,"0hard/-62865670soft"
99637,"0hard/-62808951soft"
101412,"0hard/-62798703soft"
101629,"0hard/-62720850soft"
104776,"0hard/-62635225soft"
105748,"0hard/-62603590soft"
107216,"0hard/-62602174soft"
110718,"0hard/-62525000soft"
111302,"0hard/-62516045soft"
112836,"0hard/-62462841soft"
112984,"0hard/-62412830soft"
114356,"0hard/-62412153soft"
114713,"0hard/-62379525soft"
115292,"0hard/-62367570soft"
115294,"0hard/-62356192soft"
117016,"0hard/-62352185soft"
117751,"0hard/-62349854soft"
118477,"0hard/-62341065soft"
118979,"0hard/-62337554soft"
118997,"0hard/-62324241soft"
119242,"0hard/-62310192soft"
119916,"0hard/-62298136soft"
120271,"0hard/-62243167soft"
121406,"0hard/-62237287soft"
121747,"0hard/-62215907soft"
122084,"0hard/-62202556soft"
122999,"0hard/-62183100soft"
123002,"0hard/-62178139soft"
123113,"0hard/-62172279soft"
123616,"0hard/-62166983soft"
124278,"0hard/-62149028soft"
124734,"0hard/-62120572soft"
124963,"0hard/-62117053soft"
125114,"0hard/-62114300soft"
125137,"0hard/-62022869soft"
127724,"0hard/-62012068soft"
129042,"0hard/-61976186soft"
129837,"0hard/-61954341soft"
129843,"0hard/-61885768soft"
131582,"0hard/-61871707soft"
133290,"0hard/-61870203soft"
134476,"0hard/-61861113soft"
