"timeMillisSpent","score"
3929,"0hard/-34960241soft"
4037,"0hard/-34885657soft"
4145,"0hard/-34885294soft"
4182,"0hard/-34686468soft"
4219,"0hard/-34549967soft"
5037,"0hard/-34489656soft"
5090,"0hard/-34459403soft"
5126,"0hard/-34459361soft"
5165,"0hard/-34454203soft"
5234,"0hard/-34446479soft"
5302,"0hard/-34396259soft"
5372,"0hard/-34394011soft"
5575,"0hard/-34388988soft"
5785,"0hard/-34309473soft"
6171,"0hard/-34304044soft"
6236,"0hard/-34277235soft"
6392,"0hard/-34241179soft"
6463,"0hard/-34223045soft"
6603,"0hard/-34222205soft"
6739,"0hard/-34219822soft"
7274,"0hard/-34209467soft"
7309,"0hard/-34198703soft"
7381,"0hard/-34180778soft"
7417,"0hard/-34175107soft"
7490,"0hard/-34161781soft"
7645,"0hard/-34150928soft"
7682,"0hard/-34101053soft"
7758,"0hard/-34088407soft"
7832,"0hard/-34009121soft"
7867,"0hard/-33987245soft"
7976,"0hard/-33968645soft"
8047,"0hard/-33926428soft"
8083,"0hard/-33912417soft"
8154,"0hard/-33911500soft"
8190,"0hard/-33886853soft"
8224,"0hard/-33874640soft"
8620,"0hard/-33873219soft"
8659,"0hard/-33859618soft"
8778,"0hard/-33856538soft"
8817,"0hard/-33852203soft"
9690,"0hard/-33676106soft"
9894,"0hard/-33631888soft"
9965,"0hard/-33619239soft"
10033,"0hard/-33574992soft"
10745,"0hard/-33549697soft"
10782,"0hard/-33537294soft"
12171,"0hard/-33523747soft"
12442,"0hard/-33466409soft"
13694,"0hard/-33464773soft"
13730,"0hard/-33451583soft"
13765,"0hard/-33398048soft"
13799,"0hard/-33384774soft"
13836,"0hard/-33382592soft"
13871,"0hard/-33327240soft"
13946,"0hard/-33290666soft"
14130,"0hard/-33220113soft"
14412,"0hard/-33213401soft"
14517,"0hard/-33204963soft"
14552,"0hard/-33161767soft"
14586,"0hard/-33150224soft"
14620,"0hard/-33131250soft"
15211,"0hard/-33014713soft"
15280,"0hard/-33004187soft"
15343,"0hard/-33002873soft"
15532,"0hard/-32990470soft"
15599,"0hard/-32977275soft"
15663,"0hard/-32952843soft"
15723,"0hard/-32947064soft"
15792,"0hard/-32908594soft"
15826,"0hard/-32882260soft"
15929,"0hard/-32868259soft"
15998,"0hard/-32866916soft"
16256,"0hard/-32864117soft"
16333,"0hard/-32849711soft"
16372,"0hard/-32832494soft"
16556,"0hard/-32812113soft"
16592,"0hard/-32810534soft"
16626,"0hard/-32797169soft"
16662,"0hard/-32726565soft"
16765,"0hard/-32726458soft"
19374,"0hard/-32720969soft"
19408,"0hard/-32710989soft"
19442,"0hard/-32701914soft"
19475,"0hard/-32684576soft"
19509,"0hard/-32671348soft"
19567,"0hard/-32652379soft"
19631,"0hard/-32624693soft"
19693,"0hard/-32615843soft"
19727,"0hard/-32602242soft"
19761,"0hard/-32594542soft"
19797,"0hard/-32591641soft"
19897,"0hard/-32587218soft"
19931,"0hard/-32578116soft"
19967,"0hard/-32575326soft"
20002,"0hard/-32574085soft"
20330,"0hard/-32569438soft"
22142,"0hard/-32566023soft"
22178,"0hard/-32565620soft"
22316,"0hard/-32543389soft"
22350,"0hard/-32542990soft"
22489,"0hard/-32420179soft"
22524,"0hard/-32406775soft"
22559,"0hard/-32375400soft"
22627,"0hard/-32375139soft"
22660,"0hard/-32367743soft"
22693,"0hard/-32345495soft"
22728,"0hard/-32334068soft"
22829,"0hard/-32330203soft"
22864,"0hard/-32321490soft"
22898,"0hard/-32305818soft"
23032,"0hard/-32239026soft"
23067,"0hard/-32236673soft"
26078,"0hard/-32224447soft"
26139,"0hard/-32207842soft"
26208,"0hard/-32189542soft"
26333,"0hard/-32188571soft"
26462,"0hard/-32174852soft"
26524,"0hard/-32174460soft"
26596,"0hard/-32166585soft"
26633,"0hard/-32157406soft"
26810,"0hard/-32139144soft"
26849,"0hard/-32107962soft"
26920,"0hard/-32097904soft"
26991,"0hard/-32092923soft"
27643,"0hard/-32088473soft"
27740,"0hard/-32022179soft"
27807,"0hard/-32017957soft"
27875,"0hard/-32005583soft"
28084,"0hard/-31996845soft"
28120,"0hard/-31986881soft"
28187,"0hard/-31984644soft"
28256,"0hard/-31981533soft"
28323,"0hard/-31965397soft"
28356,"0hard/-31957030soft"
28391,"0hard/-31942787soft"
28426,"0hard/-31942733soft"
28527,"0hard/-31939837soft"
28562,"0hard/-31934822soft"
28596,"0hard/-31933329soft"
28740,"0hard/-31915499soft"
29059,"0hard/-31915033soft"
29097,"0hard/-31892149soft"
29168,"0hard/-31712102soft"
29215,"0hard/-31705460soft"
29282,"0hard/-31702216soft"
29348,"0hard/-31699760soft"
29399,"0hard/-31693374soft"
29453,"0hard/-31681009soft"
29590,"0hard/-31675507soft"
31106,"0hard/-31669545soft"
31144,"0hard/-31666248soft"
31182,"0hard/-31660951soft"
31219,"0hard/-31654174soft"
31356,"0hard/-31549766soft"
32715,"0hard/-31546079soft"
32747,"0hard/-31543497soft"
32811,"0hard/-31540751soft"
32910,"0hard/-31499486soft"
32944,"0hard/-31487828soft"
32976,"0hard/-31474157soft"
33010,"0hard/-31471315soft"
