"timeMillisSpent","score"
2042,"0hard/-77554122soft"
2079,"0hard/-77536382soft"
2116,"0hard/-77482181soft"
2153,"0hard/-77458717soft"
2189,"0hard/-77447985soft"
2227,"0hard/-77442151soft"
2374,"0hard/-77385449soft"
2412,"0hard/-77250867soft"
2450,"0hard/-77206029soft"
2489,"0hard/-77206023soft"
2526,"0hard/-77154926soft"
2564,"0hard/-77021238soft"
2601,"0hard/-77003916soft"
2675,"0hard/-76997801soft"
2698,"0hard/-76902479soft"
2778,"0hard/-76873659soft"
2800,"0hard/-76812716soft"
2822,"0hard/-76801881soft"
2843,"0hard/-76794545soft"
2984,"0hard/-76667721soft"
3005,"0hard/-76666768soft"
3027,"0hard/-76617483soft"
3048,"0hard/-76553020soft"
3070,"0hard/-76538243soft"
3090,"0hard/-76391065soft"
3111,"0hard/-76339094soft"
3213,"0hard/-76266835soft"
3235,"0hard/-76211908soft"
3257,"0hard/-76202612soft"
3299,"0hard/-76158515soft"
3342,"0hard/-76150739soft"
3363,"0hard/-76146852soft"
3384,"0hard/-76137252soft"
3466,"0hard/-76101687soft"
3487,"0hard/-76027539soft"
3508,"0hard/-76010732soft"
3533,"0hard/-76009371soft"
3572,"0hard/-76004035soft"
3609,"0hard/-75968921soft"
3720,"0hard/-75967864soft"
3760,"0hard/-75962913soft"
3797,"0hard/-75945945soft"
3976,"0hard/-75733271soft"
4008,"0hard/-75691802soft"
4029,"0hard/-75683474soft"
4049,"0hard/-75595927soft"
4098,"0hard/-75579235soft"
4244,"0hard/-75572559soft"
4281,"0hard/-75531531soft"
4420,"0hard/-75440908soft"
4462,"0hard/-75406769soft"
4610,"0hard/-75375896soft"
4677,"0hard/-75352170soft"
4699,"0hard/-75338046soft"
4720,"0hard/-75310785soft"
4842,"0hard/-75269546soft"
4882,"0hard/-75247247soft"
4904,"0hard/-75204781soft"
4925,"0hard/-75182566soft"
4946,"0hard/-75175802soft"
4987,"0hard/-75170507soft"
5105,"0hard/-75000245soft"
5126,"0hard/-74834340soft"
5230,"0hard/-74822428soft"
5272,"0hard/-74737037soft"
5314,"0hard/-74723146soft"
5335,"0hard/-74700094soft"
5376,"0hard/-74666630soft"
5396,"0hard/-74637037soft"
5416,"0hard/-74592145soft"
5437,"0hard/-74539043soft"
5515,"0hard/-74536270soft"
5633,"0hard/-74499555soft"
5733,"0hard/-74469189soft"
5775,"0hard/-74426631soft"
5816,"0hard/-74408845soft"
5837,"0hard/-74372972soft"
5858,"0hard/-74279483soft"
5881,"0hard/-74210610soft"
5956,"0hard/-74209793soft"
6033,"0hard/-74187989soft"
6068,"0hard/-74142028soft"
6489,"0hard/-74132530soft"
6668,"0hard/-74099109soft"
6694,"0hard/-74005177soft"
6730,"0hard/-73872309soft"
6768,"0hard/-73867207soft"
6841,"0hard/-73866882soft"
6871,"0hard/-73856846soft"
6911,"0hard/-73839548soft"
6932,"0hard/-73829827soft"
6954,"0hard/-73710962soft"
7590,"0hard/-73690739soft"
7611,"0hard/-73680191soft"
7631,"0hard/-73678241soft"
7690,"0hard/-73675185soft"
7796,"0hard/-73648356soft"
7823,"0hard/-73609972soft"
7843,"0hard/-73606551soft"
7882,"0hard/-73589452soft"
7904,"0hard/-73489249soft"
7963,"0hard/-73489154soft"
8084,"0hard/-73473486soft"
8105,"0hard/-73467744soft"
8148,"0hard/-73464955soft"
8170,"0hard/-73459693soft"
8192,"0hard/-73458655soft"
8234,"0hard/-73431776soft"
8278,"0hard/-73387359soft"
8321,"0hard/-73310857soft"
