"timeMillisSpent","score"
4499,"0hard/-58422837soft"
4842,"0hard/-58392369soft"
4858,"0hard/-58232672soft"
5169,"0hard/-58223045soft"
9852,"0hard/-58206787soft"
11122,"0hard/-58173461soft"
11268,"0hard/-58162480soft"
11979,"0hard/-58131385soft"
12284,"0hard/-58064118soft"
12805,"0hard/-58015242soft"
13918,"0hard/-58013550soft"
15402,"0hard/-57957453soft"
15755,"0hard/-57946551soft"
16880,"0hard/-57936194soft"
17540,"0hard/-57923923soft"
17658,"0hard/-57917744soft"
18245,"0hard/-57834234soft"
21641,"0hard/-57796178soft"
22895,"0hard/-57785254soft"
23038,"0hard/-57745587soft"
23659,"0hard/-57745190soft"
23997,"0hard/-57738181soft"
24047,"0hard/-57731027soft"
24051,"0hard/-57663226soft"
26093,"0hard/-57639388soft"
27026,"0hard/-57614044soft"
28528,"0hard/-57597092soft"
30475,"0hard/-57577134soft"
30545,"0hard/-57431440soft"
32745,"0hard/-57413350soft"
33520,"0hard/-57397190soft"
33913,"0hard/-57368995soft"
33918,"0hard/-57359900soft"
33924,"0hard/-57358522soft"
33967,"0hard/-57335092soft"
35394,"0hard/-57309995soft"
35947,"0hard/-57298027soft"
36198,"0hard/-57292001soft"
36229,"0hard/-57230117soft"
37452,"0hard/-57221736soft"
37511,"0hard/-57211709soft"
37638,"0hard/-57172614soft"
38397,"0hard/-57133465soft"
38665,"0hard/-57076971soft"
38966,"0hard/-57052930soft"
40898,"0hard/-57037313soft"
42556,"0hard/-57020134soft"
42652,"0hard/-56984887soft"
43847,"0hard/-56981644soft"
43904,"0hard/-56926128soft"
44876,"0hard/-56918766soft"
45604,"0hard/-56914052soft"
46536,"0hard/-56913337soft"
46674,"0hard/-56862282soft"
47315,"0hard/-56855893soft"
47353,"0hard/-56852378soft"
48630,"0hard/-56805841soft"
48648,"0hard/-56799885soft"
50153,"0hard/-56725427soft"
53302,"0hard/-56719668soft"
53350,"0hard/-56711692soft"
53603,"0hard/-56702257soft"
53799,"0hard/-56659282soft"
55107,"0hard/-56625592soft"
56851,"0hard/-56605513soft"
60462,"0hard/-56573354soft"
60871,"0hard/-56549544soft"
60873,"0hard/-56541344soft"
61332,"0hard/-56480987soft"
61507,"0hard/-56450607soft"
63676,"0hard/-56435412soft"
63682,"0hard/-56403392soft"
65128,"0hard/-56387762soft"
