"timeMillisSpent","score"
2107,"0hard/-61013057soft"
2149,"0hard/-60894136soft"
2255,"0hard/-60861832soft"
2530,"0hard/-60861102soft"
2570,"0hard/-60706144soft"
2610,"0hard/-60695922soft"
2688,"0hard/-60695430soft"
2709,"0hard/-60677190soft"
3027,"0hard/-60673464soft"
3132,"0hard/-60630963soft"
3176,"0hard/-60609414soft"
3221,"0hard/-60609105soft"
3263,"0hard/-60607949soft"
3285,"0hard/-60607186soft"
3742,"0hard/-60606639soft"
3785,"0hard/-60597373soft"
3899,"0hard/-60587282soft"
3977,"0hard/-60571657soft"
4056,"0hard/-60534276soft"
4096,"0hard/-60534050soft"
4176,"0hard/-60478407soft"
4415,"0hard/-60459315soft"
4439,"0hard/-60337578soft"
4461,"0hard/-60326701soft"
5372,"0hard/-60230561soft"
5394,"0hard/-60224017soft"
5458,"0hard/-60215003soft"
5479,"0hard/-60164812soft"
5522,"0hard/-60039201soft"
5586,"0hard/-60018111soft"
5692,"0hard/-59990993soft"
5713,"0hard/-59988128soft"
5734,"0hard/-59988004soft"
5799,"0hard/-59981437soft"
9073,"0hard/-59967038soft"
9139,"0hard/-59965283soft"
9160,"0hard/-59940743soft"
9184,"0hard/-59940126soft"
9206,"0hard/-59933134soft"
9228,"0hard/-59930346soft"
9249,"0hard/-59920246soft"
9270,"0hard/-59916305soft"
9293,"0hard/-59916303soft"
9334,"0hard/-59899586soft"
9355,"0hard/-59891572soft"
9398,"0hard/-59879074soft"
9420,"0hard/-59876172soft"
9443,"0hard/-59866182soft"
9465,"0hard/-59864814soft"
9509,"0hard/-59864432soft"
9531,"0hard/-59861802soft"
9552,"0hard/-59780654soft"
9658,"0hard/-59758091soft"
9680,"0hard/-59755696soft"
9725,"0hard/-59744210soft"
9769,"0hard/-59726863soft"
10033,"0hard/-59723327soft"
10140,"0hard/-59707294soft"
10161,"0hard/-59565125soft"
10390,"0hard/-59553986soft"
10419,"0hard/-59539434soft"
10495,"0hard/-59534705soft"
10535,"0hard/-59506242soft"
11050,"0hard/-59459030soft"
11073,"0hard/-59450622soft"
11161,"0hard/-59426219soft"
11185,"0hard/-59424658soft"
11554,"0hard/-59411031soft"
11576,"0hard/-59407568soft"
13279,"0hard/-59401625soft"
13322,"0hard/-59395566soft"
13408,"0hard/-59386170soft"
13451,"0hard/-59380708soft"
13711,"0hard/-59351937soft"
13751,"0hard/-59347475soft"
13876,"0hard/-59308615soft"
14048,"0hard/-59301025soft"
14071,"0hard/-59300786soft"
14094,"0hard/-59298378soft"
14142,"0hard/-59292037soft"
14189,"0hard/-59290774soft"
14448,"0hard/-59285038soft"
14526,"0hard/-59278971soft"
14569,"0hard/-59233245soft"
16292,"0hard/-59197559soft"
16325,"0hard/-59182846soft"
16365,"0hard/-59174916soft"
16403,"0hard/-59171054soft"
16443,"0hard/-59170719soft"
16471,"0hard/-59157045soft"
16515,"0hard/-59144425soft"
16591,"0hard/-59120882soft"
17720,"0hard/-59118761soft"
17763,"0hard/-59114543soft"
17825,"0hard/-59112296soft"
17891,"0hard/-59108434soft"
18349,"0hard/-59108393soft"
18392,"0hard/-59083724soft"
18413,"0hard/-59079334soft"
18490,"0hard/-59061106soft"
18568,"0hard/-59025051soft"
18643,"0hard/-59020754soft"
18664,"0hard/-59006202soft"
18685,"0hard/-58998451soft"
18707,"0hard/-58980077soft"
18853,"0hard/-58969703soft"
18939,"0hard/-58962739soft"
18961,"0hard/-58954848soft"
20875,"0hard/-58864529soft"
20963,"0hard/-58824535soft"
20986,"0hard/-58817517soft"
21008,"0hard/-58814937soft"
21053,"0hard/-58814616soft"
21076,"0hard/-58813721soft"
21098,"0hard/-58797268soft"
21143,"0hard/-58791864soft"
21648,"0hard/-58784817soft"
21692,"0hard/-58783210soft"
21715,"0hard/-58742434soft"
21736,"0hard/-58739834soft"
21780,"0hard/-58736294soft"
21843,"0hard/-58732890soft"
21866,"0hard/-58731719soft"
21953,"0hard/-58726702soft"
21983,"0hard/-58725334soft"
22199,"0hard/-58713647soft"
22221,"0hard/-58708372soft"
22264,"0hard/-58707622soft"
22562,"0hard/-58705759soft"
22720,"0hard/-58668633soft"
22801,"0hard/-58664805soft"
23495,"0hard/-58659131soft"
23517,"0hard/-58609296soft"
23539,"0hard/-58609093soft"
23607,"0hard/-58604970soft"
23646,"0hard/-58604854soft"
23800,"0hard/-58602755soft"
23877,"0hard/-58601313soft"
23916,"0hard/-58600629soft"
23955,"0hard/-58590407soft"
24109,"0hard/-58582759soft"
24147,"0hard/-58579386soft"
24185,"0hard/-58577754soft"
24263,"0hard/-58572235soft"
25484,"0hard/-58519858soft"
25506,"0hard/-58510064soft"
25528,"0hard/-58489220soft"
25646,"0hard/-58486940soft"
26888,"0hard/-58483465soft"
26910,"0hard/-58480952soft"
26975,"0hard/-58467278soft"
27017,"0hard/-58466690soft"
27039,"0hard/-58455567soft"
27062,"0hard/-58445345soft"
27125,"0hard/-58444999soft"
27191,"0hard/-58437530soft"
27258,"0hard/-58415546soft"
27413,"0hard/-58403010soft"
27524,"0hard/-58402615soft"
27546,"0hard/-58396410soft"
27575,"0hard/-58395254soft"
32836,"0hard/-58323022soft"
32880,"0hard/-58271222soft"
32901,"0hard/-58262412soft"
32943,"0hard/-58258196soft"
33725,"0hard/-58256912soft"
33748,"0hard/-58241425soft"
33769,"0hard/-58237745soft"
33811,"0hard/-58233170soft"
33833,"0hard/-58223305soft"
33855,"0hard/-58217733soft"
33877,"0hard/-58163168soft"
33898,"0hard/-58161528soft"
33942,"0hard/-58145293soft"
33983,"0hard/-58138185soft"
34005,"0hard/-58135675soft"
34026,"0hard/-58133316soft"
34442,"0hard/-58097750soft"
34557,"0hard/-58095303soft"
34635,"0hard/-58092893soft"
34713,"0hard/-58070648soft"
34753,"0hard/-57973586soft"
34793,"0hard/-57958030soft"
34907,"0hard/-57954724soft"
34985,"0hard/-57954588soft"
35114,"0hard/-57947290soft"
35158,"0hard/-57945109soft"
35310,"0hard/-57932616soft"
35352,"0hard/-57898178soft"
36136,"0hard/-57882589soft"
36198,"0hard/-57880246soft"
36220,"0hard/-57875618soft"
36242,"0hard/-57873498soft"
36388,"0hard/-57869226soft"
36449,"0hard/-57867350soft"
36599,"0hard/-57860751soft"
36638,"0hard/-57856509soft"
36669,"0hard/-57853955soft"
36690,"0hard/-57850531soft"
36711,"0hard/-57843600soft"
36816,"0hard/-57839433soft"
36838,"0hard/-57828528soft"
37044,"0hard/-57819184soft"
37084,"0hard/-57819037soft"
37554,"0hard/-57751724soft"
37670,"0hard/-57748242soft"
38001,"0hard/-57686002soft"
38067,"0hard/-57684321soft"
38110,"0hard/-57673501soft"
38195,"0hard/-57671370soft"
40420,"0hard/-57662948soft"
40613,"0hard/-57657758soft"
40653,"0hard/-57649863soft"
40692,"0hard/-57649573soft"
42161,"0hard/-57643852soft"
42206,"0hard/-57642898soft"
42248,"0hard/-57631920soft"
42482,"0hard/-57630677soft"
42523,"0hard/-57630104soft"
43074,"0hard/-57609453soft"
43095,"0hard/-57608947soft"
43139,"0hard/-57593985soft"
43160,"0hard/-57577048soft"
43182,"0hard/-57573802soft"
43203,"0hard/-57566088soft"
43244,"0hard/-57550343soft"
43349,"0hard/-57526852soft"
43453,"0hard/-57524871soft"
43517,"0hard/-57523666soft"
43540,"0hard/-57518022soft"
43920,"0hard/-57514644soft"
43941,"0hard/-57506433soft"
43963,"0hard/-57503923soft"
43985,"0hard/-57490249soft"
44007,"0hard/-57486832soft"
44028,"0hard/-57460702soft"
44092,"0hard/-57459593soft"
44115,"0hard/-57453485soft"
44157,"0hard/-57451734soft"
44179,"0hard/-57443233soft"
44201,"0hard/-57434547soft"
44224,"0hard/-57408595soft"
45047,"0hard/-57395782soft"
45068,"0hard/-57395127soft"
45089,"0hard/-57387107soft"
45110,"0hard/-57358533soft"
45135,"0hard/-57354640soft"
46225,"0hard/-57300253soft"
46290,"0hard/-57284847soft"
46329,"0hard/-57251018soft"
46404,"0hard/-57250992soft"
46446,"0hard/-57237749soft"
46610,"0hard/-57219088soft"
46765,"0hard/-57210495soft"
46849,"0hard/-57209036soft"
46891,"0hard/-57207923soft"
46933,"0hard/-57198238soft"
47160,"0hard/-57191651soft"
47200,"0hard/-57190989soft"
47278,"0hard/-57170252soft"
57119,"0hard/-57165715soft"
57271,"0hard/-57165529soft"
57309,"0hard/-57165128soft"
57409,"0hard/-57165087soft"
57432,"0hard/-57146564soft"
57566,"0hard/-57141295soft"
57589,"0hard/-57137424soft"
57750,"0hard/-57134548soft"
58020,"0hard/-57077653soft"
58060,"0hard/-57074490soft"
59674,"0hard/-57003509soft"
59721,"0hard/-56997019soft"
59791,"0hard/-56995823soft"
59883,"0hard/-56963527soft"
60314,"0hard/-56960093soft"
60336,"0hard/-56959220soft"
60359,"0hard/-56957512soft"
60381,"0hard/-56947290soft"
60424,"0hard/-56931781soft"
60508,"0hard/-56927074soft"
60529,"0hard/-56927014soft"
60572,"0hard/-56923424soft"
60858,"0hard/-56899782soft"
60905,"0hard/-56885255soft"
60971,"0hard/-56873909soft"
61035,"0hard/-56871066soft"
61077,"0hard/-56868980soft"
69229,"0hard/-56832741soft"
69267,"0hard/-56827971soft"
69306,"0hard/-56821392soft"
69492,"0hard/-56797460soft"
69565,"0hard/-56796108soft"
69586,"0hard/-56794013soft"
69628,"0hard/-56791325soft"
69691,"0hard/-56787158soft"
69754,"0hard/-56781840soft"
69869,"0hard/-56772707soft"
70127,"0hard/-56769126soft"
70150,"0hard/-56757468soft"
70213,"0hard/-56741169soft"
72282,"0hard/-56730606soft"
72304,"0hard/-56719407soft"
73026,"0hard/-56698592soft"
