"timeMillisSpent","score"
4718,"0hard/-40889470soft"
4810,"0hard/-40880738soft"
4906,"0hard/-40880233soft"
5079,"0hard/-40815094soft"
5426,"0hard/-40809786soft"
5501,"0hard/-40788520soft"
6447,"0hard/-40759617soft"
6450,"0hard/-40756720soft"
7984,"0hard/-40725997soft"
7990,"0hard/-40724109soft"
8350,"0hard/-40721463soft"
9376,"0hard/-40713721soft"
9538,"0hard/-40610903soft"
12340,"0hard/-40602089soft"
17395,"0hard/-40589236soft"
17990,"0hard/-40568187soft"
19911,"0hard/-40564920soft"
20159,"0hard/-40547346soft"
20601,"0hard/-40521435soft"
21487,"0hard/-40477322soft"
26025,"0hard/-40468642soft"
26035,"0hard/-40468167soft"
26628,"0hard/-40464597soft"
26636,"0hard/-40452888soft"
26725,"0hard/-40450918soft"
28136,"0hard/-40443023soft"
28292,"0hard/-40432805soft"
28295,"0hard/-40429757soft"
28298,"0hard/-40401094soft"
28300,"0hard/-40396153soft"
29244,"0hard/-40395199soft"
29775,"0hard/-40395015soft"
32025,"0hard/-40387631soft"
32781,"0hard/-40350868soft"
36464,"0hard/-40347627soft"
37498,"0hard/-40341281soft"
38605,"0hard/-40326017soft"
38959,"0hard/-40271342soft"
42204,"0hard/-40257243soft"
43504,"0hard/-40247324soft"
43826,"0hard/-40179358soft"
49478,"0hard/-40175833soft"
49650,"0hard/-40162452soft"
49653,"0hard/-40151283soft"
49655,"0hard/-40151222soft"
51414,"0hard/-40145034soft"
51741,"0hard/-40123466soft"
52103,"0hard/-40076579soft"
52938,"0hard/-40073249soft"
53622,"0hard/-40032732soft"
54517,"0hard/-40025015soft"
55737,"0hard/-39998709soft"
56541,"0hard/-39993542soft"
56678,"0hard/-39988345soft"
57055,"0hard/-39950035soft"
57177,"0hard/-39933967soft"
59962,"0hard/-39894386soft"
60728,"0hard/-39886137soft"
61172,"0hard/-39845523soft"
62909,"0hard/-39844808soft"
64259,"0hard/-39829825soft"
64278,"0hard/-39829380soft"
64553,"0hard/-39818487soft"
66374,"0hard/-39801086soft"
66460,"0hard/-39762498soft"
67875,"0hard/-39747008soft"
69062,"0hard/-39745690soft"
70235,"0hard/-39710760soft"
70974,"0hard/-39693514soft"
72074,"0hard/-39670835soft"
73712,"0hard/-39668924soft"
73814,"0hard/-39642313soft"
74361,"0hard/-39592882soft"
74580,"0hard/-39592052soft"
74973,"0hard/-39570826soft"
77328,"0hard/-39558015soft"
77338,"0hard/-39544049soft"
77472,"0hard/-39503541soft"
78700,"0hard/-39496901soft"
78838,"0hard/-39482189soft"
79826,"0hard/-39471190soft"
80402,"0hard/-39423747soft"
81911,"0hard/-39417345soft"
81913,"0hard/-39417027soft"
82369,"0hard/-39401316soft"
82621,"0hard/-39392716soft"
84642,"0hard/-39372589soft"
85713,"0hard/-39369202soft"
85716,"0hard/-39342606soft"
85799,"0hard/-39342158soft"
85803,"0hard/-39338545soft"
86002,"0hard/-39332545soft"
86943,"0hard/-39330658soft"
86951,"0hard/-39291151soft"
86979,"0hard/-39281225soft"
86982,"0hard/-39270324soft"
87615,"0hard/-39256941soft"
91046,"0hard/-39256061soft"
91743,"0hard/-39248455soft"
92106,"0hard/-39245246soft"
92253,"0hard/-39240534soft"
92365,"0hard/-39203698soft"
92460,"0hard/-39199880soft"
92537,"0hard/-39176652soft"
92606,"0hard/-39171414soft"
93522,"0hard/-39155222soft"
94579,"0hard/-39146671soft"
95141,"0hard/-39115912soft"
96042,"0hard/-39095704soft"
96047,"0hard/-39085324soft"
97564,"0hard/-39071341soft"
100398,"0hard/-39054204soft"
