"timeMillisSpent","score"
19,"0hard/-1898931soft"
33,"0hard/-1868437soft"
49,"0hard/-1845312soft"
65,"0hard/-1830260soft"
82,"0hard/-1817209soft"
99,"0hard/-1806218soft"
118,"0hard/-1801494soft"
138,"0hard/-1795660soft"
158,"0hard/-1791781soft"
179,"0hard/-1790360soft"
201,"0hard/-1786746soft"
222,"0hard/-1778786soft"
243,"0hard/-1778197soft"
316,"0hard/-1774839soft"
351,"0hard/-1772959soft"
389,"0hard/-1766900soft"
425,"0hard/-1753033soft"
461,"0hard/-1746288soft"
495,"0hard/-1732476soft"
532,"0hard/-1726963soft"
571,"0hard/-1724310soft"
609,"0hard/-1723817soft"
634,"0hard/-1715542soft"
677,"0hard/-1711816soft"
699,"0hard/-1710571soft"
721,"0hard/-1709353soft"
748,"0hard/-1709285soft"
825,"0hard/-1708995soft"
1257,"0hard/-1705739soft"
1298,"0hard/-1705671soft"
1338,"0hard/-1705574soft"
2358,"0hard/-1702457soft"
2413,"0hard/-1701432soft"
2458,"0hard/-1700819soft"
2504,"0hard/-1700007soft"
2621,"0hard/-1696593soft"
2681,"0hard/-1696464soft"
3015,"0hard/-1694857soft"
3074,"0hard/-1685857soft"
3124,"0hard/-1684675soft"
3300,"0hard/-1682459soft"
3642,"0hard/-1676743soft"
3666,"0hard/-1666141soft"
3686,"0hard/-1661741soft"
3777,"0hard/-1661225soft"
3831,"0hard/-1659980soft"
4238,"0hard/-1658762soft"
4296,"0hard/-1657360soft"
6344,"0hard/-1657148soft"
21957,"0hard/-1656421soft"
22016,"0hard/-1655928soft"
36532,"0hard/-1655880soft"
37036,"0hard/-1655348soft"
53936,"0hard/-1655023soft"
54082,"0hard/-1654926soft"
54458,"0hard/-1654855soft"
54648,"0hard/-1654643soft"
