"timeMillisSpent","score"
24,"0hard/-1423883soft"
25,"0hard/-1423615soft"
47,"0hard/-1407474soft"
215,"0hard/-1404592soft"
338,"0hard/-1404587soft"
348,"0hard/-1393671soft"
629,"0hard/-1391167soft"
630,"0hard/-1384596soft"
631,"0hard/-1383771soft"
918,"0hard/-1377808soft"
1092,"0hard/-1372619soft"
1191,"0hard/-1365692soft"
2010,"0hard/-1362184soft"
2797,"0hard/-1360009soft"
2798,"0hard/-1356353soft"
3547,"0hard/-1340554soft"
5336,"0hard/-1336687soft"
5338,"0hard/-1334017soft"
6014,"0hard/-1331362soft"
6021,"0hard/-1327548soft"
6572,"0hard/-1324122soft"
6613,"0hard/-1314846soft"
6906,"0hard/-1310831soft"
7074,"0hard/-1306222soft"
7244,"0hard/-1300791soft"
7245,"0hard/-1300086soft"
7970,"0hard/-1297021soft"
10711,"0hard/-1287599soft"
11190,"0hard/-1275494soft"
11895,"0hard/-1271236soft"
14056,"0hard/-1270957soft"
15131,"0hard/-1270904soft"
15156,"0hard/-1263110soft"
15816,"0hard/-1251720soft"
17392,"0hard/-1248358soft"
17810,"0hard/-1244559soft"
18304,"0hard/-1240070soft"
19190,"0hard/-1234186soft"
22636,"0hard/-1232509soft"
25215,"0hard/-1228687soft"
25730,"0hard/-1223563soft"
26464,"0hard/-1222108soft"
26809,"0hard/-1221327soft"
27073,"0hard/-1219213soft"
27158,"0hard/-1216428soft"
27216,"0hard/-1213006soft"
28396,"0hard/-1211461soft"
29597,"0hard/-1209034soft"
31730,"0hard/-1208671soft"
31841,"0hard/-1208121soft"
31841,"0hard/-1206917soft"
33218,"0hard/-1205422soft"
33298,"0hard/-1205314soft"
33334,"0hard/-1203916soft"
33374,"0hard/-1201283soft"
34571,"0hard/-1199543soft"
35604,"0hard/-1197781soft"
35891,"0hard/-1195119soft"
39564,"0hard/-1190949soft"
40198,"0hard/-1189862soft"
41897,"0hard/-1186987soft"
43076,"0hard/-1186156soft"
43087,"0hard/-1184783soft"
43106,"0hard/-1184579soft"
43215,"0hard/-1184121soft"
44737,"0hard/-1182462soft"
44743,"0hard/-1181446soft"
44744,"0hard/-1173320soft"
54706,"0hard/-1173264soft"
54844,"0hard/-1172883soft"
56512,"0hard/-1171859soft"
61439,"0hard/-1170337soft"
68690,"0hard/-1168945soft"
70402,"0hard/-1167529soft"
71389,"0hard/-1167249soft"
72676,"0hard/-1167058soft"
72915,"0hard/-1166499soft"
73018,"0hard/-1166269soft"
73120,"0hard/-1166127soft"
74019,"0hard/-1166057soft"
86825,"0hard/-1165065soft"
89863,"0hard/-1164583soft"
