"timeMillisSpent","score"
24,"0hard/-2068254soft"
27,"0hard/-2068237soft"
33,"0hard/-2063639soft"
35,"0hard/-2063409soft"
39,"0hard/-2059579soft"
48,"0hard/-2058276soft"
53,"0hard/-2053313soft"
54,"0hard/-2052339soft"
65,"0hard/-2048348soft"
71,"0hard/-2047953soft"
107,"0hard/-2020291soft"
108,"0hard/-2019137soft"
120,"0hard/-2009212soft"
356,"0hard/-2007861soft"
365,"0hard/-1988053soft"
566,"0hard/-1972924soft"
1088,"0hard/-1967552soft"
1350,"0hard/-1967531soft"
1636,"0hard/-1959561soft"
2013,"0hard/-1953134soft"
2027,"0hard/-1931832soft"
2699,"0hard/-1925044soft"
3212,"0hard/-1914080soft"
3882,"0hard/-1913077soft"
4307,"0hard/-1909031soft"
4390,"0hard/-1908434soft"
4394,"0hard/-1901865soft"
4503,"0hard/-1894958soft"
4868,"0hard/-1878349soft"
4869,"0hard/-1876450soft"
5602,"0hard/-1876257soft"
5837,"0hard/-1874464soft"
6162,"0hard/-1869853soft"
6166,"0hard/-1868279soft"
6267,"0hard/-1867709soft"
6324,"0hard/-1865360soft"
6492,"0hard/-1864313soft"
6515,"0hard/-1862575soft"
6515,"0hard/-1852006soft"
6516,"0hard/-1847799soft"
7297,"0hard/-1846717soft"
7349,"0hard/-1835071soft"
7589,"0hard/-1831726soft"
7936,"0hard/-1830632soft"
8219,"0hard/-1819657soft"
8421,"0hard/-1809045soft"
9270,"0hard/-1797598soft"
9860,"0hard/-1793695soft"
9897,"0hard/-1787038soft"
10753,"0hard/-1786033soft"
10905,"0hard/-1785644soft"
10907,"0hard/-1783995soft"
11023,"0hard/-1781557soft"
12234,"0hard/-1773330soft"
12925,"0hard/-1772748soft"
12945,"0hard/-1769202soft"
12952,"0hard/-1769137soft"
13412,"0hard/-1759371soft"
13837,"0hard/-1754807soft"
14928,"0hard/-1744244soft"
15789,"0hard/-1736670soft"
17155,"0hard/-1725782soft"
17448,"0hard/-1724358soft"
19508,"0hard/-1721674soft"
19890,"0hard/-1719544soft"
20213,"0hard/-1717975soft"
20521,"0hard/-1715095soft"
20599,"0hard/-1714010soft"
20943,"0hard/-1713795soft"
20945,"0hard/-1713347soft"
21000,"0hard/-1711459soft"
21233,"0hard/-1709339soft"
21335,"0hard/-1705933soft"
21509,"0hard/-1704176soft"
21600,"0hard/-1700150soft"
22021,"0hard/-1698807soft"
22053,"0hard/-1688938soft"
23997,"0hard/-1686692soft"
25132,"0hard/-1686043soft"
25377,"0hard/-1685314soft"
25471,"0hard/-1684415soft"
25472,"0hard/-1684385soft"
25474,"0hard/-1684358soft"
25825,"0hard/-1679572soft"
25846,"0hard/-1677110soft"
31102,"0hard/-1676215soft"
31102,"0hard/-1674895soft"
31113,"0hard/-1674889soft"
31563,"0hard/-1674885soft"
31772,"0hard/-1673328soft"
31824,"0hard/-1672075soft"
32834,"0hard/-1670842soft"
34911,"0hard/-1670298soft"
39867,"0hard/-1670090soft"
41364,"0hard/-1669799soft"
41364,"0hard/-1668639soft"
41578,"0hard/-1667055soft"
41676,"0hard/-1666415soft"
41692,"0hard/-1665896soft"
41736,"0hard/-1665616soft"
41795,"0hard/-1665245soft"
42314,"0hard/-1664577soft"
42721,"0hard/-1663696soft"
42734,"0hard/-1663319soft"
42892,"0hard/-1662919soft"
42894,"0hard/-1661759soft"
42903,"0hard/-1661732soft"
42983,"0hard/-1661726soft"
43715,"0hard/-1661707soft"
44357,"0hard/-1661342soft"
47750,"0hard/-1661339soft"
47870,"0hard/-1661336soft"
47976,"0hard/-1661056soft"
47992,"0hard/-1661029soft"
51004,"0hard/-1660916soft"
51007,"0hard/-1660910soft"
