"timeMillisSpent","score"
25,"0hard/-1707950soft"
51,"0hard/-1675266soft"
81,"0hard/-1666414soft"
107,"0hard/-1647485soft"
136,"0hard/-1642145soft"
168,"0hard/-1639273soft"
200,"0hard/-1620188soft"
234,"0hard/-1617063soft"
269,"0hard/-1598570soft"
305,"0hard/-1591261soft"
345,"0hard/-1585348soft"
384,"0hard/-1557826soft"
426,"0hard/-1532290soft"
473,"0hard/-1526805soft"
548,"0hard/-1523777soft"
622,"0hard/-1521302soft"
691,"0hard/-1519297soft"
756,"0hard/-1519291soft"
829,"0hard/-1513794soft"
901,"0hard/-1511577soft"
1041,"0hard/-1493285soft"
1111,"0hard/-1487651soft"
1421,"0hard/-1485570soft"
1490,"0hard/-1476710soft"
1635,"0hard/-1473487soft"
1676,"0hard/-1466398soft"
1754,"0hard/-1449548soft"
1811,"0hard/-1448171soft"
1886,"0hard/-1446151soft"
1929,"0hard/-1445701soft"
1972,"0hard/-1444496soft"
2093,"0hard/-1442697soft"
2134,"0hard/-1435568soft"
2175,"0hard/-1434869soft"
2244,"0hard/-1431108soft"
2275,"0hard/-1430241soft"
2311,"0hard/-1429258soft"
2437,"0hard/-1405660soft"
2467,"0hard/-1404045soft"
2498,"0hard/-1402840soft"
3410,"0hard/-1402434soft"
3461,"0hard/-1401057soft"
3508,"0hard/-1399818soft"
3545,"0hard/-1396502soft"
3578,"0hard/-1396228soft"
3615,"0hard/-1394491soft"
3662,"0hard/-1394368soft"
3764,"0hard/-1393889soft"
3898,"0hard/-1391045soft"
3946,"0hard/-1389840soft"
3991,"0hard/-1385614soft"
4752,"0hard/-1384412soft"
5925,"0hard/-1383933soft"
8717,"0hard/-1372783soft"
8794,"0hard/-1370056soft"
8868,"0hard/-1368851soft"
8905,"0hard/-1366111soft"
8943,"0hard/-1364211soft"
8977,"0hard/-1363229soft"
9089,"0hard/-1361570soft"
10032,"0hard/-1361259soft"
10243,"0hard/-1360966soft"
10304,"0hard/-1360623soft"
10355,"0hard/-1360228soft"
10393,"0hard/-1360093soft"
11430,"0hard/-1358039soft"
11458,"0hard/-1347842soft"
11487,"0hard/-1345457soft"
11548,"0hard/-1345029soft"
11580,"0hard/-1341726soft"
11610,"0hard/-1340111soft"
11640,"0hard/-1336838soft"
11670,"0hard/-1329078soft"
11699,"0hard/-1328096soft"
11770,"0hard/-1327822soft"
11808,"0hard/-1327479soft"
11843,"0hard/-1323184soft"
12064,"0hard/-1316323soft"
12202,"0hard/-1315824soft"
12283,"0hard/-1315567soft"
12319,"0hard/-1315088soft"
12412,"0hard/-1304693soft"
26504,"0hard/-1304501soft"
55973,"0hard/-1304500soft"
56013,"0hard/-1304021soft"
59562,"0hard/-1303557soft"
159213,"0hard/-1303214soft"
160101,"0hard/-1300662soft"
160135,"0hard/-1300234soft"
160167,"0hard/-1298313soft"
160492,"0hard/-1298142soft"
160526,"0hard/-1297160soft"
181695,"0hard/-1296765soft"
194113,"0hard/-1296722soft"
194166,"0hard/-1295483soft"
