"timeMillisSpent","score"
789,"0hard/-78347soft"
811,"0hard/-78343soft"
946,"0hard/-78333soft"
1142,"0hard/-78320soft"
1353,"0hard/-78012soft"
6813,"0hard/-77958soft"
6853,"0hard/-77889soft"
42616,"0hard/-77870soft"
45147,"0hard/-77858soft"
51204,"0hard/-77841soft"
52474,"0hard/-77817soft"
67028,"0hard/-77791soft"
69758,"0hard/-77747soft"
70584,"0hard/-77711soft"
74235,"0hard/-77675soft"
78075,"0hard/-77660soft"
80568,"0hard/-77630soft"
89082,"0hard/-77618soft"
92090,"0hard/-77556soft"
98590,"0hard/-77549soft"
98593,"0hard/-77516soft"
106032,"0hard/-77500soft"
106985,"0hard/-77455soft"
107004,"0hard/-77421soft"
111571,"0hard/-77380soft"
117456,"0hard/-77361soft"
121137,"0hard/-77358soft"
125793,"0hard/-77332soft"
126169,"0hard/-77308soft"
127419,"0hard/-77301soft"
130236,"0hard/-77293soft"
130510,"0hard/-77262soft"
130512,"0hard/-77256soft"
138776,"0hard/-77244soft"
139486,"0hard/-77194soft"
144726,"0hard/-77177soft"
147647,"0hard/-77175soft"
152166,"0hard/-77168soft"
152171,"0hard/-77148soft"
152363,"0hard/-77139soft"
152371,"0hard/-77130soft"
154223,"0hard/-77120soft"
158864,"0hard/-77065soft"
160275,"0hard/-76992soft"
165911,"0hard/-76968soft"
179082,"0hard/-76939soft"
181257,"0hard/-76885soft"
186841,"0hard/-76878soft"
187249,"0hard/-76876soft"
194799,"0hard/-76872soft"
194827,"0hard/-76827soft"
195058,"0hard/-76818soft"
196012,"0hard/-76817soft"
202685,"0hard/-76814soft"
203717,"0hard/-76800soft"
204239,"0hard/-76785soft"
204498,"0hard/-76714soft"
214382,"0hard/-76656soft"
220402,"0hard/-76524soft"
237956,"0hard/-76480soft"
248938,"0hard/-76471soft"
249888,"0hard/-76463soft"
249890,"0hard/-76420soft"
252485,"0hard/-76382soft"
258149,"0hard/-76372soft"
258150,"0hard/-76321soft"
258277,"0hard/-76302soft"
266017,"0hard/-76260soft"
275865,"0hard/-76243soft"
280647,"0hard/-76139soft"
295958,"0hard/-76054soft"
