"timeMillisSpent","score"
794,"0hard/-78347soft"
827,"0hard/-78343soft"
1384,"0hard/-78247soft"
1458,"0hard/-78234soft"
1564,"0hard/-78221soft"
1745,"0hard/-78201soft"
1876,"0hard/-78179soft"
2012,"0hard/-78178soft"
2767,"0hard/-77960soft"
2833,"0hard/-77949soft"
3075,"0hard/-77915soft"
6725,"0hard/-77771soft"
6762,"0hard/-77756soft"
6799,"0hard/-77750soft"
6908,"0hard/-77628soft"
6974,"0hard/-77372soft"
7710,"0hard/-76930soft"
7896,"0hard/-76927soft"
8104,"0hard/-76909soft"
8168,"0hard/-76884soft"
8232,"0hard/-76829soft"
8275,"0hard/-76822soft"
10167,"0hard/-76816soft"
10563,"0hard/-76686soft"
11309,"0hard/-76604soft"
11371,"0hard/-76598soft"
11704,"0hard/-76587soft"
11776,"0hard/-76569soft"
11846,"0hard/-76535soft"
11916,"0hard/-76521soft"
11985,"0hard/-76506soft"
12055,"0hard/-76504soft"
12124,"0hard/-76486soft"
12195,"0hard/-76484soft"
13864,"0hard/-76439soft"
15023,"0hard/-76418soft"
15415,"0hard/-76357soft"
15735,"0hard/-76348soft"
15998,"0hard/-76246soft"
18130,"0hard/-76189soft"
18212,"0hard/-76181soft"
18252,"0hard/-76102soft"
18479,"0hard/-76100soft"
18568,"0hard/-76096soft"
18604,"0hard/-76068soft"
18641,"0hard/-76058soft"
18679,"0hard/-76031soft"
19041,"0hard/-75908soft"
19293,"0hard/-75903soft"
19363,"0hard/-75896soft"
19397,"0hard/-75890soft"
19434,"0hard/-75886soft"
19469,"0hard/-75885soft"
19664,"0hard/-75858soft"
19729,"0hard/-75803soft"
19829,"0hard/-75786soft"
19864,"0hard/-75780soft"
19902,"0hard/-75764soft"
19937,"0hard/-75748soft"
19974,"0hard/-75744soft"
20047,"0hard/-75682soft"
20769,"0hard/-75661soft"
21480,"0hard/-75654soft"
23654,"0hard/-75628soft"
24390,"0hard/-75615soft"
24426,"0hard/-75600soft"
24535,"0hard/-75524soft"
24642,"0hard/-75522soft"
24715,"0hard/-75509soft"
24752,"0hard/-75489soft"
24788,"0hard/-75386soft"
24823,"0hard/-75378soft"
24952,"0hard/-75354soft"
25023,"0hard/-75330soft"
25067,"0hard/-75305soft"
25165,"0hard/-75301soft"
25230,"0hard/-75295soft"
25265,"0hard/-75262soft"
25337,"0hard/-75258soft"
25392,"0hard/-75239soft"
26054,"0hard/-75231soft"
27039,"0hard/-75195soft"
27340,"0hard/-75136soft"
27504,"0hard/-75086soft"
27575,"0hard/-75081soft"
27681,"0hard/-75053soft"
27847,"0hard/-75044soft"
27883,"0hard/-75039soft"
28027,"0hard/-75022soft"
28061,"0hard/-74996soft"
28097,"0hard/-74982soft"
28132,"0hard/-74935soft"
28167,"0hard/-74925soft"
28303,"0hard/-74922soft"
28368,"0hard/-74903soft"
28437,"0hard/-74901soft"
28668,"0hard/-74889soft"
28706,"0hard/-74886soft"
28903,"0hard/-74798soft"
28939,"0hard/-74791soft"
29012,"0hard/-74697soft"
29047,"0hard/-74627soft"
29227,"0hard/-74578soft"
29347,"0hard/-74557soft"
29387,"0hard/-74551soft"
29464,"0hard/-74454soft"
29505,"0hard/-74441soft"
29655,"0hard/-74424soft"
30245,"0hard/-74418soft"
31156,"0hard/-74348soft"
31292,"0hard/-74346soft"
31361,"0hard/-74294soft"
31428,"0hard/-74275soft"
31557,"0hard/-74256soft"
31591,"0hard/-74251soft"
31719,"0hard/-74250soft"
32377,"0hard/-74216soft"
32413,"0hard/-74164soft"
32448,"0hard/-74142soft"
33572,"0hard/-74127soft"
33976,"0hard/-74122soft"
34014,"0hard/-74069soft"
34051,"0hard/-74019soft"
34087,"0hard/-73991soft"
34123,"0hard/-73984soft"
34159,"0hard/-73937soft"
34225,"0hard/-73930soft"
49056,"0hard/-73885soft"
49099,"0hard/-73874soft"
49143,"0hard/-73810soft"
49357,"0hard/-73786soft"
49548,"0hard/-73783soft"
49617,"0hard/-73751soft"
49671,"0hard/-73732soft"
51491,"0hard/-73714soft"
51543,"0hard/-73703soft"
51678,"0hard/-73660soft"
51949,"0hard/-73634soft"
56013,"0hard/-73622soft"
56081,"0hard/-73615soft"
56152,"0hard/-73585soft"
56291,"0hard/-73559soft"
56511,"0hard/-73533soft"
56551,"0hard/-73515soft"
56621,"0hard/-73504soft"
56765,"0hard/-73449soft"
56836,"0hard/-73438soft"
56905,"0hard/-73410soft"
57259,"0hard/-73399soft"
57327,"0hard/-73385soft"
57395,"0hard/-73332soft"
57712,"0hard/-73300soft"
62139,"0hard/-73259soft"
62576,"0hard/-73257soft"
62642,"0hard/-73255soft"
62837,"0hard/-73179soft"
65008,"0hard/-73171soft"
65132,"0hard/-73168soft"
65195,"0hard/-73138soft"
65261,"0hard/-73054soft"
65328,"0hard/-73043soft"
67029,"0hard/-72979soft"
68594,"0hard/-72806soft"
68632,"0hard/-72792soft"
68673,"0hard/-72752soft"
68713,"0hard/-72722soft"
69315,"0hard/-72694soft"
69383,"0hard/-72610soft"
69620,"0hard/-72576soft"
69727,"0hard/-72555soft"
70045,"0hard/-72542soft"
70461,"0hard/-72516soft"
70496,"0hard/-72442soft"
70532,"0hard/-72441soft"
77702,"0hard/-72389soft"
77885,"0hard/-72380soft"
78398,"0hard/-72365soft"
78434,"0hard/-72298soft"
78682,"0hard/-72238soft"
78801,"0hard/-72231soft"
78837,"0hard/-72227soft"
78885,"0hard/-72207soft"
78956,"0hard/-72191soft"
79018,"0hard/-72184soft"
79291,"0hard/-72123soft"
79327,"0hard/-72078soft"
80474,"0hard/-72023soft"
80607,"0hard/-71999soft"
80675,"0hard/-71975soft"
80743,"0hard/-71964soft"
80970,"0hard/-71913soft"
82020,"0hard/-71833soft"
82632,"0hard/-71817soft"
83063,"0hard/-71813soft"
83130,"0hard/-71809soft"
83174,"0hard/-71798soft"
83255,"0hard/-71756soft"
83370,"0hard/-71728soft"
83411,"0hard/-71695soft"
83449,"0hard/-71662soft"
83525,"0hard/-71657soft"
83676,"0hard/-71611soft"
83950,"0hard/-71608soft"
89277,"0hard/-71601soft"
89317,"0hard/-71559soft"
89383,"0hard/-71510soft"
90423,"0hard/-71508soft"
90462,"0hard/-71461soft"
90510,"0hard/-71430soft"
90583,"0hard/-71407soft"
90651,"0hard/-71391soft"
90718,"0hard/-71382soft"
90857,"0hard/-71378soft"
90921,"0hard/-71324soft"
90997,"0hard/-71304soft"
91075,"0hard/-71278soft"
91114,"0hard/-71262soft"
91278,"0hard/-71231soft"
91331,"0hard/-71205soft"
91366,"0hard/-71186soft"
91757,"0hard/-71161soft"
91792,"0hard/-71157soft"
91827,"0hard/-71155soft"
91863,"0hard/-71146soft"
91898,"0hard/-71099soft"
91933,"0hard/-71059soft"
91971,"0hard/-71050soft"
92082,"0hard/-71013soft"
92123,"0hard/-70966soft"
92201,"0hard/-70929soft"
92242,"0hard/-70922soft"
92280,"0hard/-70904soft"
92315,"0hard/-70890soft"
92351,"0hard/-70882soft"
93410,"0hard/-70881soft"
93474,"0hard/-70877soft"
93568,"0hard/-70873soft"
94229,"0hard/-70861soft"
94267,"0hard/-70837soft"
94343,"0hard/-70815soft"
94917,"0hard/-70810soft"
94951,"0hard/-70803soft"
94988,"0hard/-70800soft"
95022,"0hard/-70795soft"
96376,"0hard/-70685soft"
96414,"0hard/-70651soft"
96591,"0hard/-70646soft"
96625,"0hard/-70621soft"
96695,"0hard/-70602soft"
96730,"0hard/-70581soft"
97193,"0hard/-70555soft"
97266,"0hard/-70546soft"
97333,"0hard/-70538soft"
97404,"0hard/-70521soft"
97607,"0hard/-70492soft"
97681,"0hard/-70437soft"
97825,"0hard/-70420soft"
97895,"0hard/-70385soft"
97964,"0hard/-70357soft"
98001,"0hard/-70347soft"
98040,"0hard/-70345soft"
98077,"0hard/-70343soft"
98146,"0hard/-70327soft"
98216,"0hard/-70319soft"
98285,"0hard/-70309soft"
104707,"0hard/-70263soft"
105165,"0hard/-70229soft"
105201,"0hard/-70228soft"
105788,"0hard/-70202soft"
105864,"0hard/-70190soft"
105938,"0hard/-70181soft"
106439,"0hard/-70161soft"
106566,"0hard/-70153soft"
106632,"0hard/-70134soft"
106706,"0hard/-70098soft"
106752,"0hard/-70037soft"
106789,"0hard/-70018soft"
106828,"0hard/-70006soft"
106866,"0hard/-69991soft"
106901,"0hard/-69969soft"
106978,"0hard/-69941soft"
107087,"0hard/-69924soft"
107341,"0hard/-69923soft"
107382,"0hard/-69877soft"
107420,"0hard/-69870soft"
107460,"0hard/-69826soft"
107570,"0hard/-69825soft"
114052,"0hard/-69812soft"
114090,"0hard/-69762soft"
114125,"0hard/-69722soft"
114163,"0hard/-69687soft"
119812,"0hard/-69655soft"
119846,"0hard/-69646soft"
120433,"0hard/-69623soft"
123947,"0hard/-69562soft"
124140,"0hard/-69549soft"
124195,"0hard/-69543soft"
124230,"0hard/-69494soft"
125032,"0hard/-69464soft"
125077,"0hard/-69439soft"
125144,"0hard/-69434soft"
125209,"0hard/-69427soft"
125348,"0hard/-69398soft"
125415,"0hard/-69334soft"
125551,"0hard/-69330soft"
125840,"0hard/-69316soft"
127692,"0hard/-69310soft"
127761,"0hard/-69306soft"
127827,"0hard/-69296soft"
127907,"0hard/-69291soft"
127946,"0hard/-69264soft"
129066,"0hard/-69250soft"
129132,"0hard/-69203soft"
129201,"0hard/-69202soft"
129332,"0hard/-69192soft"
129400,"0hard/-69097soft"
136504,"0hard/-69086soft"
136542,"0hard/-69080soft"
136581,"0hard/-69052soft"
136626,"0hard/-69017soft"
137035,"0hard/-69009soft"
137097,"0hard/-69003soft"
137841,"0hard/-68975soft"
137976,"0hard/-68961soft"
138050,"0hard/-68946soft"
138189,"0hard/-68943soft"
138257,"0hard/-68942soft"
138326,"0hard/-68936soft"
138517,"0hard/-68885soft"
166960,"0hard/-68835soft"
167026,"0hard/-68827soft"
167294,"0hard/-68789soft"
167835,"0hard/-68733soft"
167931,"0hard/-68727soft"
170992,"0hard/-68723soft"
171031,"0hard/-68712soft"
