"timeMillisSpent","score"
23,"0hard/-2952491soft"
43,"0hard/-2858652soft"
60,"0hard/-2807858soft"
77,"0hard/-2786900soft"
97,"0hard/-2768191soft"
116,"0hard/-2764074soft"
134,"0hard/-2759046soft"
156,"0hard/-2752423soft"
179,"0hard/-2743395soft"
207,"0hard/-2738375soft"
234,"0hard/-2733236soft"
261,"0hard/-2721566soft"
285,"0hard/-2721381soft"
317,"0hard/-2718036soft"
357,"0hard/-2709225soft"
417,"0hard/-2701400soft"
481,"0hard/-2697438soft"
553,"0hard/-2688181soft"
631,"0hard/-2685419soft"
716,"0hard/-2683260soft"
796,"0hard/-2681597soft"
880,"0hard/-2679114soft"
935,"0hard/-2666028soft"
988,"0hard/-2665331soft"
1096,"0hard/-2663370soft"
1148,"0hard/-2644803soft"
1196,"0hard/-2644706soft"
1236,"0hard/-2636971soft"
1313,"0hard/-2635103soft"
1350,"0hard/-2633835soft"
1387,"0hard/-2623171soft"
1425,"0hard/-2620180soft"
2212,"0hard/-2618174soft"
2239,"0hard/-2617879soft"
2274,"0hard/-2617782soft"
5578,"0hard/-2584032soft"
5661,"0hard/-2575141soft"
5683,"0hard/-2574444soft"
5703,"0hard/-2574132soft"
5725,"0hard/-2570379soft"
5749,"0hard/-2568038soft"
5777,"0hard/-2566770soft"
5805,"0hard/-2565397soft"
5835,"0hard/-2564888soft"
5865,"0hard/-2564286soft"
5894,"0hard/-2564049soft"
5925,"0hard/-2563323soft"
5972,"0hard/-2563226soft"
6373,"0hard/-2561847soft"
6415,"0hard/-2560579soft"
6457,"0hard/-2560444soft"
6498,"0hard/-2559432soft"
6907,"0hard/-2550906soft"
6950,"0hard/-2550809soft"
7001,"0hard/-2523391soft"
7053,"0hard/-2496025soft"
7100,"0hard/-2495423soft"
7131,"0hard/-2494045soft"
7170,"0hard/-2493948soft"
7203,"0hard/-2492190soft"
10537,"0hard/-2489494soft"
12154,"0hard/-2488910soft"
12216,"0hard/-2488770soft"
12258,"0hard/-2488673soft"
12298,"0hard/-2488622soft"
23629,"0hard/-2488608soft"
23702,"0hard/-2488557soft"
23726,"0hard/-2488260soft"
46584,"0hard/-2485510soft"
46632,"0hard/-2484217soft"
46670,"0hard/-2481598soft"
46706,"0hard/-2481045soft"
46745,"0hard/-2477369soft"
46780,"0hard/-2476767soft"
46818,"0hard/-2476218soft"
46856,"0hard/-2476083soft"
46910,"0hard/-2475306soft"
46981,"0hard/-2475277soft"
47004,"0hard/-2475180soft"
47025,"0hard/-2472325soft"
51902,"0hard/-2472173soft"
51927,"0hard/-2472076soft"
51956,"0hard/-2471778soft"
52070,"0hard/-2471769soft"
52097,"0hard/-2471643soft"
52123,"0hard/-2470993soft"
52145,"0hard/-2470523soft"
61081,"0hard/-2470505soft"
61101,"0hard/-2470408soft"
61120,"0hard/-2470273soft"
61411,"0hard/-2470085soft"
61474,"0hard/-2469528soft"
61534,"0hard/-2469402soft"
61657,"0hard/-2469015soft"
61731,"0hard/-2468642soft"
61846,"0hard/-2468545soft"
61952,"0hard/-2468498soft"
207481,"0hard/-2467431soft"
207514,"0hard/-2463736soft"
207534,"0hard/-2460776soft"
207553,"0hard/-2456490soft"
207580,"0hard/-2452478soft"
207614,"0hard/-2443492soft"
207676,"0hard/-2436587soft"
207696,"0hard/-2427521soft"
207716,"0hard/-2426968soft"
207751,"0hard/-2425136soft"
207786,"0hard/-2418513soft"
207821,"0hard/-2418416soft"
207937,"0hard/-2417926soft"
207985,"0hard/-2417800soft"
208018,"0hard/-2415775soft"
208063,"0hard/-2415640soft"
208127,"0hard/-2412683soft"
208198,"0hard/-2410966soft"
216889,"0hard/-2410912soft"
217029,"0hard/-2407567soft"
217074,"0hard/-2405409soft"
217122,"0hard/-2405172soft"
217171,"0hard/-2404724soft"
217829,"0hard/-2402622soft"
217853,"0hard/-2402385soft"
217876,"0hard/-2401730soft"
217900,"0hard/-2401595soft"
217975,"0hard/-2399286soft"
218033,"0hard/-2398975soft"
218072,"0hard/-2396917soft"
238567,"0hard/-2395216soft"
241357,"0hard/-2395165soft"
241382,"0hard/-2395068soft"
241405,"0hard/-2394942soft"
