"timeMillisSpent","score"
5,"0hard/-2294758soft"
6,"0hard/-2281558soft"
8,"0hard/-2273194soft"
36,"0hard/-2272197soft"
45,"0hard/-2249776soft"
76,"0hard/-2241749soft"
138,"0hard/-2241411soft"
139,"0hard/-2233090soft"
174,"0hard/-2223457soft"
182,"0hard/-2223328soft"
182,"0hard/-2215337soft"
282,"0hard/-2205838soft"
293,"0hard/-2181322soft"
544,"0hard/-2179371soft"
624,"0hard/-2169160soft"
701,"0hard/-2161953soft"
831,"0hard/-2158919soft"
831,"0hard/-2158391soft"
971,"0hard/-2145649soft"
1017,"0hard/-2143189soft"
1321,"0hard/-2136412soft"
1465,"0hard/-2126892soft"
1638,"0hard/-2123639soft"
1754,"0hard/-2121644soft"
1755,"0hard/-2121496soft"
2269,"0hard/-2115990soft"
2285,"0hard/-2114785soft"
2286,"0hard/-2112954soft"
2649,"0hard/-2112715soft"
2721,"0hard/-2111031soft"
2821,"0hard/-2106267soft"
2862,"0hard/-2103895soft"
2869,"0hard/-2101021soft"
2915,"0hard/-2096986soft"
3173,"0hard/-2096493soft"
3246,"0hard/-2095523soft"
3256,"0hard/-2091710soft"
3280,"0hard/-2090146soft"
3333,"0hard/-2080171soft"
3743,"0hard/-2078957soft"
3743,"0hard/-2078181soft"
3864,"0hard/-2077969soft"
4062,"0hard/-2077480soft"
4101,"0hard/-2071711soft"
4712,"0hard/-2069687soft"
5735,"0hard/-2069124soft"
