"timeMillisSpent","score"
12,"0hard/-172900732soft"
26,"0hard/-172062391soft"
41,"0hard/-169587814soft"
60,"0hard/-169148490soft"
77,"0hard/-167384108soft"
94,"0hard/-165355293soft"
113,"0hard/-164941793soft"
131,"0hard/-164730228soft"
151,"0hard/-163970953soft"
172,"0hard/-162619442soft"
195,"0hard/-161097603soft"
218,"0hard/-158321054soft"
242,"0hard/-158006897soft"
265,"0hard/-157093476soft"
286,"0hard/-156982473soft"
307,"0hard/-156476539soft"
328,"0hard/-156013587soft"
348,"0hard/-155782121soft"
365,"0hard/-155368606soft"
386,"0hard/-155260848soft"
408,"0hard/-154895616soft"
428,"0hard/-153952415soft"
447,"0hard/-153666171soft"
468,"0hard/-153646737soft"
488,"0hard/-153360619soft"
511,"0hard/-153165900soft"
541,"0hard/-153131420soft"
688,"0hard/-152962671soft"
723,"0hard/-152555604soft"
757,"0hard/-152527937soft"
778,"0hard/-152199149soft"
831,"0hard/-151857956soft"
850,"0hard/-150766902soft"
869,"0hard/-150461374soft"
890,"0hard/-150104723soft"
929,"0hard/-150044005soft"
951,"0hard/-149834086soft"
1057,"0hard/-149771209soft"
1080,"0hard/-149723772soft"
2177,"0hard/-149718021soft"
2226,"0hard/-149426703soft"
2264,"0hard/-149366711soft"
2291,"0hard/-148799475soft"
2317,"0hard/-148698542soft"
2343,"0hard/-148421196soft"
2369,"0hard/-148353171soft"
2398,"0hard/-148322356soft"
2420,"0hard/-148262068soft"
5990,"0hard/-148154000soft"
7819,"0hard/-148146208soft"
7855,"0hard/-148135743soft"
7875,"0hard/-148067718soft"
7938,"0hard/-148000007soft"
11455,"0hard/-147992372soft"
11474,"0hard/-147921160soft"
11493,"0hard/-147794249soft"
11532,"0hard/-147783111soft"
11552,"0hard/-147669790soft"
11575,"0hard/-147542129soft"
11597,"0hard/-147531321soft"
12173,"0hard/-147484085soft"
12196,"0hard/-147377907soft"
16205,"0hard/-147292258soft"
16236,"0hard/-146831687soft"
16340,"0hard/-146801733soft"
16377,"0hard/-146742016soft"
17039,"0hard/-146574062soft"
17078,"0hard/-146282942soft"
17116,"0hard/-146016755soft"
17151,"0hard/-146006290soft"
17223,"0hard/-145975065soft"
20517,"0hard/-145959490soft"
20545,"0hard/-145865318soft"
20571,"0hard/-145816296soft"
20726,"0hard/-145786837soft"
20828,"0hard/-145660154soft"
20869,"0hard/-145627830soft"
20918,"0hard/-145616456soft"
21050,"0hard/-145592029soft"
48612,"0hard/-145531906soft"
48688,"0hard/-145526766soft"
97001,"0hard/-145480736soft"
97035,"0hard/-145470210soft"
97068,"0hard/-145461703soft"
97131,"0hard/-145457864soft"
97179,"0hard/-145343430soft"
97236,"0hard/-145239168soft"
98757,"0hard/-144861735soft"
98782,"0hard/-144768417soft"
98828,"0hard/-144613910soft"
98874,"0hard/-144598088soft"
98959,"0hard/-144577526soft"
100354,"0hard/-144306189soft"
100708,"0hard/-144273211soft"
100747,"0hard/-144240887soft"
112618,"0hard/-144232850soft"
112651,"0hard/-144222042soft"
112682,"0hard/-144193550soft"
118244,"0hard/-144160313soft"
266882,"0hard/-144124109soft"
266942,"0hard/-144064392soft"
267018,"0hard/-144009130soft"
267081,"0hard/-143941105soft"
277657,"0hard/-143886126soft"
277718,"0hard/-143776769soft"
277771,"0hard/-143713305soft"
277831,"0hard/-143680981soft"
277855,"0hard/-143608067soft"
277880,"0hard/-143579914soft"
278000,"0hard/-143562135soft"
278033,"0hard/-142806410soft"
