"timeMillisSpent","score"
8,"0hard/-126362465soft"
9,"0hard/-126084734soft"
18,"0hard/-126009405soft"
19,"0hard/-125483194soft"
25,"0hard/-125042450soft"
27,"0hard/-124975926soft"
31,"0hard/-124745889soft"
42,"0hard/-124436596soft"
147,"0hard/-123973430soft"
154,"0hard/-123279561soft"
236,"0hard/-123087006soft"
266,"0hard/-122763523soft"
294,"0hard/-122315850soft"
321,"0hard/-122308649soft"
323,"0hard/-121787725soft"
366,"0hard/-121730885soft"
384,"0hard/-120827615soft"
483,"0hard/-120236927soft"
484,"0hard/-119540859soft"
494,"0hard/-118778093soft"
800,"0hard/-118281726soft"
865,"0hard/-118241181soft"
880,"0hard/-118109116soft"
939,"0hard/-118011194soft"
1035,"0hard/-117937901soft"
1035,"0hard/-117547400soft"
1173,"0hard/-117492154soft"
1176,"0hard/-117433502soft"
1224,"0hard/-117285681soft"
1225,"0hard/-116857903soft"
1574,"0hard/-116647935soft"
1713,"0hard/-116560664soft"
1757,"0hard/-116483794soft"
1757,"0hard/-116477466soft"
1821,"0hard/-116379773soft"
1923,"0hard/-116073840soft"
2160,"0hard/-116042547soft"
2444,"0hard/-115854519soft"
3004,"0hard/-115547928soft"
3515,"0hard/-115477267soft"
3529,"0hard/-115470939soft"
3739,"0hard/-115338121soft"
5089,"0hard/-115248290soft"
5396,"0hard/-115206413soft"
