"timeMillisSpent","usedMemory","maxMemory"
5755,14365856,1834483712
244237,15804568,1834483712
250007,15804600,1834483712
284399,17731048,1834483712
289891,18206424,1834483712
295713,18682144,1834483712
301436,19182112,1834483712
312861,19659736,1834483712
318560,20142848,1834483712
330190,20626416,1834483712
341723,21601760,1834483712
347397,21602216,1834483712
358903,22571416,1834483712
364615,22571416,1834483712
370387,23046344,1834483712
376113,23529456,1834483712
381893,24010776,1834483712
387552,24011232,1834483712
404935,25470544,1834483712
410847,25473064,1834483712
416564,25948168,1834483712
422469,26423376,1834483712
434089,26898776,1834483712
451111,27866368,1834483712
456786,28349936,1834483712
468333,28841528,1834483712
502842,30752208,1834483712
514099,31705896,1834483712
519776,32205408,1834483712
525464,32205408,1834483712
542442,33165824,1834483712
548223,33641200,1834483712
559917,10983696,1834483712
645768,13360128,1834483712
