"timeMillisSpent","score"
244237,"0hard/0medium/-976soft"
250007,"0hard/0medium/-976soft"
284399,"0hard/0medium/-976soft"
289891,"0hard/0medium/-976soft"
295713,"0hard/0medium/-976soft"
301436,"0hard/0medium/-976soft"
312861,"0hard/0medium/-976soft"
318560,"0hard/0medium/-976soft"
330190,"0hard/0medium/-976soft"
341723,"0hard/0medium/-976soft"
347397,"0hard/0medium/-976soft"
358903,"0hard/0medium/-859soft"
364615,"0hard/0medium/-859soft"
370387,"0hard/0medium/-859soft"
376113,"0hard/0medium/-868soft"
381893,"0hard/0medium/-868soft"
387551,"0hard/0medium/-868soft"
404935,"0hard/0medium/-868soft"
410847,"0hard/0medium/-868soft"
416564,"0hard/0medium/-868soft"
422469,"0hard/0medium/-904soft"
434089,"0hard/0medium/-904soft"
451111,"0hard/0medium/-904soft"
456786,"0hard/0medium/-904soft"
468333,"0hard/0medium/-904soft"
502842,"0hard/0medium/-904soft"
514099,"0hard/0medium/-904soft"
519776,"0hard/0medium/-904soft"
525464,"0hard/0medium/-904soft"
542442,"0hard/0medium/-904soft"
548223,"0hard/0medium/-904soft"
559917,"0hard/0medium/-904soft"
645768,"0hard/0medium/-994soft"
