"timeMillisSpent","score"
60468,"0hard/0medium/-982soft"
168470,"0hard/0medium/-982soft"
203062,"0hard/0medium/-982soft"
208794,"0hard/0medium/-982soft"
214540,"0hard/0medium/-982soft"
220287,"0hard/0medium/-982soft"
325165,"0hard/0medium/-982soft"
416686,"0hard/0medium/-982soft"
427983,"0hard/0medium/-982soft"
445250,"0hard/0medium/-982soft"
450997,"0hard/0medium/-982soft"
519525,"0hard/0medium/-982soft"
564989,"0hard/0medium/-982soft"
576325,"0hard/0medium/-982soft"
587721,"0hard/0medium/-982soft"
604945,"0hard/0medium/-977soft"
