"timeMillisSpent","usedMemory","maxMemory"
5823,11666928,1834483712
28537,13092384,1834483712
50572,14535488,1834483712
73491,15962928,1834483712
79239,16443744,1834483712
96647,17403584,1834483712
108077,17878880,1834483712
142397,19813696,1834483712
171104,21750488,1834483712
188317,22703984,1834483712
205215,23666072,1834483712
245342,26067416,1834483712
267893,27520120,1834483712
319311,30391952,1834483712
336319,31345280,1834483712
376366,33418936,1834483712
416485,12117568,1834483712
427805,13083560,1834483712
456476,14521544,1834483712
462236,15005664,1834483712
473653,15490240,1834483712
496138,16953760,1834483712
501894,17437424,1834483712
513459,17913840,1834483712
536493,19360832,1834483712
856957,20316000,1834483712
