"timeMillisSpent","score"
28537,"0hard/0medium/-982soft"
50572,"0hard/0medium/-960soft"
73491,"0hard/0medium/-960soft"
79239,"0hard/0medium/-960soft"
96647,"0hard/0medium/-960soft"
108077,"0hard/0medium/-960soft"
142397,"0hard/0medium/-960soft"
171104,"0hard/0medium/-960soft"
188317,"0hard/0medium/-944soft"
205215,"0hard/0medium/-944soft"
245342,"0hard/0medium/-960soft"
267893,"0hard/0medium/-960soft"
319311,"0hard/0medium/-982soft"
336319,"0hard/0medium/-982soft"
376366,"0hard/0medium/-982soft"
416485,"0hard/0medium/-982soft"
427805,"0hard/0medium/-982soft"
456476,"0hard/0medium/-982soft"
462236,"0hard/0medium/-982soft"
473653,"0hard/0medium/-982soft"
496138,"0hard/0medium/-982soft"
501894,"0hard/0medium/-982soft"
513459,"0hard/0medium/-982soft"
536493,"0hard/0medium/-982soft"
856957,"0hard/-1medium/-982soft"
