"timeMillisSpent","calculateCountPerSecond"
4402,17
8843,1
13065,0
17242,0
21656,1
26058,0
30304,0
34566,0
38912,0
43209,0
47554,0
51786,1
56226,0
60518,0
64876,0
69216,0
69216,1000
73579,2
78030,0
82418,0
86750,0
91278,0
95554,0
100038,0
104294,1
108635,0
112850,0
117115,0
121432,0
125649,0
129805,0
134170,0
138581,0
142869,0
147188,0
151495,0
155788,0
160174,0
160174,4000
164363,1
168622,0
172852,0
177199,1
181735,0
186149,0
190654,0
195008,1
199391,2
203717,0
208052,0
212474,0
216896,0
221205,0
225634,0
230033,0
234245,1
238674,0
243000,0
247160,0
251378,0
255742,0
260015,0
264411,0
268720,0
273106,0
277588,0
281980,0
286548,0
291008,0
295392,0
299756,0
304154,0
308369,0
312715,0
316890,0
316890,1000
321266,3
321267,2000
325494,6
329765,0
333976,0
338495,0
342666,0
347084,0
351385,0
355643,0
359904,0
364095,0
368491,0
372858,0
377371,0
381575,0
386106,0
390377,0
394632,0
398912,0
403267,0
407396,0
411905,0
416129,0
420463,0
424870,0
429240,0
433804,0
438114,0
442508,0
446835,0
451191,0
455432,0
460016,0
464236,0
468751,0
473124,0
477508,0
481837,0
486356,0
490869,0
495196,0
499475,0
503744,0
508083,0
512468,0
516822,0
521311,0
525610,0
530159,0
534522,0
539099,0
543622,0
547969,0
552252,0
556550,0
560886,0
565024,1
569534,0
573895,1
578317,0
582597,0
586950,0
591133,0
595525,1
600031,1
