"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
4,1,2
4194,1,1
8579,1,2
12964,1,2
17303,1,1
21822,1,4
26090,1,1
30561,1,2
35059,1,1
39342,1,2
43692,1,3
47956,1,6
52487,1,5
56719,1,1
61080,1,5
65448,1,2
69787,1,1
74250,1,1
78656,1,1
83218,1,1
87716,1,3
87716,1,1
87716,1,1
87717,1,5
87717,1,2
87717,1,1
87717,1,2
87717,1,9
87717,1,3
87717,1,1
87718,1,3
87718,1,2
87718,1,3
87718,1,3
87718,1,1
87718,1,5
87718,1,3
87718,1,1
87718,1,2
87719,1,1
87719,1,12
87719,1,10
87719,1,2
87720,1,1
92232,1,1
96528,1,2
101060,1,1
105584,1,4
109842,1,3
114208,1,4
118616,1,2
123018,1,3
127317,1,1
131696,1,1
136060,1,3
140586,1,2
144919,1,4
149252,1,4
153606,1,1
158169,1,2
162704,1,1
167020,1,3
171285,1,4
175580,1,3
180106,1,1
184426,1,2
188937,1,2
193341,1,2
197695,1,1
201961,1,4
206193,1,1
210683,1,2
214991,1,1
219535,1,2
224014,1,3
228550,1,2
233122,1,3
233122,1,2
233123,1,2
233123,1,1
233123,1,6
233124,1,2
233124,1,1
233124,1,3
233124,1,2
233125,1,2
233125,1,2
237399,1,6
241676,1,2
246226,1,3
250741,1,1
250741,1,1
250741,1,1
250742,1,1
250742,1,1
250742,1,1
250742,1,4
250743,1,8
250743,1,2
250743,1,2
250743,1,5
250744,1,1
250744,1,4
250744,1,7
250744,1,1
250744,1,3
250745,1,1
250745,1,1
250745,1,3
250745,1,1
250745,1,3
250746,1,2
250746,1,1
250746,1,2
250746,1,1
250746,1,2
250746,1,3
250747,1,3
254966,1,1
254966,1,1
254966,1,4
254967,1,2
254967,1,1
254967,1,2
254967,1,1
254968,1,3
254968,1,10
254969,1,3
259300,1,4
263851,1,1
268167,1,1
272564,1,1
272564,1,2
272564,1,10
272565,1,2
272565,1,3
272565,1,1
272565,1,2
272565,1,1
272566,1,4
272566,1,4
272566,1,4
272566,1,4
277103,1,1
281600,1,2
285872,1,2
290142,1,2
294428,1,5
298732,1,1
302993,1,2
307285,1,3
311493,1,2
315800,1,1
319959,1,2
324499,1,1
328990,1,4
333381,1,1
337680,1,1
341936,1,2
346256,1,1
350494,1,3
355039,1,2
359612,1,10
363915,1,2
368104,1,3
372465,1,3
376776,1,2
376777,1,1
376778,1,8
376779,1,1
376779,1,2
376779,1,1
376780,1,4
376780,1,3
381270,1,1
385638,1,4
389981,1,9
394411,1,3
398827,1,1
403094,1,1
407384,1,1
411891,1,1
416196,1,1
420517,1,4
424844,1,4
429081,1,2
433272,1,2
437745,1,2
442170,1,4
446456,1,1
450813,1,8
455023,1,3
459427,1,1
463804,1,3
468368,1,4
472808,1,2
477069,1,1
481484,1,1
485855,1,3
490440,1,2
494829,1,5
499036,1,1
503371,1,5
507777,1,2
512304,1,1
516574,1,1
525632,1,3
529855,1,2
534359,1,2
543162,1,6
547468,1,8
556076,1,4
560344,1,1
564872,1,2
569149,1,6
573656,1,2
577904,1,2
582308,1,3
586555,1,4
590693,1,1
599252,1,2
603608,1,8
