"timeMillisSpent","score"
8,"-1hard/0medium/-2147483647soft"
4376,"0hard/0medium/-435soft"
4376,"-1hard/0medium/-2147483647soft"
4376,"-1hard/0medium/-2147483647soft"
4376,"-1hard/0medium/-2147483647soft"
4377,"-1hard/0medium/-2147483647soft"
4377,"-1hard/0medium/-2147483647soft"
4377,"-1hard/0medium/-2147483647soft"
4377,"-1hard/0medium/-2147483647soft"
4378,"-1hard/0medium/-2147483647soft"
4378,"-1hard/0medium/-2147483647soft"
4378,"-1hard/0medium/-2147483647soft"
4378,"-1hard/0medium/-2147483647soft"
4378,"-1hard/0medium/-2147483647soft"
4379,"-1hard/0medium/-2147483647soft"
8935,"0hard/-3medium/-516soft"
13188,"0hard/-3medium/-516soft"
17671,"0hard/-3medium/-507soft"
21996,"0hard/-1medium/-517soft"
26553,"0hard/-1medium/-518soft"
30829,"0hard/-1medium/-518soft"
35118,"0hard/-1medium/-529soft"
39504,"0hard/-1medium/-529soft"
43733,"0hard/-1medium/-529soft"
48036,"0hard/-2medium/-528soft"
52340,"0hard/-2medium/-529soft"
56841,"0hard/-2medium/-529soft"
61196,"0hard/-2medium/-529soft"
65513,"0hard/-2medium/-529soft"
69983,"0hard/-2medium/-529soft"
74380,"0hard/-2medium/-529soft"
78550,"0hard/-2medium/-529soft"
83088,"0hard/-2medium/-536soft"
87402,"0hard/-2medium/-536soft"
91799,"0hard/-2medium/-536soft"
96360,"0hard/-2medium/-536soft"
100881,"0hard/-2medium/-536soft"
105281,"0hard/-4medium/-549soft"
109608,"0hard/-4medium/-550soft"
114018,"0hard/-4medium/-550soft"
118205,"0hard/-4medium/-554soft"
122756,"0hard/-4medium/-570soft"
127319,"0hard/-4medium/-547soft"
131716,"0hard/-4medium/-547soft"
136065,"0hard/-4medium/-547soft"
140347,"0hard/-4medium/-630soft"
144682,"0hard/-4medium/-599soft"
148964,"0hard/-4medium/-599soft"
153336,"0hard/-4medium/-602soft"
157845,"0hard/-4medium/-602soft"
162394,"0hard/-4medium/-602soft"
166594,"0hard/-4medium/-602soft"
170902,"0hard/-4medium/-589soft"
175146,"0hard/-4medium/-589soft"
179429,"0hard/-4medium/-589soft"
183946,"0hard/-4medium/-589soft"
188422,"0hard/-4medium/-589soft"
192911,"0hard/-4medium/-589soft"
197105,"0hard/-4medium/-589soft"
201593,"0hard/-4medium/-606soft"
205988,"0hard/-4medium/-606soft"
210264,"0hard/-2medium/-545soft"
214774,"0hard/-2medium/-545soft"
219164,"0hard/-2medium/-545soft"
223459,"0hard/-2medium/-545soft"
227785,"0hard/-2medium/-545soft"
232052,"0hard/-2medium/-545soft"
236538,"0hard/-2medium/-545soft"
240873,"0hard/-2medium/-528soft"
245408,"0hard/-7medium/-695soft"
249690,"0hard/-7medium/-695soft"
254217,"0hard/-7medium/-695soft"
258461,"0hard/-7medium/-695soft"
262634,"0hard/-7medium/-712soft"
266953,"0hard/-7medium/-712soft"
271488,"0hard/-7medium/-712soft"
275868,"0hard/-7medium/-712soft"
280206,"0hard/-7medium/-712soft"
284693,"0hard/-7medium/-713soft"
289089,"0hard/-4medium/-668soft"
293289,"0hard/-2medium/-579soft"
297549,"0hard/-2medium/-579soft"
302072,"0hard/-2medium/-579soft"
306386,"0hard/-2medium/-579soft"
310689,"0hard/-1medium/-454soft"
314994,"0hard/-1medium/-454soft"
319328,"0hard/-1medium/-454soft"
323641,"0hard/0medium/-433soft"
