"timeMillisSpent","usedMemory","maxMemory"
4484,7386616,1834483712
9052,7863416,1834483712
13506,7863416,1834483712
17853,8347448,1834483712
21982,8848336,1834483712
26160,8848792,1834483712
26160,8848792,1834483712
30671,9800936,1834483712
34993,10285424,1834483712
39277,10769912,1834483712
43599,10772432,1834483712
47895,11256464,1834483712
52271,11740496,1834483712
56629,11740496,1834483712
60931,12224984,1834483712
65291,12225440,1834483712
69671,12709928,1834483712
74196,13202608,1834483712
78583,13203064,1834483712
82847,13681768,1834483712
87370,13681768,1834483712
91789,14157632,1834483712
96006,14641664,1834483712
100413,14642120,1834483712
104735,15118816,1834483712
109114,15595440,1834483712
113384,15595896,1834483712
117959,16072192,1834483712
122492,16558744,1834483712
126851,17042776,1834483712
131182,17042776,1834483712
135650,17520432,1834483712
140090,17996736,1834483712
144635,17997192,1834483712
149165,18474336,1834483712
153467,18474792,1834483712
157697,18951096,1834483712
161903,19437648,1834483712
166213,19437648,1834483712
170704,19913488,1834483712
175111,20389616,1834483712
179704,20390072,1834483712
184212,20874560,1834483712
188723,21367240,1834483712
193141,21367696,1834483712
197485,21868600,1834483712
201826,21871120,1834483712
206260,22346968,1834483712
210423,22826720,1834483712
214987,22826720,1834483712
214987,22826720,1834483712
219456,23303040,1834483712
223744,23787528,1834483712
228049,24272016,1834483712
232270,24272472,1834483712
236654,24756960,1834483712
241046,25243512,1834483712
245423,25243512,1834483712
249815,25720200,1834483712
254183,25720200,1834483712
258472,26196512,1834483712
262800,26697416,1834483712
267317,26697872,1834483712
271832,27174288,1834483712
276346,27658776,1834483712
280608,27661296,1834483712
285131,28145328,1834483712
289320,28645760,1834483712
293653,28645760,1834483712
297949,29130248,1834483712
302219,29130704,1834483712
306415,29615192,1834483712
310813,6926176,1834483712
310814,6926176,1834483712
315207,6926176,1834483712
315208,6926176,1834483712
319498,7402040,1834483712
323857,7878112,1834483712
323857,7878112,1834483712
328358,8364240,1834483712
332866,8864672,1834483712
337250,8864672,1834483712
341650,9348704,1834483712
346123,9350800,1834483712
350385,9834832,1834483712
354699,10318864,1834483712
358988,10318864,1834483712
363549,10804992,1834483712
367919,11280992,1834483712
372399,11280992,1834483712
376668,11765024,1834483712
381017,11767120,1834483712
385247,12242960,1834483712
389725,12726992,1834483712
394236,12726992,1834483712
398723,13213120,1834483712
403064,13698632,1834483712
407377,13698632,1834483712
411791,14182664,1834483712
416037,14660688,1834483712
420341,14660688,1834483712
424607,15144720,1834483712
429009,15144720,1834483712
433443,15622680,1834483712
437770,16106712,1834483712
442006,16106712,1834483712
442006,16582568,1834483712
446329,17066600,1834483712
450711,17552728,1834483712
455006,17552728,1834483712
459203,18036760,1834483712
463569,18036760,1834483712
467962,18522888,1834483712
472184,19015112,1834483712
476446,19015112,1834483712
480689,19492768,1834483712
485088,19494864,1834483712
489466,19974800,1834483712
493811,20458832,1834483712
498096,20458832,1834483712
502487,20937528,1834483712
506796,21414328,1834483712
511103,21414328,1834483712
515671,21898360,1834483712
520241,22384488,1834483712
524619,22384488,1834483712
528971,22868520,1834483712
533362,22876728,1834483712
537660,23354696,1834483712
541967,23838728,1834483712
546129,24314600,1834483712
550469,24314600,1834483712
554957,24800728,1834483712
559499,24800728,1834483712
563824,25276864,1834483712
568192,25760896,1834483712
572655,25762992,1834483712
577031,26247024,1834483712
581555,26723024,1834483712
585916,26723024,1834483712
590263,27225568,1834483712
594803,27225568,1834483712
599116,27709600,1834483712
603392,28193632,1834483712
