"timeMillisSpent","score"
4571,"0hard/0medium/-436soft"
4572,"-1hard/0medium/-2147483647soft"
4572,"-1hard/0medium/-2147483647soft"
4573,"-1hard/0medium/-2147483647soft"
4573,"-1hard/0medium/-2147483647soft"
4573,"-1hard/0medium/-2147483647soft"
8843,"0hard/-1medium/-486soft"
13138,"0hard/-1medium/-503soft"
17365,"0hard/-1medium/-503soft"
21707,"0hard/-1medium/-503soft"
26199,"0hard/-1medium/-514soft"
30426,"0hard/-1medium/-514soft"
34762,"0hard/0medium/-430soft"
39312,"0hard/0medium/-436soft"
43883,"0hard/-3medium/-504soft"
48234,"0hard/-3medium/-504soft"
52778,"0hard/-3medium/-495soft"
57101,"0hard/-3medium/-495soft"
61505,"0hard/-6medium/-495soft"
65734,"0hard/-4medium/-565soft"
70262,"0hard/-4medium/-573soft"
74547,"0hard/-4medium/-573soft"
78904,"0hard/-6medium/-504soft"
83277,"0hard/-3medium/-504soft"
87805,"0hard/-3medium/-504soft"
92193,"0hard/-3medium/-504soft"
96544,"0hard/-3medium/-504soft"
100905,"0hard/-3medium/-504soft"
105198,"0hard/-3medium/-504soft"
109510,"0hard/-3medium/-504soft"
113904,"0hard/-3medium/-502soft"
118405,"0hard/-3medium/-502soft"
122795,"0hard/-3medium/-508soft"
127151,"0hard/-3medium/-508soft"
131666,"0hard/-3medium/-508soft"
136082,"0hard/-1medium/-455soft"
140517,"0hard/-3medium/-508soft"
144786,"0hard/-3medium/-498soft"
149189,"0hard/-3medium/-498soft"
153498,"0hard/-3medium/-498soft"
157891,"0hard/-3medium/-498soft"
162313,"0hard/-1medium/-496soft"
166843,"0hard/-3medium/-448soft"
171177,"0hard/-3medium/-482soft"
175485,"0hard/-1medium/-493soft"
179999,"0hard/-1medium/-493soft"
184308,"0hard/-1medium/-484soft"
188533,"0hard/-1medium/-484soft"
192735,"0hard/-1medium/-484soft"
197127,"0hard/-1medium/-487soft"
201278,"0hard/-4medium/-554soft"
205628,"0hard/-2medium/-517soft"
210187,"0hard/-2medium/-517soft"
214583,"0hard/-6medium/-507soft"
219060,"0hard/-2medium/-506soft"
223401,"0hard/-2medium/-506soft"
227917,"0hard/-2medium/-506soft"
232237,"0hard/-2medium/-506soft"
236768,"0hard/-2medium/-506soft"
241077,"0hard/-2medium/-472soft"
245591,"0hard/-2medium/-488soft"
249985,"0hard/-2medium/-488soft"
254293,"0hard/-4medium/-563soft"
258598,"0hard/-4medium/-563soft"
262906,"0hard/-4medium/-575soft"
267286,"0hard/-4medium/-575soft"
271632,"0hard/-4medium/-584soft"
275974,"0hard/-1medium/-509soft"
280256,"0hard/-1medium/-477soft"
284564,"0hard/-1medium/-477soft"
288929,"0hard/-1medium/-479soft"
293251,"0hard/-1medium/-493soft"
297791,"0hard/-1medium/-477soft"
302237,"0hard/-1medium/-477soft"
306502,"0hard/-1medium/-497soft"
310787,"0hard/-1medium/-497soft"
315220,"0hard/-1medium/-477soft"
319642,"0hard/-1medium/-457soft"
323938,"0hard/-1medium/-457soft"
328121,"0hard/-2medium/-494soft"
332387,"0hard/-2medium/-494soft"
336916,"0hard/-2medium/-494soft"
341289,"0hard/-6medium/-484soft"
345567,"0hard/-3medium/-436soft"
349843,"0hard/-1medium/-488soft"
354379,"0hard/-4medium/-563soft"
358638,"0hard/-4medium/-563soft"
362938,"0hard/-1medium/-486soft"
367353,"0hard/-1medium/-486soft"
371783,"0hard/-1medium/-462soft"
376091,"0hard/-1medium/-468soft"
380511,"0hard/0medium/-427soft"
385066,"0hard/-1medium/-482soft"
389333,"0hard/-1medium/-482soft"
393743,"0hard/-1medium/-482soft"
398065,"0hard/0medium/-427soft"
398065,"-1hard/0medium/-2147483647soft"
402289,"0hard/0medium/-443soft"
406671,"0hard/0medium/-443soft"
410948,"0hard/0medium/-448soft"
415136,"0hard/-1medium/-471soft"
419396,"0hard/-1medium/-537soft"
423708,"0hard/-4medium/-604soft"
428030,"0hard/-7medium/-690soft"
432405,"0hard/-7medium/-690soft"
436949,"0hard/-7medium/-690soft"
441332,"0hard/-7medium/-690soft"
445764,"0hard/-7medium/-640soft"
450048,"0hard/-4medium/-563soft"
454293,"0hard/-6medium/-492soft"
458689,"0hard/-4medium/-577soft"
462944,"0hard/-4medium/-568soft"
467285,"0hard/-4medium/-562soft"
471578,"0hard/-4medium/-562soft"
475967,"0hard/-4medium/-562soft"
480477,"0hard/-4medium/-564soft"
484801,"0hard/-4medium/-564soft"
489058,"0hard/-4medium/-562soft"
493473,"0hard/-2medium/-487soft"
497759,"0hard/-2medium/-487soft"
502163,"0hard/-4medium/-545soft"
506479,"0hard/-6medium/-482soft"
510763,"0hard/-6medium/-474soft"
515031,"0hard/-6medium/-474soft"
519326,"0hard/-4medium/-552soft"
523626,"0hard/-2medium/-485soft"
528006,"0hard/-2medium/-503soft"
532365,"0hard/-2medium/-514soft"
536630,"0hard/-1medium/-465soft"
541177,"0hard/-1medium/-503soft"
545649,"0hard/-1medium/-503soft"
550177,"0hard/-4medium/-589soft"
554435,"0hard/-2medium/-503soft"
558838,"0hard/-1medium/-488soft"
563168,"0hard/-1medium/-500soft"
567448,"0hard/-4medium/-581soft"
571690,"0hard/-7medium/-656soft"
576075,"0hard/-7medium/-644soft"
580415,"0hard/-4medium/-569soft"
584712,"0hard/-4medium/-572soft"
589116,"0hard/-4medium/-572soft"
593506,"0hard/-4medium/-560soft"
598059,"0hard/-4medium/-572soft"
602447,"0hard/-4medium/-569soft"
