"timeMillisSpent","score"
6,"-1hard/0medium/-2147483647soft"
6,"-1hard/0medium/-2147483647soft"
6,"-1hard/0medium/-2147483647soft"
6,"-1hard/0medium/-2147483647soft"
6,"-1hard/0medium/-2147483647soft"
6,"-1hard/0medium/-2147483647soft"
4351,"0hard/-1medium/-491soft"
8842,"0hard/-1medium/-463soft"
13352,"0hard/-3medium/-464soft"
17531,"0hard/-1medium/-503soft"
22099,"0hard/-1medium/-503soft"
26651,"0hard/-1medium/-503soft"
31016,"0hard/-3medium/-498soft"
35359,"0hard/-3medium/-498soft"
39889,"0hard/-3medium/-526soft"
44257,"0hard/-3medium/-498soft"
48452,"0hard/-4medium/-576soft"
52911,"0hard/-4medium/-576soft"
57346,"0hard/-4medium/-576soft"
61883,"0hard/-4medium/-588soft"
66359,"0hard/-4medium/-566soft"
70753,"0hard/-4medium/-566soft"
75076,"0hard/-7medium/-652soft"
79423,"0hard/-7medium/-640soft"
83793,"0hard/-7medium/-626soft"
88247,"0hard/-7medium/-626soft"
92511,"0hard/-7medium/-624soft"
97043,"0hard/-7medium/-644soft"
101325,"0hard/-7medium/-616soft"
105767,"0hard/-7medium/-616soft"
110254,"0hard/-7medium/-628soft"
114574,"0hard/-7medium/-628soft"
119139,"0hard/-7medium/-656soft"
123695,"0hard/-7medium/-656soft"
128051,"0hard/-6medium/-526soft"
132449,"0hard/-6medium/-526soft"
136714,"0hard/-4medium/-577soft"
141055,"0hard/-4medium/-568soft"
145441,"0hard/-4medium/-568soft"
149987,"0hard/-4medium/-577soft"
154264,"0hard/-4medium/-577soft"
158785,"0hard/-4medium/-577soft"
163162,"0hard/-4medium/-577soft"
167589,"0hard/-4medium/-577soft"
171969,"0hard/-4medium/-577soft"
176281,"0hard/-4medium/-577soft"
180741,"0hard/-4medium/-561soft"
185090,"0hard/-4medium/-589soft"
189434,"0hard/-7medium/-656soft"
193740,"0hard/-7medium/-656soft"
198198,"0hard/-7medium/-644soft"
202603,"0hard/-4medium/-577soft"
206943,"0hard/-1medium/-491soft"
211292,"0hard/-1medium/-498soft"
215542,"0hard/-1medium/-489soft"
219794,"0hard/-1medium/-489soft"
224192,"0hard/-1medium/-489soft"
228695,"0hard/-1medium/-489soft"
232987,"0hard/-2medium/-514soft"
237392,"0hard/-2medium/-498soft"
241819,"0hard/-2medium/-514soft"
246395,"0hard/-2medium/-502soft"
250670,"0hard/-2medium/-498soft"
255034,"0hard/-2medium/-498soft"
259516,"0hard/-2medium/-498soft"
263794,"0hard/-2medium/-498soft"
268290,"0hard/-2medium/-498soft"
272664,"0hard/-2medium/-498soft"
277151,"0hard/-2medium/-498soft"
281474,"0hard/-2medium/-498soft"
285886,"0hard/-2medium/-491soft"
290117,"0hard/-2medium/-480soft"
294488,"0hard/-2medium/-480soft"
298882,"0hard/-2medium/-484soft"
303291,"0hard/-2medium/-484soft"
307815,"0hard/-2medium/-484soft"
312009,"0hard/-2medium/-489soft"
316539,"0hard/-2medium/-489soft"
320949,"0hard/-6medium/-490soft"
325357,"0hard/-6medium/-490soft"
329671,"0hard/-6medium/-490soft"
334167,"0hard/-3medium/-474soft"
338487,"0hard/-6medium/-476soft"
342792,"0hard/-6medium/-476soft"
347295,"0hard/-6medium/-488soft"
351700,"0hard/-6medium/-488soft"
356045,"0hard/-6medium/-488soft"
360423,"0hard/-3medium/-490soft"
364746,"0hard/-3medium/-490soft"
369238,"0hard/-3medium/-480soft"
373469,"0hard/-4medium/-567soft"
377837,"0hard/-4medium/-567soft"
382066,"0hard/-4medium/-567soft"
386327,"0hard/-7medium/-642soft"
390769,"0hard/-7medium/-642soft"
395087,"0hard/-7medium/-638soft"
399298,"0hard/-7medium/-630soft"
403815,"0hard/-7medium/-642soft"
408031,"0hard/-7medium/-656soft"
412344,"0hard/-7medium/-656soft"
416734,"0hard/-7medium/-662soft"
421100,"0hard/-7medium/-674soft"
425489,"0hard/-7medium/-674soft"
430072,"0hard/-7medium/-674soft"
434260,"0hard/-7medium/-674soft"
438719,"0hard/-7medium/-660soft"
443278,"0hard/-7medium/-660soft"
447660,"0hard/-7medium/-660soft"
452147,"0hard/-7medium/-660soft"
456452,"0hard/-7medium/-660soft"
460638,"0hard/-7medium/-660soft"
465035,"0hard/-7medium/-662soft"
469604,"0hard/-4medium/-595soft"
473931,"0hard/-7medium/-662soft"
478236,"0hard/-7medium/-662soft"
482530,"0hard/-7medium/-660soft"
486939,"0hard/-7medium/-648soft"
491229,"0hard/-7medium/-662soft"
495562,"0hard/-4medium/-595soft"
500063,"0hard/-4medium/-595soft"
504472,"0hard/-4medium/-589soft"
508959,"0hard/-4medium/-577soft"
513480,"0hard/-4medium/-577soft"
517809,"0hard/-4medium/-577soft"
522050,"0hard/-4medium/-589soft"
526438,"0hard/-4medium/-589soft"
530951,"0hard/-4medium/-575soft"
535462,"0hard/-4medium/-587soft"
539878,"0hard/-4medium/-559soft"
544280,"0hard/-4medium/-559soft"
548686,"0hard/-4medium/-559soft"
552898,"0hard/-4medium/-559soft"
557357,"0hard/-4medium/-559soft"
561908,"0hard/-4medium/-561soft"
566263,"0hard/-4medium/-561soft"
570525,"0hard/-4medium/-573soft"
575056,"0hard/-4medium/-573soft"
579318,"0hard/-4medium/-573soft"
583546,"0hard/-4medium/-573soft"
587889,"0hard/-4medium/-569soft"
592219,"0hard/-4medium/-573soft"
596601,"0hard/-4medium/-559soft"
601103,"0hard/-4medium/-559soft"
