"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
5,1,2
4193,1,1
8491,1,2
12710,1,2
17247,1,2
21610,1,1
26003,1,1
30277,1,1
34640,1,4
38868,1,1
43394,1,1
47748,1,2
51898,1,5
56468,1,1
60805,1,2
65143,1,3
69545,1,2
73834,1,4
78163,1,1
82388,1,2
86682,1,1
91007,1,6
95317,1,4
99793,1,2
104134,1,1
108497,1,2
113035,1,1
117406,1,1
121679,1,2
126045,1,5
130582,1,2
135095,1,4
139407,1,1
143823,1,4
148123,1,4
152439,1,4
156825,1,1
161074,1,3
161075,1,1
161075,1,4
161075,1,3
165289,1,2
169860,1,5
174059,1,3
178336,1,1
182728,1,1
187319,1,1
191565,1,1
195855,1,1
200363,1,1
204699,1,1
209255,1,1
213400,1,8
217666,1,1
221968,1,1
226265,1,2
230690,1,1
235137,1,2
239567,1,4
243944,1,3
248373,1,4
252900,1,1
257234,1,3
261521,1,2
265835,1,1
270152,1,5
274670,1,2
279032,1,7
283497,1,4
287950,1,1
292302,1,5
296578,1,1
300738,1,3
305150,1,2
309441,1,2
313857,1,1
318155,1,1
322428,1,1
322428,1,1
322428,1,4
322428,1,1
322428,1,5
326939,1,3
331486,1,3
336047,1,1
340536,1,1
344747,1,4
349044,1,2
353627,1,1
358029,1,1
362542,1,2
366910,1,1
371195,1,1
375536,1,2
379977,1,2
384432,1,1
388679,1,1
393076,1,3
397338,1,7
401781,1,1
406142,1,2
410653,1,1
415027,1,2
419394,1,2
423778,1,4
428278,1,2
432781,1,4
437183,1,2
441693,1,5
446217,1,2
450758,1,6
455014,1,3
459285,1,2
463694,1,1
468069,1,2
472585,1,2
477032,1,4
481204,1,1
485676,1,1
489995,1,2
494304,1,1
498641,1,2
502914,1,1
507289,1,1
511696,1,2
515967,1,1
520260,1,2
524520,1,2
529066,1,1
533592,1,3
537927,1,2
542303,1,1
546799,1,1
551110,1,3
555402,1,1
559761,1,1
564053,1,1
568462,1,1
572882,1,1
577418,1,1
581801,1,2
586114,1,1
590631,1,1
595110,1,7
599569,1,1
603950,1,1
