"timeMillisSpent","usedMemory","maxMemory"
4497,7994840,1834483712
8874,8478320,1834483712
13171,8478320,1834483712
17572,8953632,1834483712
21876,9439048,1834483712
26391,9439504,1834483712
30760,9923440,1834483712
35121,10399424,1834483712
39437,10399880,1834483712
43930,10885880,1834483712
48475,10885880,1834483712
52761,11361192,1834483712
57062,11844672,1834483712
61405,11845128,1834483712
65939,12329064,1834483712
70216,12829400,1834483712
74520,12829856,1834483712
78936,13313792,1834483712
83395,13316312,1834483712
87746,13795696,1834483712
91978,14279176,1834483712
96314,14279176,1834483712
100633,14754944,1834483712
105036,15238880,1834483712
109312,15239336,1834483712
113608,15723272,1834483712
117948,16215416,1834483712
122380,16217936,1834483712
126787,16701416,1834483712
131090,16701416,1834483712
135316,17176728,1834483712
139813,17660664,1834483712
144296,17661120,1834483712
148676,18137264,1834483712
153184,18621200,1834483712
157719,18621656,1834483712
162111,19115864,1834483712
162111,19115864,1834483712
166480,19599344,1834483712
170735,20082824,1834483712
175094,20082824,1834483712
179520,20566760,1834483712
183895,20567216,1834483712
188274,21042960,1834483712
192728,21528376,1834483712
197236,21528832,1834483712
201613,22014832,1834483712
205898,22014832,1834483712
210162,22490168,1834483712
214473,22973648,1834483712
218794,22974104,1834483712
223097,23449872,1834483712
227428,23933808,1834483712
231902,23934264,1834483712
236170,24418200,1834483712
240566,24920600,1834483712
245081,24920600,1834483712
249327,25404080,1834483712
253722,25404080,1834483712
258101,25880584,1834483712
262454,26364520,1834483712
266644,26364976,1834483712
271042,26841120,1834483712
275308,27316896,1834483712
279617,27319416,1834483712
284135,27794704,1834483712
288711,28278184,1834483712
293043,28278184,1834483712
297340,28754088,1834483712
301651,29238024,1834483712
305953,29238480,1834483712
310322,29722416,1834483712
314661,30206352,1834483712
319017,30208872,1834483712
323452,30683160,1834483712
323452,30683160,1834483712
327890,7502928,1834483712
332468,7502928,1834483712
336955,7978232,1834483712
341197,8461712,1834483712
345735,8462168,1834483712
350300,8946104,1834483712
354651,9446440,1834483712
358984,9446896,1834483712
363295,9930832,1834483712
367574,9933352,1834483712
371973,10416832,1834483712
376286,10900312,1834483712
380605,10900312,1834483712
384865,11384248,1834483712
389100,11384704,1834483712
393662,11860448,1834483712
397960,12336536,1834483712
402268,12336992,1834483712
406685,12818896,1834483712
410956,13302376,1834483712
415387,13302376,1834483712
419806,13785856,1834483712
424353,14269792,1834483712
428897,14270248,1834483712
433323,14754184,1834483712
437525,15238120,1834483712
441692,15238576,1834483712
446178,15724576,1834483712
450585,16199872,1834483712
455080,16199872,1834483712
459432,16683352,1834483712
463770,16683808,1834483712
468058,17160056,1834483712
472633,17643992,1834483712
476857,17644448,1834483712
481264,18128384,1834483712
485528,18622576,1834483712
489918,18622576,1834483712
494332,19106056,1834483712
498834,19106056,1834483712
503383,19583024,1834483712
507728,20066960,1834483712
512043,20067416,1834483712
516438,20543472,1834483712
520924,21027408,1834483712
525229,21029928,1834483712
529759,21506064,1834483712
534179,21506064,1834483712
538528,21985448,1834483712
542920,22469384,1834483712
547296,22469840,1834483712
551614,22953776,1834483712
555818,23437712,1834483712
560126,23438168,1834483712
564383,23924168,1834483712
568657,23924168,1834483712
572962,24407648,1834483712
577312,24899320,1834483712
581857,24899776,1834483712
586300,25383712,1834483712
590644,25384168,1834483712
595016,25859912,1834483712
599290,26343848,1834483712
603655,26346368,1834483712
