"timeMillisSpent","score"
5,"-1hard/0medium/-2147483647soft"
4497,"0hard/-1medium/-491soft"
8874,"0hard/-1medium/-400soft"
13171,"0hard/-1medium/-469soft"
17572,"0hard/-1medium/-469soft"
21876,"0hard/-1medium/-469soft"
26391,"0hard/-1medium/-480soft"
30760,"0hard/-1medium/-480soft"
35121,"0hard/-1medium/-480soft"
39437,"0hard/-2medium/-480soft"
43930,"0hard/-2medium/-480soft"
48475,"0hard/-2medium/-480soft"
52761,"0hard/-2medium/-480soft"
57062,"0hard/-4medium/-572soft"
61405,"0hard/-4medium/-572soft"
65939,"0hard/-2medium/-480soft"
70216,"0hard/-2medium/-480soft"
74520,"0hard/-4medium/-562soft"
78936,"0hard/-4medium/-562soft"
83395,"0hard/-3medium/-484soft"
87746,"0hard/-3medium/-484soft"
91978,"0hard/-3medium/-484soft"
96314,"0hard/-3medium/-484soft"
100633,"0hard/-1medium/-480soft"
105036,"0hard/-1medium/-480soft"
109312,"0hard/-1medium/-480soft"
113608,"0hard/-1medium/-480soft"
117948,"0hard/-1medium/-469soft"
122380,"0hard/-1medium/-469soft"
126787,"0hard/-1medium/-469soft"
131090,"0hard/-1medium/-469soft"
135316,"0hard/-1medium/-507soft"
139813,"0hard/-2medium/-507soft"
144296,"0hard/-1medium/-507soft"
148676,"0hard/-1medium/-507soft"
153184,"0hard/-1medium/-507soft"
157719,"0hard/-1medium/-507soft"
162111,"0hard/0medium/-434soft"
162111,"-1hard/0medium/-2147483647soft"
162111,"-1hard/0medium/-2147483647soft"
162111,"-1hard/0medium/-2147483647soft"
166480,"0hard/0medium/-430soft"
170735,"0hard/0medium/-430soft"
175094,"0hard/0medium/-440soft"
179520,"0hard/-1medium/-457soft"
183895,"0hard/-2medium/-491soft"
188274,"0hard/-2medium/-491soft"
192728,"0hard/-2medium/-491soft"
197236,"0hard/-6medium/-501soft"
201613,"0hard/-6medium/-501soft"
205898,"0hard/-4medium/-595soft"
210162,"0hard/-4medium/-595soft"
214473,"0hard/-4medium/-579soft"
218794,"0hard/-4medium/-579soft"
223097,"0hard/-4medium/-611soft"
227428,"0hard/-4medium/-611soft"
231902,"0hard/-4medium/-611soft"
236170,"0hard/-7medium/-613soft"
240566,"0hard/-7medium/-613soft"
245081,"0hard/-7medium/-613soft"
249327,"0hard/-7medium/-609soft"
253722,"0hard/-7medium/-609soft"
258101,"0hard/-7medium/-609soft"
262454,"0hard/-7medium/-609soft"
266644,"0hard/-7medium/-673soft"
271042,"0hard/-7medium/-673soft"
275308,"0hard/-4medium/-585soft"
279617,"0hard/-4medium/-585soft"
284135,"0hard/-4medium/-585soft"
288711,"0hard/-6medium/-537soft"
293043,"0hard/-6medium/-537soft"
297340,"0hard/-6medium/-437soft"
301651,"0hard/-3medium/-437soft"
305953,"0hard/0medium/-372soft"
310322,"0hard/0medium/-372soft"
314661,"0hard/0medium/-372soft"
319017,"0hard/0medium/-415soft"
323452,"0hard/0medium/-415soft"
323452,"-1hard/0medium/-2147483647soft"
323452,"-1hard/0medium/-2147483647soft"
323452,"-1hard/0medium/-2147483647soft"
323453,"-1hard/0medium/-2147483647soft"
327890,"0hard/0medium/-435soft"
332468,"0hard/-3medium/-508soft"
336955,"0hard/-3medium/-508soft"
341197,"0hard/-3medium/-508soft"
345735,"0hard/-6medium/-508soft"
350300,"0hard/-6medium/-508soft"
354651,"0hard/-6medium/-508soft"
358984,"0hard/-3medium/-490soft"
363295,"0hard/-3medium/-468soft"
367574,"0hard/-3medium/-468soft"
371973,"0hard/-3medium/-468soft"
376286,"0hard/-3medium/-468soft"
380605,"0hard/-3medium/-468soft"
384865,"0hard/-3medium/-468soft"
389100,"0hard/-3medium/-468soft"
393662,"0hard/-3medium/-468soft"
397960,"0hard/-3medium/-468soft"
402268,"0hard/-3medium/-468soft"
406685,"0hard/-3medium/-474soft"
410956,"0hard/-6medium/-545soft"
415387,"0hard/-2medium/-541soft"
419806,"0hard/-2medium/-541soft"
424353,"0hard/-2medium/-541soft"
428897,"0hard/-2medium/-541soft"
433323,"0hard/-2medium/-541soft"
437525,"0hard/-2medium/-541soft"
441692,"0hard/-2medium/-541soft"
446178,"0hard/-2medium/-541soft"
450585,"0hard/-2medium/-541soft"
455080,"0hard/-4medium/-635soft"
459432,"0hard/-6medium/-545soft"
463770,"0hard/-6medium/-545soft"
468058,"0hard/-6medium/-545soft"
472633,"0hard/-3medium/-545soft"
476857,"0hard/-1medium/-491soft"
481264,"0hard/-1medium/-491soft"
485528,"0hard/-1medium/-491soft"
489918,"0hard/-1medium/-491soft"
494332,"0hard/-1medium/-491soft"
498834,"0hard/-4medium/-563soft"
503383,"0hard/-7medium/-677soft"
507728,"0hard/-7medium/-677soft"
512043,"0hard/-4medium/-595soft"
516438,"0hard/-1medium/-503soft"
520924,"0hard/-1medium/-503soft"
525229,"0hard/-1medium/-487soft"
529759,"0hard/-4medium/-579soft"
534179,"0hard/-4medium/-595soft"
538528,"0hard/-4medium/-595soft"
542920,"0hard/-4medium/-547soft"
547296,"0hard/-2medium/-455soft"
551614,"0hard/-2medium/-454soft"
555818,"0hard/-4medium/-500soft"
560126,"0hard/-4medium/-507soft"
564383,"0hard/-4medium/-507soft"
568657,"0hard/-4medium/-507soft"
572962,"0hard/-4medium/-507soft"
577312,"0hard/-4medium/-507soft"
581857,"0hard/-4medium/-507soft"
586300,"0hard/-1medium/-425soft"
590644,"0hard/-1medium/-425soft"
595016,"0hard/-1medium/-489soft"
599290,"0hard/-4medium/-569soft"
603655,"0hard/-4medium/-569soft"
