"timeMillisSpent","usedMemory","maxMemory"
4399,7982784,1834483712
4400,7982784,1834483712
8726,10839800,1834483712
13295,10839800,1834483712
17603,11332272,1834483712
22188,11332728,1834483712
26549,11817448,1834483712
30794,12302168,1834483712
35137,12302624,1834483712
39590,12787344,1834483712
43832,12789864,1834483712
48120,13266288,1834483712
52659,13750552,1834483712
56841,13750552,1834483712
61173,14235272,1834483712
65520,14711888,1834483712
69759,14712344,1834483712
74184,15197064,1834483712
78537,15197520,1834483712
82909,15676136,1834483712
87234,16161880,1834483712
91709,16161880,1834483712
95908,16662560,1834483712
95909,16662560,1834483712
100190,17147280,1834483712
104723,17147736,1834483712
109157,17626080,1834483712
113558,18110800,1834483712
117937,18111256,1834483712
122280,18606248,1834483712
126618,19090512,1834483712
131149,19090512,1834483712
135594,19582984,1834483712
139859,19583440,1834483712
144103,20068160,1834483712
148429,20544848,1834483712
152698,20545304,1834483712
157236,21023648,1834483712
161748,21502384,1834483712
166163,21502384,1834483712
170449,21986648,1834483712
174700,22462880,1834483712
179292,22463336,1834483712
183597,22939920,1834483712
187857,22940376,1834483712
192283,23417376,1834483712
196726,23897816,1834483712
200994,23900336,1834483712
205280,24384600,1834483712
209675,24860744,1834483712
213908,24860744,1834483712
213908,24860744,1834483712
218081,25813344,1834483712
222442,26314480,1834483712
226878,26323144,1834483712
231275,26799752,1834483712
235561,27277240,1834483712
239923,27279760,1834483712
244192,27756144,1834483712
244192,27756144,1834483712
248458,28232232,1834483712
252621,28716496,1834483712
257151,29196936,1834483712
261547,29197392,1834483712
265728,29674320,1834483712
270084,30159040,1834483712
274442,30159496,1834483712
278754,30638440,1834483712
283201,7513064,1834483712
287532,7513064,1834483712
291807,8000656,1834483712
296182,8488248,1834483712
300707,8488704,1834483712
305051,8976752,1834483712
309481,8977208,1834483712
314017,9457184,1834483712
318331,9946712,1834483712
322740,9949232,1834483712
327086,10436824,1834483712
331438,10924416,1834483712
335781,10924416,1834483712
340017,11412464,1834483712
344291,11412920,1834483712
348674,11893072,1834483712
353182,12382600,1834483712
357409,12383056,1834483712
361931,12866792,1834483712
366238,12866792,1834483712
370561,13346448,1834483712
374843,13834040,1834483712
379368,13834496,1834483712
383602,14322544,1834483712
388008,14810592,1834483712
392329,14811048,1834483712
396614,15299096,1834483712
400942,15301616,1834483712
405245,15781040,1834483712
409750,16261288,1834483712
414076,16261288,1834483712
418608,16741144,1834483712
422878,17230672,1834483712
427162,17231128,1834483712
431452,17719176,1834483712
435821,18207224,1834483712
440139,18209744,1834483712
444360,18697336,1834483712
448620,18697336,1834483712
453002,19176744,1834483712
457366,19657560,1834483712
461602,19658016,1834483712
465995,20146064,1834483712
470437,20634112,1834483712
474702,20634568,1834483712
479182,21124680,1834483712
483532,21124680,1834483712
487932,21604112,1834483712
492316,22091704,1834483712
496547,22092160,1834483712
501055,22572328,1834483712
505548,23076776,1834483712
509933,23077232,1834483712
514151,23565280,1834483712
518499,23567800,1834483712
522924,24047232,1834483712
527304,24530544,1834483712
531816,24530544,1834483712
536172,25018592,1834483712
540437,25506640,1834483712
544709,25507096,1834483712
549154,25995144,1834483712
553505,25995600,1834483712
557812,26478272,1834483712
562320,26965864,1834483712
566678,26965864,1834483712
571075,27445288,1834483712
575399,27933336,1834483712
579892,27933792,1834483712
584447,28417744,1834483712
588731,28901512,1834483712
593080,28901968,1834483712
597321,29392080,1834483712
601876,29879672,1834483712
