"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
5,1,4
5,1,14
5,1,3
4562,1,2
8859,1,6
13161,1,1
17548,1,7
22114,1,5
26634,1,3
30818,1,2
35139,1,2
39471,1,2
43821,1,2
48182,1,1
52686,1,6
56962,1,2
61162,1,1
65719,1,1
70253,1,3
74549,1,4
79021,1,1
83269,1,1
87606,1,1
92175,1,1
96696,1,4
101027,1,1
105550,1,1
109865,1,1
114158,1,1
118522,1,3
122793,1,3
127111,1,1
131308,1,1
135612,1,1
140025,1,4
144499,1,2
148852,1,4
153222,1,5
157452,1,1
161782,1,1
166171,1,1
170561,1,2
174918,1,1
179240,1,4
183632,1,3
187892,1,4
192260,1,2
192261,1,5
196596,1,5
200971,1,1
205164,1,2
209537,1,2
213771,1,4
218273,1,2
222527,1,3
226857,1,2
231260,1,1
231260,1,2
231260,1,2
231261,1,1
231261,1,1
231261,1,1
235823,1,1
240140,1,1
244478,1,1
248834,1,1
253171,1,2
257660,1,1
261949,1,1
266369,1,1
270725,1,1
274976,1,1
279245,1,1
283523,1,1
287892,1,5
292239,1,1
296535,1,6
300849,1,1
305236,1,1
309583,1,5
313865,1,2
318267,1,4
322776,1,1
327142,1,2
331522,1,6
335820,1,3
340183,1,1
344675,1,3
348949,1,11
353351,1,4
357859,1,2
362224,1,1
366443,1,2
371002,1,1
375319,1,1
379518,1,2
383696,1,8
388103,1,3
392424,1,4
396953,1,3
401284,1,5
405603,1,3
410043,1,1
414241,1,1
418639,1,1
422982,1,1
427341,1,4
431621,1,1
435833,1,1
440334,1,1
444779,1,2
449031,1,2
453412,1,4
457682,1,1
461915,1,1
466286,1,2
470781,1,7
475194,1,1
479610,1,4
484122,1,2
488372,1,2
492727,1,2
497274,1,6
501645,1,1
506029,1,4
510351,1,2
514739,1,9
519028,1,1
523427,1,1
527699,1,2
532240,1,1
532241,1,3
532241,1,1
536504,1,2
540830,1,1
545052,1,1
549312,1,2
553758,1,2
558126,1,2
562456,1,2
566743,1,4
571229,1,1
575661,1,3
579961,1,2
584287,1,1
588658,1,2
593177,1,1
597413,1,1
601768,1,1
