"timeMillisSpent","calculateCountPerSecond"
4240,11
4240,5000
8616,5
12926,0
17290,0
21453,0
25716,0
30232,1
34546,0
38922,0
43309,0
47671,0
52029,0
56314,0
60794,0
65314,0
69661,0
73879,0
78192,1
82525,0
86904,0
91359,0
95562,0
100086,1
104457,0
108724,1
113017,0
117339,0
121830,0
126330,0
130581,0
134937,0
139478,1
143834,0
148279,0
152617,0
156989,0
161460,1
165685,0
170259,0
174601,1
178883,1
183157,1
187655,0
192027,0
196321,0
200702,1
205217,1
209589,0
214022,0
218510,0
222857,0
227149,0
231601,0
235859,1
240381,0
244687,1
249099,1
253470,0
257930,0
262315,1
266857,0
271375,2
275563,0
280058,0
284518,0
288950,1
293331,0
297842,0
302257,0
306481,0
310655,0
314865,0
319171,0
323693,0
327972,0
332497,0
336686,0
341099,0
345629,0
350173,0
354494,0
359021,0
363554,0
367837,0
372132,0
376634,0
380980,0
385221,0
389546,0
394069,1
398603,0
398604,1000
403074,0
407378,0
411615,0
415968,0
420188,0
424343,0
428696,0
432994,0
437208,1
441499,0
445991,0
450257,0
454635,1
458934,0
463245,0
467595,0
471964,0
476171,0
480431,0
484648,0
488941,0
493218,0
497392,0
501653,0
505928,0
510361,0
514871,0
519362,0
523643,1
527832,1
531955,0
536498,0
540833,0
545161,0
549494,0
553975,0
558237,0
562572,0
566974,0
571171,1
575556,0
579927,0
584196,0
588571,0
592900,0
597164,0
601542,0
