"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
5,1,5
5,1,5
5,1,2
5,1,3
5,1,2
6,1,2
4300,1,2
8566,1,1
13060,1,2
17377,1,2
21866,1,1
26189,1,2
30543,1,2
34792,1,3
39096,1,5
43470,1,1
47761,1,2
52112,1,1
56333,1,2
60628,1,2
64900,1,1
69295,1,1
73634,1,2
77795,1,3
82171,1,3
86551,1,5
90888,1,3
95281,1,2
99763,1,2
104331,1,1
108671,1,3
112986,1,1
117288,1,1
121612,1,4
125841,1,1
130219,1,2
134753,1,3
139272,1,4
143629,1,3
147898,1,4
152157,1,1
156415,1,1
160698,1,3
165010,1,1
169549,1,1
173779,1,2
178044,1,3
182406,1,1
186843,1,2
191090,1,2
195554,1,2
199840,1,1
204103,1,1
204103,1,1
204104,1,2
204104,1,4
204104,1,1
204104,1,2
204104,1,1
204104,1,2
204104,1,1
204104,1,5
208519,1,4
212944,1,4
217285,1,1
221714,1,1
226068,1,1
230390,1,4
234635,1,1
239070,1,1
243570,1,1
247940,1,4
252319,1,2
256790,1,2
261095,1,2
265460,1,1
269842,1,1
274179,1,2
278400,1,3
282631,1,1
287163,1,2
291703,1,1
296223,1,2
300648,1,2
304999,1,7
309266,1,1
313500,1,2
317832,1,1
322193,1,1
326474,1,1
330823,1,1
335395,1,1
339710,1,1
344148,1,4
348495,1,3
352673,1,1
356895,1,3
361241,1,2
365557,1,4
369924,1,1
374136,1,1
378656,1,3
382997,1,1
382997,1,1
382997,1,12
382997,1,2
382998,1,6
382998,1,1
382998,1,3
382998,1,1
382998,1,1
382998,1,2
382998,1,5
382999,1,4
382999,1,1
382999,1,4
382999,1,13
382999,1,2
382999,1,1
383000,1,1
383000,1,3
383000,1,1
383000,1,2
383000,1,1
383000,1,4
383000,1,9
383000,1,3
383001,1,1
383001,1,2
383001,1,2
383001,1,4
383001,1,2
387398,1,2
391695,1,1
396087,1,2
400386,1,8
404761,1,5
409139,1,1
413440,1,2
417941,1,4
422439,1,1
426666,1,1
431142,1,1
435471,1,1
439864,1,2
444281,1,4
448681,1,3
452972,1,5
457531,1,4
461847,1,3
466246,1,7
470492,1,1
474813,1,2
479199,1,8
483382,1,3
487801,1,1
492198,1,1
496719,1,1
501056,1,4
505573,1,1
509955,1,1
514231,1,1
518589,1,2
522962,1,2
527281,1,1
531660,1,1
536014,1,1
540329,1,2
544746,1,1
548969,1,1
553315,1,4
557588,1,4
561953,1,1
566255,1,4
570548,1,5
574987,1,1
574987,1,1
574987,1,5
579363,1,1
583674,1,1
588025,1,2
592275,1,1
596701,1,2
601231,1,2
