"timeMillisSpent","score"
4,"-1hard/0medium/-2147483647soft"
4194,"0hard/-1medium/-515soft"
8422,"0hard/-1medium/-529soft"
12822,"0hard/-1medium/-529soft"
17355,"0hard/-3medium/-486soft"
21707,"0hard/-1medium/-535soft"
26107,"0hard/-3medium/-546soft"
30433,"0hard/-4medium/-637soft"
35012,"0hard/-1medium/-527soft"
39322,"0hard/-1medium/-527soft"
43682,"0hard/-1medium/-527soft"
48185,"0hard/-1medium/-500soft"
52369,"0hard/-1medium/-500soft"
56734,"0hard/-1medium/-535soft"
60978,"0hard/-1medium/-535soft"
65342,"0hard/-1medium/-535soft"
69798,"0hard/-4medium/-594soft"
74128,"0hard/-3medium/-492soft"
78523,"0hard/-3medium/-462soft"
82733,"0hard/0medium/-445soft"
86941,"0hard/0medium/-445soft"
86941,"-1hard/0medium/-2147483647soft"
86941,"-1hard/0medium/-2147483647soft"
86941,"-1hard/0medium/-2147483647soft"
86941,"-1hard/0medium/-2147483647soft"
86941,"-1hard/0medium/-2147483647soft"
86941,"-1hard/0medium/-2147483647soft"
86942,"-1hard/0medium/-2147483647soft"
86942,"-1hard/0medium/-2147483647soft"
86942,"-1hard/0medium/-2147483647soft"
86942,"-1hard/0medium/-2147483647soft"
86942,"-1hard/0medium/-2147483647soft"
86942,"-1hard/0medium/-2147483647soft"
86942,"-1hard/0medium/-2147483647soft"
86942,"-1hard/0medium/-2147483647soft"
86943,"-1hard/0medium/-2147483647soft"
86943,"-1hard/0medium/-2147483647soft"
86943,"-1hard/0medium/-2147483647soft"
86943,"-1hard/0medium/-2147483647soft"
86943,"-1hard/0medium/-2147483647soft"
86943,"-1hard/0medium/-2147483647soft"
86943,"-1hard/0medium/-2147483647soft"
86944,"-1hard/0medium/-2147483647soft"
86944,"-1hard/0medium/-2147483647soft"
91329,"0hard/-1medium/-496soft"
95842,"0hard/-3medium/-458soft"
100350,"0hard/-6medium/-511soft"
104624,"0hard/-6medium/-511soft"
108945,"0hard/-6medium/-511soft"
113216,"0hard/-6medium/-511soft"
117517,"0hard/-6medium/-511soft"
121805,"0hard/-6medium/-537soft"
126035,"0hard/-6medium/-555soft"
130444,"0hard/-4medium/-621soft"
134708,"0hard/-4medium/-630soft"
138924,"0hard/-4medium/-669soft"
143373,"0hard/-4medium/-669soft"
147746,"0hard/-4medium/-669soft"
152298,"0hard/-1medium/-550soft"
156485,"0hard/-1medium/-550soft"
160798,"0hard/-1medium/-550soft"
165257,"0hard/-1medium/-550soft"
169694,"0hard/-1medium/-550soft"
174074,"0hard/-1medium/-550soft"
178390,"0hard/-1medium/-535soft"
182738,"0hard/-1medium/-535soft"
187056,"0hard/-1medium/-497soft"
191345,"0hard/-4medium/-670soft"
195598,"0hard/-4medium/-670soft"
200009,"0hard/-4medium/-623soft"
204332,"0hard/-4medium/-623soft"
208639,"0hard/-4medium/-623soft"
212970,"0hard/-2medium/-562soft"
217558,"0hard/-2medium/-562soft"
221840,"0hard/-2medium/-562soft"
226100,"0hard/-4medium/-624soft"
230429,"0hard/-3medium/-527soft"
230430,"-1hard/0medium/-2147483647soft"
230430,"-1hard/0medium/-2147483647soft"
230430,"-1hard/0medium/-2147483647soft"
230430,"-1hard/0medium/-2147483647soft"
230430,"-1hard/0medium/-2147483647soft"
230430,"-1hard/0medium/-2147483647soft"
230431,"-1hard/0medium/-2147483647soft"
230431,"-1hard/0medium/-2147483647soft"
230431,"-1hard/0medium/-2147483647soft"
230431,"-1hard/0medium/-2147483647soft"
234648,"0hard/-1medium/-506soft"
239177,"0hard/-1medium/-506soft"
243421,"0hard/-3medium/-586soft"
247960,"0hard/0medium/-476soft"
247961,"-1hard/0medium/-2147483647soft"
247961,"-1hard/0medium/-2147483647soft"
247961,"-1hard/0medium/-2147483647soft"
247961,"-1hard/0medium/-2147483647soft"
247961,"-1hard/0medium/-2147483647soft"
247962,"-1hard/0medium/-2147483647soft"
247962,"-1hard/0medium/-2147483647soft"
247962,"-1hard/0medium/-2147483647soft"
247962,"-1hard/0medium/-2147483647soft"
247962,"-1hard/0medium/-2147483647soft"
247962,"-1hard/0medium/-2147483647soft"
247963,"-1hard/0medium/-2147483647soft"
247963,"-1hard/0medium/-2147483647soft"
247963,"-1hard/0medium/-2147483647soft"
247963,"-1hard/0medium/-2147483647soft"
247963,"-1hard/0medium/-2147483647soft"
247963,"-1hard/0medium/-2147483647soft"
247963,"-1hard/0medium/-2147483647soft"
247963,"-1hard/0medium/-2147483647soft"
247963,"-1hard/0medium/-2147483647soft"
247963,"-1hard/0medium/-2147483647soft"
247963,"-1hard/0medium/-2147483647soft"
247964,"-1hard/0medium/-2147483647soft"
247964,"-1hard/0medium/-2147483647soft"
247964,"-1hard/0medium/-2147483647soft"
247964,"-1hard/0medium/-2147483647soft"
247964,"-1hard/0medium/-2147483647soft"
252350,"0hard/0medium/-494soft"
252351,"-1hard/0medium/-2147483647soft"
252351,"-1hard/0medium/-2147483647soft"
252351,"-1hard/0medium/-2147483647soft"
252351,"-1hard/0medium/-2147483647soft"
252351,"-1hard/0medium/-2147483647soft"
252351,"-1hard/0medium/-2147483647soft"
252351,"-1hard/0medium/-2147483647soft"
252352,"-1hard/0medium/-2147483647soft"
252352,"-1hard/0medium/-2147483647soft"
256550,"0hard/0medium/-493soft"
260828,"0hard/0medium/-493soft"
265370,"0hard/0medium/-457soft"
269723,"0hard/0medium/-457soft"
269723,"-1hard/0medium/-2147483647soft"
269725,"-1hard/0medium/-2147483647soft"
269725,"-1hard/0medium/-2147483647soft"
269726,"-1hard/0medium/-2147483647soft"
269726,"-1hard/0medium/-2147483647soft"
269726,"-1hard/0medium/-2147483647soft"
269726,"-1hard/0medium/-2147483647soft"
269727,"-1hard/0medium/-2147483647soft"
269727,"-1hard/0medium/-2147483647soft"
269727,"-1hard/0medium/-2147483647soft"
269728,"-1hard/0medium/-2147483647soft"
273966,"0hard/0medium/-443soft"
278488,"0hard/-1medium/-514soft"
282857,"0hard/-4medium/-620soft"
286981,"0hard/-4medium/-620soft"
291518,"0hard/-4medium/-620soft"
295860,"0hard/-4medium/-620soft"
300409,"0hard/-4medium/-620soft"
304814,"0hard/-1medium/-550soft"
309184,"0hard/-1medium/-550soft"
313558,"0hard/-1medium/-549soft"
317957,"0hard/-1medium/-549soft"
322211,"0hard/-1medium/-549soft"
326357,"0hard/-1medium/-549soft"
330654,"0hard/-1medium/-552soft"
334910,"0hard/-1medium/-552soft"
339118,"0hard/-1medium/-530soft"
343291,"0hard/-1medium/-512soft"
347502,"0hard/-1medium/-512soft"
351957,"0hard/-1medium/-503soft"
356507,"0hard/-1medium/-503soft"
360812,"0hard/-1medium/-503soft"
365216,"0hard/-1medium/-506soft"
369623,"0hard/-1medium/-489soft"
374147,"0hard/-1medium/-526soft"
374148,"-1hard/0medium/-2147483647soft"
374149,"-1hard/0medium/-2147483647soft"
374149,"-1hard/0medium/-2147483647soft"
374149,"-1hard/0medium/-2147483647soft"
374149,"-1hard/0medium/-2147483647soft"
374150,"-1hard/0medium/-2147483647soft"
374150,"-1hard/0medium/-2147483647soft"
378568,"0hard/0medium/-457soft"
383009,"0hard/-3medium/-512soft"
387194,"0hard/-3medium/-512soft"
391651,"0hard/-4medium/-604soft"
395993,"0hard/-4medium/-604soft"
400290,"0hard/-4medium/-661soft"
404729,"0hard/-4medium/-625soft"
409050,"0hard/-4medium/-625soft"
413322,"0hard/-4medium/-625soft"
417693,"0hard/-4medium/-625soft"
422225,"0hard/-4medium/-625soft"
426548,"0hard/-4medium/-625soft"
430890,"0hard/-4medium/-625soft"
435137,"0hard/-6medium/-567soft"
439506,"0hard/-2medium/-523soft"
443790,"0hard/-1medium/-513soft"
448149,"0hard/-1medium/-513soft"
452399,"0hard/-1medium/-513soft"
456957,"0hard/-1medium/-513soft"
461420,"0hard/-3medium/-549soft"
465834,"0hard/-3medium/-549soft"
470129,"0hard/0medium/-458soft"
474471,"0hard/-1medium/-524soft"
478976,"0hard/-3medium/-473soft"
483350,"0hard/-3medium/-473soft"
487782,"0hard/-3medium/-473soft"
492378,"0hard/-3medium/-473soft"
496767,"0hard/-3medium/-473soft"
501161,"0hard/0medium/-455soft"
505440,"0hard/0medium/-455soft"
