"timeMillisSpent","calculateCountPerSecond"
4413,11
8662,0
13055,0
17479,0
21965,0
26288,0
26289,3000
30499,13
34709,0
39058,1
43356,0
47870,0
52113,0
56366,0
60660,0
65078,0
69543,0
73923,0
78431,0
82847,0
87124,0
91374,0
95689,1
100093,0
104405,0
108736,1
113065,0
117423,0
121659,1
125991,1
130591,0
134751,0
139070,0
143572,1
147929,0
152243,0
156577,0
160906,0
165261,0
169562,0
173906,0
178283,0
182803,0
187347,0
191727,0
196003,0
200359,0
204735,0
209109,0
213488,0
213488,1000
217740,1
221933,0
226357,0
230760,0
235139,0
239617,1
243996,1
248308,0
252680,0
257079,1
261441,0
265837,0
270121,0
274482,1
278824,0
283156,0
287426,0
291729,0
296243,0
300481,0
304748,0
309100,0
309101,1000
313474,0
313474,2000
317743,3
322259,0
322259,1000
326596,3
330959,0
335490,0
339794,0
344087,0
348418,0
353016,0
357305,0
361585,0
365923,0
370286,0
374631,0
378914,0
383205,0
387772,0
392270,0
396529,0
400886,1
405367,0
409899,1
414421,0
418801,0
423153,0
427427,0
431835,0
436012,0
440444,0
440444,6000
444745,6
449117,0
453542,0
457872,0
462252,0
466622,0
470857,0
475167,0
479572,0
483890,0
488319,0
492621,0
496927,2
501304,0
505647,0
509983,0
514488,0
518751,0
523083,0
527524,0
531793,0
536080,1
540367,0
544877,0
549119,0
553421,0
557663,0
562142,0
566487,0
570775,0
575007,0
579459,0
583783,0
588133,0
592490,0
596730,0
601262,0
