"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
4413,1,2
8662,1,2
13055,1,1
17479,1,1
21965,1,3
26288,1,1
26289,1,3
26289,1,17
26290,1,4
26290,1,3
26290,1,2
26290,1,9
26291,1,2
26291,1,4
26291,1,10
30499,1,6
34709,1,2
39058,1,7
43356,1,1
47871,1,3
52113,1,2
56366,1,1
60660,1,3
65078,1,1
69543,1,1
73923,1,2
78431,1,1
82847,1,3
87124,1,1
91374,1,1
95689,1,6
100093,1,3
104405,1,3
108736,1,6
113065,1,1
117423,1,4
121659,1,7
125991,1,7
130591,1,4
134751,1,2
139070,1,2
143572,1,6
147929,1,1
152243,1,1
156577,1,4
160906,1,3
165261,1,4
169562,1,3
173906,1,3
178283,1,3
182803,1,1
187347,1,1
191727,1,2
196003,1,1
200359,1,3
204735,1,2
209109,1,1
213488,1,1
213488,1,1
213488,1,1
213488,1,3
213488,1,2
217740,1,1
221933,1,3
226357,1,2
230760,1,3
235139,1,1
239618,1,7
243996,1,6
248308,1,1
252680,1,4
257079,1,7
261441,1,1
265837,1,2
270121,1,1
274482,1,5
278824,1,1
283156,1,1
287426,1,3
291729,1,1
296243,1,1
300481,1,1
304748,1,1
309100,1,2
309101,1,1
313474,1,2
313474,1,2
313474,1,9
313475,1,2
313475,1,1
313475,1,1
313475,1,1
317743,1,2
322259,1,1
322259,1,1
326596,1,14
330959,1,2
335490,1,1
339794,1,1
344087,1,1
348418,1,2
353016,1,1
357305,1,2
361585,1,2
365923,1,3
370286,1,4
374631,1,1
378914,1,1
383205,1,1
387772,1,1
392270,1,1
396529,1,1
400886,1,8
405367,1,1
409899,1,6
414421,1,1
418801,1,2
423153,1,1
427427,1,2
431835,1,1
436012,1,3
440444,1,3
440444,1,6
440445,1,4
440446,1,3
440446,1,5
440446,1,3
440447,1,1
440447,1,11
444745,1,1
449117,1,2
453542,1,2
457872,1,1
462252,1,1
466622,1,1
470857,1,4
475167,1,2
479572,1,2
483890,1,1
488319,1,2
492621,1,1
496927,1,9
501304,1,2
505647,1,1
509983,1,1
514488,1,3
518751,1,2
523083,1,2
527524,1,1
531793,1,2
536080,1,7
540367,1,4
544877,1,1
549119,1,2
553421,1,2
557663,1,2
562142,1,3
566487,1,1
570775,1,3
575007,1,3
579459,1,1
583783,1,1
588133,1,2
592490,1,3
596730,1,1
601262,1,2
