"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
4261,1,2
4261,1,5
4262,1,8
4262,1,3
4263,1,2
4263,1,2
8530,1,10
12786,1,1
17086,1,1
21374,1,1
25907,1,3
30143,1,5
34707,1,1
39092,1,1
43607,1,1
47802,1,1
52156,1,1
56425,1,2
60649,1,1
65217,1,2
69792,1,1
74241,1,1
78610,1,8
82915,1,1
87050,1,1
91404,1,3
95769,1,3
100186,1,6
104461,1,1
108851,1,6
113204,1,4
117472,1,1
121839,1,1
126216,1,2
130558,1,2
134905,1,2
139226,1,5
143817,1,2
148389,1,1
152762,1,1
157105,1,1
161323,1,7
165801,1,1
170013,1,1
174294,1,8
178672,1,6
183001,1,8
187362,1,1
191605,1,3
195990,1,1
200442,1,5
204737,1,7
209082,1,1
213489,1,1
217872,1,2
222233,1,1
226543,1,4
230913,1,1
235295,1,8
239628,1,3
244149,1,6
248504,1,5
252789,1,1
257316,1,4
261840,1,5
266245,1,1
270813,1,10
275171,1,2
279367,1,1
283894,1,3
288260,1,7
292402,1,1
296897,1,3
301264,1,3
305738,1,2
310007,1,2
314323,1,1
318788,1,1
323198,1,4
327732,1,1
332092,1,1
336417,1,1
340762,1,1
345071,1,3
349525,1,2
353883,1,1
358213,1,1
362576,1,1
366914,1,1
371207,1,1
375400,1,1
379870,1,2
384346,1,2
388705,1,1
393022,1,5
397377,1,1
397377,1,1
401636,1,1
405831,1,1
410040,1,1
414418,1,1
418707,1,1
423065,1,2
427421,1,1
431807,1,1
436174,1,6
440722,1,1
445153,1,1
449343,1,1
453600,1,8
458085,1,2
462419,1,1
466714,1,1
470952,1,1
475274,1,1
479687,1,1
484031,1,3
488611,1,1
492993,1,1
497529,1,3
501880,1,1
506118,1,3
510573,1,2
515137,1,1
519616,1,2
523914,1,5
528290,1,5
532662,1,2
537066,1,1
541366,1,3
545571,1,1
549771,1,4
554353,1,2
558625,1,1
563003,1,4
567228,1,3
571597,1,6
576105,1,1
580446,1,2
584841,1,1
589135,1,1
593423,1,1
597812,1,2
602147,1,3
