"timeMillisSpent","usedMemory","maxMemory"
4565,8785664,1834483712
8834,9269288,1834483712
13121,9269288,1834483712
17630,9752912,1834483712
21960,10236992,1834483712
26369,10237448,1834483712
30764,10713520,1834483712
35005,11197600,1834483712
39283,11198056,1834483712
43524,11677824,1834483712
47882,12161448,1834483712
52435,12161448,1834483712
56973,12645072,1834483712
61207,13129152,1834483712
65547,13129608,1834483712
69801,13613688,1834483712
74202,13614144,1834483712
78688,14090384,1834483712
83177,14578008,1834483712
87734,14578008,1834483712
87735,14578008,1834483712
92212,16004320,1834483712
96488,16487944,1834483712
100820,16972024,1834483712
105026,16972480,1834483712
109300,17456560,1834483712
113546,17940640,1834483712
117869,17941096,1834483712
122165,18427240,1834483712
126334,18427240,1834483712
130733,18910864,1834483712
135140,19395968,1834483712
139492,19396424,1834483712
143829,19880504,1834483712
148329,20372776,1834483712
152740,20373232,1834483712
157093,20857312,1834483712
161334,20859832,1834483712
165800,21335264,1834483712
170150,21810808,1834483712
174580,21810808,1834483712
178956,22287440,1834483712
183342,22773000,1834483712
187670,22773456,1834483712
191958,23257536,1834483712
196314,23749824,1834483712
200613,23752344,1834483712
205131,24228104,1834483712
209418,24228104,1834483712
213802,24703600,1834483712
218127,25187680,1834483712
222381,25188136,1834483712
226800,25672216,1834483712
231343,26164488,1834483712
231343,26164488,1834483712
235622,26640376,1834483712
239896,27118544,1834483712
244286,27118544,1834483712
248712,27594152,1834483712
248713,27594152,1834483712
253240,29029072,1834483712
253241,29029072,1834483712
257849,29988584,1834483712
261990,29989040,1834483712
266214,30473120,1834483712
270702,30473576,1834483712
270702,30473576,1834483712
275331,31424920,1834483712
279761,8280360,1834483712
284070,8280360,1834483712
288328,8767312,1834483712
292697,9254264,1834483712
297187,9254720,1834483712
301701,9742128,1834483712
305881,10229536,1834483712
310130,10229992,1834483712
314463,10717400,1834483712
318799,10719920,1834483712
323321,11206872,1834483712
327543,11693824,1834483712
331915,11693824,1834483712
336262,12173064,1834483712
340793,12173520,1834483712
345283,12652760,1834483712
349637,13140168,1834483712
354136,13140624,1834483712
358465,13621904,1834483712
362873,14108856,1834483712
367114,14108856,1834483712
371263,14587616,1834483712
375557,15075024,1834483712
375558,15075024,1834483712
379810,15562432,1834483712
384319,16058032,1834483712
388560,16058488,1834483712
392948,16545896,1834483712
397492,17043560,1834483712
401793,17043560,1834483712
406009,17538720,1834483712
410403,17538720,1834483712
414972,18026128,1834483712
419395,18517464,1834483712
423708,18517920,1834483712
427947,18997144,1834483712
432469,19492744,1834483712
436788,19495264,1834483712
441128,19982216,1834483712
445472,20461008,1834483712
449862,20461008,1834483712
454170,20940744,1834483712
458606,21428152,1834483712
462799,21428608,1834483712
467101,21916016,1834483712
471424,21916472,1834483712
475744,22401848,1834483712
480285,22884520,1834483712
484698,22884520,1834483712
489282,23371472,1834483712
493820,23858880,1834483712
498192,23859336,1834483712
502579,24346744,1834483712
506884,24834152,1834483712
511235,24834608,1834483712
515430,25324080,1834483712
519785,25324080,1834483712
524021,25811032,1834483712
528268,26289864,1834483712
532638,26290320,1834483712
536843,26769568,1834483712
545400,27257432,1834483712
549730,27736664,1834483712
554261,28218056,1834483712
558753,28218056,1834483712
563128,28696816,1834483712
567580,29183768,1834483712
576141,29663544,1834483712
580483,30150952,1834483712
588895,30647024,1834483712
593528,30649544,1834483712
597931,31128312,1834483712
602431,31615264,1834483712
