"timeMillisSpent","calculateCountPerSecond"
4393,11
8829,0
13168,0
17659,0
22010,0
26397,0
30762,0
35032,0
39606,0
44174,0
48655,0
53152,1
57360,0
61599,0
66010,0
70297,0
74510,0
78970,0
83219,0
87480,0
91781,1
96079,0
100602,0
104800,0
109267,0
113530,0
118048,0
122393,0
126608,1
131083,0
135631,0
140158,0
144458,0
148783,0
153099,0
157392,0
161754,0
161754,1000
166170,2
170419,1
174646,0
178856,0
183404,0
187719,0
191930,0
196113,0
200440,0
204842,0
209349,0
213786,1
218215,0
222477,0
226866,0
231401,0
235635,0
239987,0
244334,0
248624,0
253077,0
257415,0
261723,0
266002,0
270360,1
274854,0
279211,1
283752,0
288126,0
292433,1
296827,0
301345,0
305639,0
309913,0
314536,0
319111,0
323374,0
323374,1000
327643,3
332158,0
336688,0
340998,0
345517,0
349863,0
354208,0
358485,0
362858,0
367098,0
371606,0
376111,0
380565,0
385136,0
389549,0
393843,0
398388,1
402781,0
407120,0
411452,0
415769,0
420277,0
424514,0
428742,0
432968,0
437332,0
441631,1
446046,0
450619,1
455170,0
459477,0
463772,0
468070,0
472250,0
476726,0
481017,0
485213,0
489532,0
493827,0
497996,0
502320,0
506657,0
510954,0
515454,0
519990,0
524413,0
528727,0
532997,0
537260,0
541554,0
545814,0
550191,0
554557,0
558806,0
563022,0
567535,0
572118,0
576464,0
580697,0
585040,0
589458,0
593748,1
598113,0
602378,0
