"timeMillisSpent","usedMemory","maxMemory"
4231,9788784,1834483712
4231,9788784,1834483712
8475,9788784,1834483712
8475,9788784,1834483712
12852,11213776,1834483712
17051,11688752,1834483712
21434,12167800,1834483712
25664,12168256,1834483712
30176,12651584,1834483712
34333,13151312,1834483712
38662,13151768,1834483712
43062,13637160,1834483712
47375,14111848,1834483712
51657,14111848,1834483712
56215,14594720,1834483712
60593,15078048,1834483712
65106,15078504,1834483712
69485,15561832,1834483712
73991,15562288,1834483712
78394,16041520,1834483712
82734,16526912,1834483712
87287,16526912,1834483712
91625,17001600,1834483712
95895,17484472,1834483712
100396,17484928,1834483712
104776,17960360,1834483712
108985,18443688,1834483712
113334,18444144,1834483712
117743,18927472,1834483712
122173,19429264,1834483712
126444,19429264,1834483712
130756,19912136,1834483712
135223,19912136,1834483712
139585,20387672,1834483712
143979,20879208,1834483712
148368,20879664,1834483712
152755,21354808,1834483712
157115,21838136,1834483712
161377,21840656,1834483712
165888,22323528,1834483712
170165,22822800,1834483712
174670,22822800,1834483712
179154,23306128,1834483712
183392,23306584,1834483712
183392,23782304,1834483712
187575,23782760,1834483712
191916,24266088,1834483712
196142,24790440,1834483712
200588,24792960,1834483712
200588,24792960,1834483712
204817,25267672,1834483712
209160,25750544,1834483712
213462,25750544,1834483712
217950,26233872,1834483712
222448,26725392,1834483712
226716,26725848,1834483712
231027,27209176,1834483712
235446,27692504,1834483712
239703,27695024,1834483712
243987,28177896,1834483712
243987,28177896,1834483712
248480,28652584,1834483712
252766,29135456,1834483712
257072,29135912,1834483712
261358,29619240,1834483712
265599,30118968,1834483712
269886,30119424,1834483712
274164,30619168,1834483712
278561,30621688,1834483712
282928,31096440,1834483712
287156,31579312,1834483712
291405,31579312,1834483712
295720,8815480,1834483712
300031,8815480,1834483712
304484,9290168,1834483712
308761,9773040,1834483712
313119,9775136,1834483712
317468,10249840,1834483712
321731,10732712,1834483712
326283,11215584,1834483712
330828,11217680,1834483712
335117,11700552,1834483712
339436,11700552,1834483712
343744,12175376,1834483712
348155,12656064,1834483712
352348,12656064,1834483712
356694,13138936,1834483712
360973,13630016,1834483712
365272,13632112,1834483712
369642,14114984,1834483712
373785,14114984,1834483712
378054,14590520,1834483712
382240,15076960,1834483712
386515,15076960,1834483712
390830,15559832,1834483712
395106,16059104,1834483712
399605,16061200,1834483712
404010,16544072,1834483712
408299,16544072,1834483712
412638,17018752,1834483712
416961,17503720,1834483712
421373,17503720,1834483712
425823,17982496,1834483712
430333,18465368,1834483712
434719,18467464,1834483712
439253,18942264,1834483712
443555,19425136,1834483712
448100,19425136,1834483712
452335,19901936,1834483712
456665,20384808,1834483712
461093,20384808,1834483712
465388,20867680,1834483712
469702,21352648,1834483712
473999,21352648,1834483712
478443,21835520,1834483712
482707,22310280,1834483712
486892,22312376,1834483712
491355,22795248,1834483712
495519,22795248,1834483712
499774,23278120,1834483712
504063,23758808,1834483712
508348,23758808,1834483712
512872,24241680,1834483712
517170,24724552,1834483712
521377,24726648,1834483712
525642,25209520,1834483712
530025,25209520,1834483712
534523,25684232,1834483712
538805,26161200,1834483712
543192,26161200,1834483712
547630,26644072,1834483712
552105,27118976,1834483712
556420,27121072,1834483712
560874,27603944,1834483712
565309,27603944,1834483712
569711,28079144,1834483712
573972,28556880,1834483712
578275,28556880,1834483712
582564,29039752,1834483712
587106,29522624,1834483712
591334,29524720,1834483712
591334,29524720,1834483712
595762,29999408,1834483712
600076,30491960,1834483712
