"timeMillisSpent","score"
4203,"0hard/0medium/-412soft"
8466,"0hard/0medium/-412soft"
13040,"0hard/-1medium/-447soft"
17516,"0hard/0medium/-423soft"
21810,"0hard/0medium/-411soft"
26193,"0hard/0medium/-411soft"
26194,"-1hard/0medium/-2147483647soft"
26195,"-1hard/0medium/-2147483647soft"
26196,"-1hard/0medium/-2147483647soft"
26197,"-1hard/0medium/-2147483647soft"
26197,"-1hard/0medium/-2147483647soft"
26198,"-1hard/0medium/-2147483647soft"
26198,"-1hard/0medium/-2147483647soft"
26198,"-1hard/0medium/-2147483647soft"
26199,"-1hard/0medium/-2147483647soft"
30585,"0hard/-1medium/-435soft"
35080,"0hard/-1medium/-415soft"
39484,"0hard/-1medium/-416soft"
43841,"0hard/-1medium/-416soft"
48329,"0hard/-2medium/-495soft"
52644,"0hard/-2medium/-495soft"
57000,"0hard/-2medium/-489soft"
61561,"0hard/-2medium/-495soft"
66030,"0hard/-2medium/-495soft"
70313,"0hard/-1medium/-423soft"
74527,"0hard/-1medium/-470soft"
78942,"0hard/-1medium/-470soft"
83213,"0hard/-1medium/-470soft"
87671,"0hard/-1medium/-490soft"
92092,"0hard/-1medium/-489soft"
96449,"0hard/-1medium/-489soft"
100771,"0hard/0medium/-400soft"
105018,"0hard/-3medium/-449soft"
109266,"0hard/-3medium/-449soft"
113471,"0hard/-3medium/-464soft"
117736,"0hard/-3medium/-464soft"
122299,"0hard/-1medium/-478soft"
126607,"0hard/-1medium/-478soft"
130971,"0hard/-2medium/-489soft"
135306,"0hard/-2medium/-489soft"
139619,"0hard/-2medium/-489soft"
144050,"0hard/-2medium/-489soft"
148327,"0hard/-2medium/-489soft"
152617,"0hard/-2medium/-489soft"
156865,"0hard/-2medium/-489soft"
161183,"0hard/-4medium/-533soft"
165470,"0hard/-4medium/-533soft"
169951,"0hard/-4medium/-513soft"
174391,"0hard/-4medium/-517soft"
178604,"0hard/-4medium/-517soft"
182961,"0hard/-6medium/-450soft"
187245,"0hard/-3medium/-450soft"
191523,"0hard/-4medium/-513soft"
195868,"0hard/-1medium/-445soft"
200249,"0hard/-1medium/-454soft"
204499,"0hard/-1medium/-454soft"
208811,"0hard/-1medium/-424soft"
213306,"0hard/0medium/-412soft"
213306,"-1hard/0medium/-2147483647soft"
213306,"-1hard/0medium/-2147483647soft"
213307,"-1hard/0medium/-2147483647soft"
213307,"-1hard/0medium/-2147483647soft"
217813,"0hard/-1medium/-460soft"
222196,"0hard/-1medium/-460soft"
226519,"0hard/-2medium/-460soft"
230707,"0hard/-2medium/-460soft"
235000,"0hard/-2medium/-490soft"
239527,"0hard/-4medium/-578soft"
243844,"0hard/-4medium/-552soft"
248311,"0hard/-4medium/-552soft"
252574,"0hard/-4medium/-552soft"
257070,"0hard/-1medium/-515soft"
261623,"0hard/-1medium/-515soft"
265999,"0hard/-1medium/-485soft"
270328,"0hard/-1medium/-485soft"
