"timeMillisSpent","calculateCountPerSecond"
4409,33
8671,0
13052,0
17388,0
21688,0
25941,0
30439,0
34856,0
39143,0
43435,0
47828,0
52077,0
56443,0
60606,0
64844,0
69162,0
73428,0
77698,0
82232,0
86512,0
90936,0
95163,0
99448,0
103649,0
107906,0
112446,0
116743,1
121045,0
125354,0
129744,0
134059,0
138270,0
142541,0
146744,0
151248,1
155518,0
160010,0
164444,2
168717,0
172989,0
177163,1
181697,1
185998,1
190345,0
194643,0
198939,0
203505,2
208038,0
212290,1
216487,0
220734,4
225002,1
229270,0
233676,0
238157,0
242460,0
246812,0
251066,0
255512,0
259871,1
264431,0
268826,0
273329,0
277822,0
282036,0
286545,0
286545,4000
290873,3
295180,1
299469,0
303835,1
308214,0
312484,0
316807,2
321139,0
325612,1
330189,0
334538,0
338914,0
343290,0
347622,0
351954,1
356119,0
360493,0
365024,2
369354,0
373593,0
377884,0
382381,0
386658,0
390914,0
395468,0
399837,1
404324,0
408582,0
412989,0
417364,1
421558,2
425892,0
430271,0
434610,2
438889,0
443105,0
447412,0
451732,1
456046,1
460441,0
464946,0
469245,0
473674,0
478022,3
482387,0
486542,0
490839,0
495082,0
499416,0
503959,0
508254,0
512578,0
516978,0
521383,0
525657,0
530033,0
534214,1
538490,0
542747,0
547003,0
551289,0
555532,0
559775,0
564192,0
568522,0
572889,1
577361,0
581660,0
585956,0
590153,0
594694,0
599177,3
603479,0
