"timeMillisSpent","calculateCountPerSecond"
4529,11
8890,0
13181,0
17473,0
21741,0
26021,0
30334,0
34797,0
39171,0
43528,0
48013,1
52356,1
56587,0
60900,1
65206,0
69649,0
74049,0
78377,0
82866,0
87212,0
87212,1000
91530,17
96020,0
100497,0
104749,0
109092,0
113636,0
118116,0
122460,0
126632,0
131067,0
135367,0
139859,0
144177,0
148595,0
153004,0
157400,0
161857,0
166185,0
170720,0
175240,0
179534,0
183829,0
188191,0
192556,0
196804,0
201122,0
205627,0
210116,0
214654,0
219181,0
223724,0
227836,0
232198,0
232198,2000
236331,6
240534,0
245018,0
249254,0
249254,1000
253651,14
253652,1000
257973,6
262195,0
266705,0
271153,0
271154,2000
275442,8
279777,0
284082,0
288610,0
292877,1
297164,0
301545,0
305900,0
310241,0
314585,0
318948,0
323154,0
327502,0
331693,0
336068,0
340409,0
344612,0
348950,0
353223,0
357491,2
361997,0
366466,0
370980,0
375369,0
375369,1000
379721,4
384033,0
388345,2
392760,0
397121,0
401623,0
405970,0
410470,0
414864,0
419322,0
423618,0
428100,0
432437,0
436792,0
441032,0
445478,0
449791,1
454138,0
458491,0
462985,0
467256,0
471598,0
475979,0
480545,0
484934,0
489285,0
493537,1
497874,0
502392,1
506729,0
511196,0
515761,0
524529,0
528672,0
533031,0
541545,0
545843,1
554516,0
558877,0
563259,0
567583,1
571810,0
575929,0
584626,0
588938,0
602230,0
