"timeMillisSpent","score"
11046,"0hard/0medium/-227soft"
14718,"0hard/0medium/-227soft"
18373,"0hard/0medium/-211soft"
22032,"0hard/0medium/-209soft"
25794,"0hard/0medium/-209soft"
29441,"0hard/0medium/-209soft"
36739,"0hard/0medium/-218soft"
40357,"0hard/0medium/-220soft"
43987,"0hard/0medium/-227soft"
47726,"0hard/0medium/-209soft"
51552,"0hard/0medium/-218soft"
55382,"0hard/0medium/-218soft"
59004,"0hard/0medium/-218soft"
70131,"0hard/0medium/-218soft"
73934,"0hard/0medium/-220soft"
77638,"0hard/0medium/-220soft"
81289,"0hard/0medium/-227soft"
84949,"0hard/0medium/-227soft"
88716,"0hard/0medium/-227soft"
92405,"0hard/0medium/-227soft"
96029,"0hard/0medium/-227soft"
99616,"0hard/0medium/-227soft"
103259,"0hard/0medium/-227soft"
106832,"0hard/0medium/-227soft"
110690,"0hard/0medium/-227soft"
114408,"0hard/0medium/-227soft"
118190,"0hard/0medium/-219soft"
121983,"0hard/0medium/-219soft"
125646,"0hard/0medium/-219soft"
129482,"0hard/0medium/-220soft"
133007,"0hard/0medium/-220soft"
136632,"0hard/0medium/-220soft"
140441,"0hard/0medium/-220soft"
144182,"0hard/0medium/-220soft"
148010,"0hard/0medium/-220soft"
151565,"0hard/0medium/-220soft"
155211,"0hard/0medium/-220soft"
162663,"0hard/0medium/-227soft"
170116,"0hard/0medium/-227soft"
173966,"0hard/0medium/-227soft"
177634,"0hard/0medium/-218soft"
181276,"0hard/0medium/-218soft"
184922,"0hard/0medium/-215soft"
192362,"0hard/0medium/-215soft"
196153,"0hard/0medium/-219soft"
199858,"0hard/0medium/-220soft"
203486,"0hard/0medium/-227soft"
207199,"0hard/0medium/-227soft"
211034,"0hard/0medium/-227soft"
218350,"0hard/0medium/-211soft"
221979,"0hard/0medium/-209soft"
225702,"0hard/0medium/-209soft"
229383,"0hard/0medium/-209soft"
232922,"0hard/0medium/-209soft"
236540,"0hard/0medium/-215soft"
240216,"0hard/0medium/-209soft"
243913,"0hard/0medium/-211soft"
247537,"0hard/0medium/-220soft"
251223,"0hard/0medium/-220soft"
254893,"0hard/0medium/-220soft"
258554,"0hard/0medium/-220soft"
262278,"0hard/0medium/-220soft"
265968,"0hard/0medium/-220soft"
269799,"0hard/0medium/-219soft"
273517,"0hard/0medium/-219soft"
277166,"0hard/0medium/-227soft"
280829,"0hard/0medium/-227soft"
284694,"0hard/0medium/-219soft"
288368,"0hard/0medium/-219soft"
295769,"0hard/0medium/-219soft"
299390,"0hard/0medium/-220soft"
303048,"0hard/0medium/-219soft"
306604,"0hard/0medium/-215soft"
310287,"0hard/0medium/-209soft"
314066,"0hard/0medium/-215soft"
321447,"0hard/0medium/-219soft"
325155,"0hard/0medium/-215soft"
328919,"0hard/0medium/-215soft"
332737,"0hard/0medium/-211soft"
336266,"0hard/0medium/-219soft"
339914,"0hard/0medium/-219soft"
343608,"0hard/0medium/-211soft"
347294,"0hard/0medium/-227soft"
354674,"0hard/0medium/-211soft"
358382,"0hard/0medium/-211soft"
362066,"0hard/0medium/-211soft"
365630,"0hard/0medium/-211soft"
369290,"0hard/0medium/-211soft"
376821,"0hard/0medium/-211soft"
384375,"0hard/0medium/-220soft"
388115,"0hard/0medium/-220soft"
391779,"0hard/0medium/-220soft"
395603,"0hard/0medium/-208soft"
399350,"0hard/0medium/-208soft"
402951,"0hard/0medium/-220soft"
406490,"0hard/0medium/-220soft"
410198,"0hard/0medium/-220soft"
413929,"0hard/0medium/-208soft"
417665,"0hard/0medium/-220soft"
421458,"0hard/0medium/-220soft"
425065,"0hard/0medium/-220soft"
428691,"0hard/0medium/-220soft"
432447,"0hard/0medium/-220soft"
436263,"0hard/0medium/-209soft"
439934,"0hard/0medium/-209soft"
443581,"0hard/0medium/-219soft"
447399,"0hard/0medium/-219soft"
451074,"0hard/0medium/-215soft"
454798,"0hard/0medium/-220soft"
458442,"0hard/0medium/-220soft"
465769,"0hard/0medium/-220soft"
469445,"0hard/0medium/-220soft"
473059,"0hard/0medium/-220soft"
476850,"0hard/0medium/-220soft"
480529,"0hard/0medium/-220soft"
487805,"0hard/0medium/-220soft"
495265,"0hard/0medium/-209soft"
498773,"0hard/0medium/-211soft"
502384,"0hard/0medium/-211soft"
506289,"0hard/0medium/-211soft"
509906,"0hard/0medium/-227soft"
513504,"0hard/0medium/-211soft"
517141,"0hard/0medium/-219soft"
520737,"0hard/0medium/-220soft"
524521,"0hard/0medium/-220soft"
528186,"0hard/0medium/-220soft"
531817,"0hard/0medium/-218soft"
539137,"0hard/0medium/-209soft"
542832,"0hard/0medium/-220soft"
546529,"0hard/0medium/-220soft"
550212,"0hard/0medium/-220soft"
553898,"0hard/0medium/-220soft"
557594,"0hard/0medium/-220soft"
565010,"0hard/0medium/-220soft"
568623,"0hard/0medium/-220soft"
572308,"0hard/0medium/-220soft"
575955,"0hard/0medium/-220soft"
579688,"0hard/0medium/-220soft"
583310,"0hard/0medium/-220soft"
590813,"0hard/0medium/-220soft"
594503,"0hard/0medium/-220soft"
601670,"0hard/0medium/-220soft"
