"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
10787,1,2
14604,1,1
18307,1,1
22133,1,3
25819,1,1
29598,1,3
33282,1,2
36972,1,6
40642,1,3
44297,1,6
48029,1,2
51726,1,6
55328,1,2
59010,1,2
62761,1,7
66430,1,2
70186,1,1
73845,1,2
77516,1,4
84884,1,3
88360,1,2
92202,1,3
95910,1,3
99617,1,2
106986,1,9
110715,1,1
114428,1,8
118134,1,4
121762,1,3
125395,1,2
136410,1,16
140298,1,6
143981,1,3
147619,1,5
151314,1,2
154946,1,1
162471,1,8
169873,1,4
173517,1,7
177166,1,15
180754,1,1
184590,1,1
188237,1,1
191923,1,1
195606,1,3
199435,1,1
203164,1,3
206907,1,1
210620,1,1
214253,1,1
217942,1,1
221622,1,3
225306,1,2
228965,1,1
232710,1,1
251073,1,8
258397,1,5
262241,1,1
269479,1,2
273185,1,2
276813,1,1
280504,1,2
284118,1,1
287838,1,1
291533,1,3
295204,1,3
298913,1,6
302638,1,1
306379,1,2
309975,1,1
313692,1,2
321008,1,3
324638,1,1
328332,1,2
332022,1,3
335608,1,1
343259,1,5
346998,1,2
350611,1,2
354338,1,2
358006,1,2
369087,1,13
372893,1,4
376556,1,4
380274,1,2
383875,1,1
387642,1,11
395000,1,3
398722,1,1
402387,1,3
406197,1,3
409803,1,1
413428,1,3
417055,1,4
420780,1,1
424582,1,7
428238,1,1
431767,1,2
439171,1,3
443021,1,1
446805,1,3
454075,1,5
457722,1,2
461332,1,2
465031,1,1
468691,1,2
479849,1,13
487192,1,5
490818,1,12
494420,1,1
498182,1,6
502053,1,1
509485,1,6
513190,1,1
516861,1,6
520733,1,2
531677,1,5
535290,1,2
542616,1,4
550028,1,3
553807,1,2
557448,1,1
561302,1,4
564981,1,1
568627,1,2
572333,1,2
576064,1,1
579774,1,7
586998,1,4
594481,1,3
598203,1,2
601890,0,8
