"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
10986,1,2
14641,1,4
18328,1,1
21912,1,1
25706,1,1
29399,1,3
33096,1,1
36946,1,1
40583,1,2
44214,1,3
47893,1,1
51746,1,1
55466,1,6
59121,1,3
63008,1,13
66636,1,1
70318,1,2
73932,1,4
77620,1,1
81418,1,1
85105,1,1
88633,1,1
92280,1,1
95930,1,1
99572,1,2
103178,1,5
107015,1,3
110751,1,1
114508,1,3
118080,1,2
121885,1,1
125601,1,1
129312,1,3
132911,1,2
136730,1,3
140376,1,4
144074,1,1
147671,1,1
151391,1,1
155004,1,1
158711,1,5
162455,1,2
166158,1,1
169828,1,1
173532,1,2
177205,1,2
180879,1,1
184428,1,2
188103,1,1
191812,1,2
195612,1,1
199279,1,1
203088,1,3
206812,1,2
210556,1,1
214295,1,2
218022,1,1
221907,1,2
225507,1,2
229215,1,2
233001,1,3
236763,1,3
240494,1,1
244077,1,1
247727,1,4
251458,1,1
255191,1,2
258835,1,1
262414,1,2
266097,1,6
269747,1,6
273357,1,1
277127,1,2
280909,1,3
284532,1,3
288420,1,1
292118,1,2
295839,1,1
299424,1,5
303135,1,5
306747,1,3
310474,1,2
314163,1,1
317910,1,1
321598,1,1
325464,1,5
329205,1,2
332979,1,4
336554,1,3
340168,1,3
343836,1,2
347690,1,3
351343,1,2
355128,1,6
358774,1,5
362413,1,3
366064,1,3
369772,1,8
373388,1,2
377042,1,4
380633,1,1
384288,1,1
388152,1,3
391959,1,1
395699,1,1
399538,1,5
403259,1,4
406979,1,2
410548,1,4
414276,1,3
417959,1,4
421568,1,2
425269,1,2
428832,1,4
432575,1,3
436320,1,3
439967,1,2
443795,1,1
447406,1,7
451081,1,1
454957,1,4
458639,1,2
462293,1,3
465873,1,1
469753,1,3
473600,1,1
477411,1,1
480927,1,2
484628,1,2
488313,1,5
491904,1,1
495604,1,1
499457,1,1
503183,1,6
506856,1,1
510504,1,5
514166,1,1
517906,1,5
521644,1,5
525432,1,3
529048,1,2
532763,1,1
536390,1,5
540232,1,4
543892,1,1
547672,1,1
551533,1,4
555272,1,1
558911,1,1
562572,1,2
566270,1,2
570122,1,1
573746,1,2
577388,1,2
581018,1,5
584752,1,5
588528,1,4
592069,1,2
595838,1,10
599556,1,1
603224,1,1
