"timeMillisSpent","calculateCountPerSecond"
3721,4
11076,0
14728,1
18404,0
22017,0
25619,0
29380,0
33247,0
36934,0
40551,0
44195,0
47931,0
51441,0
55251,1
59001,0
62669,1
66420,0
70114,0
73759,0
77414,0
81145,0
84850,3
88584,2
92302,0
96022,0
99672,0
103350,0
107012,0
110580,0
114477,0
118165,0
121766,1
125524,0
129157,0
132832,0
136388,0
140064,0
143747,1
147322,0
150946,0
154746,0
158389,0
162226,0
165866,2
169430,0
173174,0
176917,0
180656,0
184308,0
188160,1
191953,1
195603,0
199181,0
202812,1
206389,0
210083,0
213867,0
217475,0
221254,0
224917,0
228533,0
232141,0
235894,0
239512,0
243287,0
246964,0
250656,0
254384,0
258106,0
261889,1
265486,0
269268,0
272975,0
276590,0
280212,0
283883,0
287562,0
291144,0
294805,1
298458,0
302110,0
305754,1
309457,2
313136,0
316835,0
320446,0
324216,0
327899,0
331546,0
335227,0
338802,0
342624,0
346222,1
349932,0
353472,0
357273,1
360845,0
364413,0
368208,0
371892,0
375564,0
379290,1
382967,0
386762,0
390436,0
394055,0
397732,0
401523,0
405139,1
408876,0
412697,0
416436,0
420286,0
423976,0
427630,0
431237,0
435059,0
438785,0
442594,0
446305,0
449930,0
453791,1
457441,1
461112,0
464953,0
468755,0
472437,0
476205,0
479873,0
483505,0
487152,0
490988,0
494583,0
498240,0
501869,0
505602,1
509407,1
513018,0
516589,0
520247,0
523904,0
527604,0
531385,0
535015,0
538683,0
542486,0
546123,0
549789,0
553450,0
557104,0
560926,0
564553,0
568200,0
571933,0
575639,0
579275,0
582919,0
586695,0
590302,0
594005,0
597697,1
601260,0
