"timeMillisSpent","score"
11076,"0hard/0medium/-240soft"
14728,"0hard/0medium/-240soft"
18404,"0hard/0medium/-240soft"
22017,"0hard/0medium/-240soft"
25619,"0hard/0medium/-224soft"
29380,"0hard/0medium/-224soft"
33247,"0hard/0medium/-213soft"
36934,"0hard/0medium/-213soft"
40551,"0hard/0medium/-213soft"
44195,"0hard/0medium/-213soft"
47931,"0hard/0medium/-213soft"
51441,"0hard/0medium/-213soft"
55251,"0hard/0medium/-229soft"
59001,"0hard/0medium/-213soft"
62669,"0hard/0medium/-213soft"
66420,"0hard/0medium/-229soft"
70114,"0hard/0medium/-229soft"
73759,"0hard/0medium/-229soft"
77414,"0hard/0medium/-229soft"
81145,"0hard/0medium/-229soft"
84850,"0hard/0medium/-229soft"
88584,"0hard/0medium/-229soft"
92302,"0hard/0medium/-229soft"
96022,"0hard/0medium/-229soft"
99672,"0hard/0medium/-222soft"
103350,"0hard/0medium/-229soft"
107012,"0hard/0medium/-229soft"
110580,"0hard/0medium/-222soft"
114477,"0hard/0medium/-222soft"
118165,"0hard/0medium/-222soft"
121766,"0hard/0medium/-222soft"
125524,"0hard/0medium/-222soft"
129157,"0hard/0medium/-229soft"
132832,"0hard/0medium/-229soft"
136388,"0hard/0medium/-229soft"
140064,"0hard/0medium/-229soft"
143747,"0hard/0medium/-240soft"
147322,"0hard/0medium/-222soft"
150946,"0hard/0medium/-229soft"
154746,"0hard/0medium/-229soft"
158389,"0hard/0medium/-222soft"
162226,"0hard/0medium/-222soft"
165866,"0hard/0medium/-213soft"
169430,"0hard/0medium/-240soft"
173173,"0hard/0medium/-240soft"
176917,"0hard/0medium/-240soft"
180656,"0hard/0medium/-240soft"
184308,"0hard/0medium/-240soft"
188160,"0hard/0medium/-213soft"
191953,"0hard/0medium/-229soft"
195603,"0hard/0medium/-213soft"
199181,"0hard/0medium/-213soft"
202812,"0hard/0medium/-213soft"
206389,"0hard/0medium/-213soft"
210083,"0hard/0medium/-224soft"
213867,"0hard/0medium/-224soft"
217475,"0hard/0medium/-224soft"
221254,"0hard/0medium/-229soft"
224917,"0hard/0medium/-238soft"
228533,"0hard/0medium/-238soft"
232141,"0hard/0medium/-238soft"
235894,"0hard/0medium/-213soft"
239512,"0hard/0medium/-238soft"
243287,"0hard/0medium/-224soft"
246964,"0hard/0medium/-229soft"
250656,"0hard/0medium/-229soft"
254384,"0hard/0medium/-213soft"
258106,"0hard/0medium/-229soft"
261889,"0hard/0medium/-229soft"
265486,"0hard/0medium/-213soft"
269268,"0hard/0medium/-213soft"
272975,"0hard/0medium/-213soft"
276590,"0hard/0medium/-213soft"
280212,"0hard/0medium/-213soft"
283883,"0hard/0medium/-213soft"
287562,"0hard/0medium/-213soft"
291144,"0hard/0medium/-213soft"
294805,"0hard/0medium/-222soft"
298458,"0hard/0medium/-238soft"
302110,"0hard/0medium/-238soft"
305754,"0hard/0medium/-238soft"
309457,"0hard/0medium/-229soft"
313136,"0hard/0medium/-229soft"
316835,"0hard/0medium/-229soft"
320446,"0hard/0medium/-229soft"
324216,"0hard/0medium/-229soft"
327899,"0hard/0medium/-213soft"
331546,"0hard/0medium/-213soft"
335227,"0hard/0medium/-213soft"
338802,"0hard/0medium/-213soft"
342624,"0hard/0medium/-229soft"
346222,"0hard/0medium/-229soft"
349932,"0hard/0medium/-224soft"
353472,"0hard/0medium/-222soft"
357273,"0hard/0medium/-222soft"
360845,"0hard/0medium/-238soft"
364413,"0hard/0medium/-238soft"
368208,"0hard/0medium/-229soft"
371892,"0hard/0medium/-229soft"
375564,"0hard/0medium/-224soft"
379290,"0hard/0medium/-222soft"
382967,"0hard/0medium/-222soft"
386762,"0hard/0medium/-222soft"
390436,"0hard/0medium/-240soft"
394055,"0hard/0medium/-229soft"
397732,"0hard/0medium/-229soft"
401523,"0hard/0medium/-229soft"
405139,"0hard/0medium/-229soft"
408876,"0hard/0medium/-229soft"
412697,"0hard/0medium/-213soft"
416436,"0hard/0medium/-213soft"
420286,"0hard/0medium/-222soft"
423976,"0hard/0medium/-240soft"
427630,"0hard/0medium/-229soft"
431237,"0hard/0medium/-229soft"
435059,"0hard/0medium/-229soft"
438785,"0hard/0medium/-229soft"
442594,"0hard/0medium/-229soft"
446305,"0hard/0medium/-238soft"
449930,"0hard/0medium/-238soft"
453791,"0hard/0medium/-213soft"
457441,"0hard/0medium/-238soft"
461112,"0hard/0medium/-222soft"
464953,"0hard/0medium/-222soft"
468755,"0hard/0medium/-213soft"
472437,"0hard/0medium/-213soft"
476205,"0hard/0medium/-213soft"
479873,"0hard/0medium/-213soft"
483505,"0hard/0medium/-213soft"
487152,"0hard/0medium/-213soft"
490988,"0hard/0medium/-213soft"
494583,"0hard/0medium/-238soft"
498240,"0hard/0medium/-238soft"
501869,"0hard/0medium/-238soft"
505602,"0hard/0medium/-238soft"
509407,"0hard/0medium/-238soft"
513018,"0hard/0medium/-238soft"
516589,"0hard/0medium/-213soft"
520247,"0hard/0medium/-213soft"
523904,"0hard/0medium/-213soft"
527604,"0hard/0medium/-213soft"
531385,"0hard/0medium/-213soft"
535015,"0hard/0medium/-213soft"
538683,"0hard/0medium/-213soft"
542486,"0hard/0medium/-213soft"
546123,"0hard/0medium/-213soft"
549789,"0hard/0medium/-224soft"
553450,"0hard/0medium/-229soft"
557104,"0hard/0medium/-229soft"
560926,"0hard/0medium/-238soft"
564553,"0hard/0medium/-238soft"
568200,"0hard/0medium/-222soft"
571933,"0hard/0medium/-229soft"
575639,"0hard/0medium/-229soft"
579275,"0hard/0medium/-213soft"
582919,"0hard/0medium/-213soft"
586695,"0hard/0medium/-224soft"
590302,"0hard/0medium/-224soft"
594005,"0hard/0medium/-222soft"
597697,"0hard/0medium/-222soft"
601260,"0hard/0medium/-222soft"
