"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
33298,1,19
44525,1,6
55434,1,5
59032,1,3
110921,1,26
118479,1,9
122309,1,3
126129,1,1
129766,1,1
133430,1,1
140734,1,4
148065,1,5
155416,1,5
159067,1,1
166439,1,4
188508,1,15
195898,1,3
203283,1,5
210615,1,5
214233,1,1
217885,1,2
225071,1,3
232405,1,5
258371,1,17
265629,1,4
280332,1,9
287604,1,6
291266,1,5
298413,1,9
305797,1,3
309500,1,3
313176,1,1
324230,1,8
331646,1,3
342572,1,4
346176,1,7
349848,1,4
353556,1,1
364725,1,13
372024,1,3
375758,1,1
379427,1,1
398138,1,11
401714,1,2
405421,1,4
416343,1,9
420094,1,1
438704,1,12
442402,1,1
449830,1,4
472007,1,14
483024,1,11
486647,1,5
493937,1,3
504958,1,4
512283,1,4
515992,1,1
541651,1,14
549004,1,4
559997,1,10
563866,1,2
567581,1,1
571317,1,2
582585,1,5
586201,1,1
589834,1,1
600915,1,7
