"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
11002,1,2
14733,1,2
18397,1,1
29475,1,5
33105,1,1
40522,1,6
51646,1,12
55307,1,3
62615,1,7
66249,1,3
69910,1,1
73691,1,1
77398,1,2
84937,1,5
88671,1,1
96060,1,5
103319,1,12
106948,1,1
129046,1,14
132720,1,1
136307,1,1
139942,1,2
147312,1,2
151009,1,1
158322,1,4
165647,1,2
169315,1,5
173084,1,7
176796,1,1
184197,1,3
187982,1,7
191645,1,3
199152,1,4
206386,1,2
210011,1,1
217380,1,15
224623,1,5
228188,1,1
231783,1,1
235574,1,1
239291,1,6
246611,1,7
250310,1,3
253930,1,1
257614,1,3
268821,1,9
276358,1,9
283610,1,4
287351,1,1
291215,1,1
295008,1,1
298679,1,4
306375,1,2
309975,1,1
313749,1,2
321063,1,3
324744,1,2
328412,1,4
332075,1,4
335736,1,6
339410,1,2
343019,1,3
346763,1,1
350614,1,2
354189,1,1
357838,1,1
365245,1,3
368910,1,8
372520,1,1
383385,1,7
387058,1,1
390745,1,1
394475,1,1
405754,1,11
409554,1,1
413131,1,3
417021,1,1
420657,1,1
428081,1,5
431784,1,2
435480,1,1
439331,1,1
443004,1,1
446640,1,2
450428,1,1
454213,1,4
457851,1,1
461701,1,3
465438,1,4
469283,1,2
473037,1,2
487747,1,7
491439,1,5
495107,1,1
498790,1,2
502531,1,2
506291,1,1
524858,1,18
528514,1,2
535910,1,4
539608,1,4
543204,1,1
546946,1,6
550514,1,1
554160,1,1
557912,1,1
561527,1,2
576198,1,12
579850,1,2
583526,1,3
587254,1,4
598271,1,8
601779,1,1
