"timeMillisSpent","score"
11197,"0hard/0medium/-232soft"
14777,"0hard/0medium/-241soft"
25606,"0hard/0medium/-237soft"
29301,"0hard/0medium/-237soft"
32960,"0hard/0medium/-237soft"
36565,"0hard/0medium/-230soft"
47704,"0hard/0medium/-230soft"
55194,"0hard/0medium/-239soft"
58785,"0hard/0medium/-239soft"
70003,"0hard/0medium/-230soft"
73800,"0hard/0medium/-240soft"
77666,"0hard/0medium/-230soft"
81431,"0hard/0medium/-230soft"
85059,"0hard/0medium/-230soft"
88738,"0hard/0medium/-230soft"
92375,"0hard/0medium/-239soft"
96056,"0hard/0medium/-239soft"
99659,"0hard/0medium/-239soft"
103354,"0hard/0medium/-239soft"
110730,"0hard/0medium/-239soft"
114405,"0hard/0medium/-239soft"
118150,"0hard/0medium/-239soft"
125523,"0hard/0medium/-232soft"
129310,"0hard/0medium/-232soft"
133029,"0hard/0medium/-232soft"
136691,"0hard/0medium/-239soft"
144081,"0hard/0medium/-240soft"
147773,"0hard/0medium/-240soft"
151387,"0hard/0medium/-240soft"
155266,"0hard/0medium/-232soft"
158974,"0hard/0medium/-232soft"
170110,"0hard/0medium/-232soft"
173844,"0hard/0medium/-232soft"
177502,"0hard/0medium/-239soft"
181174,"0hard/0medium/-231soft"
188556,"0hard/0medium/-232soft"
199630,"0hard/0medium/-232soft"
203304,"0hard/0medium/-232soft"
206929,"0hard/0medium/-232soft"
210573,"0hard/0medium/-232soft"
214185,"0hard/0medium/-232soft"
221615,"0hard/0medium/-232soft"
225335,"0hard/0medium/-232soft"
228981,"0hard/0medium/-232soft"
236373,"0hard/0medium/-232soft"
240103,"0hard/0medium/-231soft"
247598,"0hard/0medium/-231soft"
251314,"0hard/0medium/-239soft"
258431,"0hard/0medium/-231soft"
265916,"0hard/0medium/-239soft"
280857,"0hard/0medium/-239soft"
284601,"0hard/0medium/-231soft"
288285,"0hard/0medium/-231soft"
295680,"0hard/0medium/-231soft"
299337,"0hard/0medium/-231soft"
317878,"0hard/0medium/-231soft"
321550,"0hard/0medium/-231soft"
325413,"0hard/0medium/-232soft"
336358,"0hard/0medium/-232soft"
339994,"0hard/0medium/-232soft"
351142,"0hard/0medium/-232soft"
354957,"0hard/0medium/-232soft"
358605,"0hard/0medium/-232soft"
362288,"0hard/0medium/-240soft"
365848,"0hard/0medium/-240soft"
373342,"0hard/0medium/-239soft"
377016,"0hard/0medium/-239soft"
380734,"0hard/0medium/-239soft"
384321,"0hard/0medium/-237soft"
391655,"0hard/0medium/-237soft"
398974,"0hard/0medium/-237soft"
402610,"0hard/0medium/-241soft"
406294,"0hard/0medium/-241soft"
413602,"0hard/0medium/-240soft"
417263,"0hard/0medium/-240soft"
428446,"0hard/0medium/-240soft"
432251,"0hard/0medium/-240soft"
439606,"0hard/0medium/-240soft"
443249,"0hard/0medium/-237soft"
446987,"0hard/0medium/-237soft"
450562,"0hard/0medium/-237soft"
454288,"0hard/0medium/-240soft"
458086,"0hard/0medium/-237soft"
461722,"0hard/0medium/-230soft"
465394,"0hard/0medium/-237soft"
476570,"0hard/0medium/-230soft"
480266,"0hard/0medium/-237soft"
484033,"0hard/0medium/-237soft"
495262,"0hard/0medium/-241soft"
502588,"0hard/0medium/-241soft"
506314,"0hard/0medium/-241soft"
510034,"0hard/0medium/-231soft"
513735,"0hard/0medium/-232soft"
517436,"0hard/0medium/-232soft"
521084,"0hard/0medium/-232soft"
524744,"0hard/0medium/-232soft"
532007,"0hard/0medium/-232soft"
535685,"0hard/0medium/-232soft"
539388,"0hard/0medium/-232soft"
542973,"0hard/0medium/-232soft"
550249,"0hard/0medium/-232soft"
554050,"0hard/0medium/-232soft"
557780,"0hard/0medium/-232soft"
568790,"0hard/0medium/-232soft"
572457,"0hard/0medium/-237soft"
576121,"0hard/0medium/-240soft"
587135,"0hard/0medium/-241soft"
590681,"0hard/0medium/-241soft"
598164,"0hard/0medium/-241soft"
601830,"0hard/0medium/-240soft"
